"","type","country","year","mood","Heterogeneity"
"1","Citizen","Argentina",1996,-0.299768587542762,1.74465723439748
"5","Citizen","Argentina",1998,0.812669304055292,0.784793244165682
"14","Citizen","Argentina",2000,1.0573995684191,3.31671704043227
"18","Citizen","Argentina",2001,0.458058233795077,2.96097109764633
"25","Citizen","Argentina",2002,-0.328970127598894,1.74650678786932
"30","Citizen","Argentina",2003,0.116195541398943,1.61875257331108
"35","Citizen","Argentina",2004,0.34214319115493,2.03144235980854
"38","Citizen","Argentina",2005,0.65767705552413,3.64915516327699
"44","Citizen","Argentina",2006,0.706561057537982,2.66662673316101
"46","Citizen","Argentina",2007,0.363475484065349,4.38907922404653
"57","Citizen","Argentina",2008,-0.63754156304735,1.84152712774425
"74","Citizen","Argentina",2009,0.476657831637326,3.74550392690823
"80","Citizen","Argentina",2010,0.490136437815282,2.25959128799962
"90","Citizen","Argentina",2011,0.300247111570567,1.85339548575962
"94","Citizen","Argentina",2012,-0.574471528629329,1.80312198063896
"99","Citizen","Argentina",2013,-0.0273472292429131,2.17343401387348
"102","Citizen","Argentina",2014,-0.185700494511512,1.98780466754624
"104","Citizen","Bolivia",1996,-0.48884525854705,1.71982881777365
"108","Citizen","Bolivia",1998,0.920859196300914,0.841438746365342
"117","Citizen","Bolivia",2000,0.848788182221767,3.88590739856213
"121","Citizen","Bolivia",2001,0.667495302016285,3.08469453165323
"128","Citizen","Bolivia",2002,0.171231517893668,2.19946331992772
"133","Citizen","Bolivia",2003,-0.212144471751647,1.56028285859239
"138","Citizen","Bolivia",2004,0.110687484001087,1.85391677060216
"141","Citizen","Bolivia",2005,0.68512937182758,3.29032596937672
"147","Citizen","Bolivia",2006,0.44636422827134,2.55551707656557
"149","Citizen","Bolivia",2007,0.702531034964332,5.1167305087209
"160","Citizen","Bolivia",2008,-0.156559447761819,1.18716137662747
"177","Citizen","Bolivia",2009,0.792314740832361,3.73781156487266
"183","Citizen","Bolivia",2010,0.549111145972624,2.2109095747742
"193","Citizen","Bolivia",2011,0.499557840933949,2.25149696442447
"197","Citizen","Bolivia",2012,-0.250532968736855,2.00470123803929
"202","Citizen","Bolivia",2013,0.934619605398077,2.43422408009377
"205","Citizen","Bolivia",2014,0.127783660753875,2.10850004814595
"207","Citizen","Brazil",1996,-0.0716095101694742,1.82608776532679
"211","Citizen","Brazil",1998,0.774980422381474,0.804439878698632
"220","Citizen","Brazil",2000,0.879677573638267,2.43898893475005
"224","Citizen","Brazil",2001,0.769343254479084,2.40700535822972
"231","Citizen","Brazil",2002,0.699403969462124,1.96788508676243
"236","Citizen","Brazil",2003,0.404974409112016,1.07217371824602
"241","Citizen","Brazil",2004,0.637952692264076,1.72024313550685
"244","Citizen","Brazil",2005,1.18175906500079,1.94238593789884
"250","Citizen","Brazil",2006,0.717711757867204,2.46578554076285
"252","Citizen","Brazil",2007,1.55695527696056,5.57038578986657
"263","Citizen","Brazil",2008,0.270469871914811,0.893528321869292
"280","Citizen","Brazil",2009,1.31133195312919,2.72083548730436
"286","Citizen","Brazil",2010,0.491732013800296,1.94085599706204
"296","Citizen","Brazil",2011,0.790144395720053,2.60970624613891
"300","Citizen","Brazil",2012,-0.360587263520481,2.37537313971208
"305","Citizen","Brazil",2013,0.828972192598206,1.81793648358669
"308","Citizen","Brazil",2014,0.225480986445362,2.11831938819945
"310","Citizen","Chile",1996,-0.156702577697294,2.01815796845258
"314","Citizen","Chile",1998,0.684850316958948,0.652132059629637
"323","Citizen","Chile",2000,0.946510508634264,3.57771065822253
"327","Citizen","Chile",2001,1.46275300087587,1.72985057226598
"334","Citizen","Chile",2002,-0.0917206230489478,2.22765930180724
"339","Citizen","Chile",2003,0.236599237382727,1.26199880808151
"344","Citizen","Chile",2004,0.679132702250116,2.08511168151983
"347","Citizen","Chile",2005,1.46313856775556,2.30816559085627
"353","Citizen","Chile",2006,0.409163280552899,2.45887213937116
"355","Citizen","Chile",2007,1.25665000220274,3.80654430803617
"366","Citizen","Chile",2008,-0.648005728122708,1.56950434887465
"383","Citizen","Chile",2009,0.920905811454054,3.23437642765481
"389","Citizen","Chile",2010,-0.0301073333675194,1.82618371344014
"399","Citizen","Chile",2011,-0.159078698957765,1.82088847416713
"403","Citizen","Chile",2012,-0.735380524005993,2.03565005191701
"408","Citizen","Chile",2013,0.0385254970435207,2.07794616776553
"411","Citizen","Chile",2014,-0.451217176138218,1.79093816278463
"413","Citizen","Colombia",1996,-0.204917661111468,1.85896442459255
"417","Citizen","Colombia",1998,0.860042594454765,0.599881829665394
"426","Citizen","Colombia",2000,1.26692971913631,3.56074160878413
"430","Citizen","Colombia",2001,0.740332678568655,2.49978459698796
"437","Citizen","Colombia",2002,0.131630154578776,1.92529354979039
"442","Citizen","Colombia",2003,0.162293886926792,1.1095544710015
"447","Citizen","Colombia",2004,0.544287507109218,1.82169798734773
"450","Citizen","Colombia",2005,1.49020162251606,2.92012647347539
"456","Citizen","Colombia",2006,0.246997222662788,2.37849961198383
"458","Citizen","Colombia",2007,2.08337210987025,3.59423091986895
"469","Citizen","Colombia",2008,0.219002297455428,0.741276568006311
"486","Citizen","Colombia",2009,0.230087681683583,2.65113728810948
"497","Citizen","Colombia",2010,0.600866792958995,1.72008903031141
"507","Citizen","Colombia",2011,0.227824308863001,1.4314491681197
"517","Citizen","Colombia",2012,0.0248486520215183,1.88413339793821
"522","Citizen","Colombia",2013,0.277590454530365,2.10826622741722
"525","Citizen","Colombia",2014,0.331972393426015,2.05448534672718
"527","Citizen","CostaRica",1996,-0.278328489999515,2.05127668266795
"531","Citizen","CostaRica",1998,1.32526468277363,0.484819111066144
"540","Citizen","CostaRica",2000,1.41868823260592,2.27521367724221
"544","Citizen","CostaRica",2001,0.723360566574009,2.48640401827707
"551","Citizen","CostaRica",2002,0.739532982946132,2.64314570465044
"556","Citizen","CostaRica",2003,-0.114344869207378,1.27613386184578
"561","Citizen","CostaRica",2004,0.619502674357022,1.81710233060874
"564","Citizen","CostaRica",2005,1.57014341090807,1.68491176655717
"570","Citizen","CostaRica",2006,0.298452560104369,2.31881409502857
"572","Citizen","CostaRica",2007,1.02359693399319,3.7938101232974
"583","Citizen","CostaRica",2008,-0.0100671458941124,1.18398102822102
