"","type","country","year","mood","Heterogeneity"
"1","Citizen","Argentina",1996,-0.171517075701522,1.71705621865066
"5","Citizen","Argentina",1998,0.775008095914841,0.736332664466373
"14","Citizen","Argentina",2000,0.722920805103429,3.66124783371212
"18","Citizen","Argentina",2001,-0.0146501158162435,2.52670843046234
"25","Citizen","Argentina",2002,-0.27198454634733,1.63205495167506
"30","Citizen","Argentina",2003,0.0119046849157982,1.29838119102015
"35","Citizen","Argentina",2004,0.143177805902174,2.17362993346526
"38","Citizen","Argentina",2005,0.320212821627832,3.94129354338925
"44","Citizen","Argentina",2006,0.658710620502371,2.82075968410417
"46","Citizen","Argentina",2007,-0.015955882990018,3.79727981254881
"57","Citizen","Argentina",2008,-0.0725593566735629,1.37469094600929
"74","Citizen","Argentina",2009,0.0904798765369165,3.60048328307196
"80","Citizen","Argentina",2010,0.387582319195954,1.97916840375596
"90","Citizen","Argentina",2011,0.226342010771,1.87085396179874
"94","Citizen","Argentina",2012,-0.324976697564808,1.94722369495772
"99","Citizen","Argentina",2013,-0.0257083022602459,2.37482929857681
"102","Citizen","Argentina",2014,-0.388343243087666,2.35448074294565
"104","Citizen","Bolivia",1996,-0.372472410705258,1.80225527173701
"108","Citizen","Bolivia",1998,0.924662812697282,0.898127939785622
"117","Citizen","Bolivia",2000,0.60253886070514,4.37497824946259
"121","Citizen","Bolivia",2001,0.363587805405774,3.15713826464601
"128","Citizen","Bolivia",2002,0.208991205092477,2.01108016648311
"133","Citizen","Bolivia",2003,-0.0682358995980174,1.506475765863
"138","Citizen","Bolivia",2004,0.144842419270778,1.56309235234654
"141","Citizen","Bolivia",2005,0.473624519728209,3.4139385389441
"147","Citizen","Bolivia",2006,0.440411718464085,3.11951692711444
"149","Citizen","Bolivia",2007,0.7487190462063,4.69083797254893
"160","Citizen","Bolivia",2008,0.368301237572292,1.02701848750587
"177","Citizen","Bolivia",2009,0.64691791508412,3.96016758013796
"183","Citizen","Bolivia",2010,0.597032133546728,1.96261711268209
"193","Citizen","Bolivia",2011,0.482784582157888,2.25964576096029
"197","Citizen","Bolivia",2012,-0.0939859265510266,2.22393275526217
"202","Citizen","Bolivia",2013,0.91899240079641,2.50424072286573
"205","Citizen","Bolivia",2014,0.355759083291902,2.75219621025348
"207","Citizen","Brazil",1996,-0.121990562034916,1.98836292045398
