"country","year","policy.index","policy.index.unconstrained","policy.index.unconstrained.no.vat"
"Argentina",1985,-1.474505,-1.104915,-1.60383
"Argentina",1986,-1.734395,-1.20192,-1.589105
"Argentina",1987,-1.39516,-0.8961275,-1.304595
"Argentina",1988,-1.42373,-0.8991535,-1.30516
"Argentina",1989,-1.262735,-0.842138,-1.192455
"Argentina",1990,-0.718528,-0.267393,-0.4237725
"Argentina",1991,-0.178367,0.179623,-0.18241
"Argentina",1992,-0.325519,0.04709225,-0.351917
"Argentina",1993,0.3110895,0.6027285,0.280254
"Argentina",1994,0.31563,0.5752065,0.3012495
"Argentina",1995,0.31615,0.5794845,0.277796
"Argentina",1996,0.354071,0.6332015,0.3549685
"Argentina",1997,0.3746325,0.672155,0.3319335
"Argentina",1998,0.50819,0.8196305,0.4909895
"Argentina",1999,0.523936,0.843168,0.473625
"Argentina",2000,0.5288655,0.8362795,0.4845855
"Argentina",2001,0.3617095,0.889463,0.2972675
"Argentina",2002,0.2814965,0.8080405,0.224035
"Argentina",2003,0.4632945,0.9230225,0.4281865
"Argentina",2004,0.37785,0.860222,0.345226
"Argentina",2005,0.336053,0.7969385,0.301734
"Argentina",2006,0.224801,0.738481,0.139259
"Argentina",2007,0.2184765,0.735725,0.132257
"Argentina",2008,0.5745185,0.9342645,0.608236
"Argentina",2009,0.324212,0.8058255,0.6720175
"Argentina",2010,-0.1165225,0.5261915,-0.131005
"Argentina",2011,0.5352405,0.9827695,0.412046
"Argentina",2012,0.476837,0.973862,0.4524105
"Argentina",2013,-0.1033105,0.609434,-0.1361595
"Argentina",2014,-0.2295695,0.4142545,-0.2551305
"Bolivia",1985,-1.068205,-1.000419,-0.7890255
"Bolivia",1986,-0.6814795,-0.632761,-0.4078535
"Bolivia",1987,-0.4426745,-0.392653,-0.1339675
"Bolivia",1988,0.05855205,0.03923945,0.0670122
"Bolivia",1989,0.0775268,0.0303185,0.0817983
"Bolivia",1990,-0.2108505,-0.295496,-0.219314
"Bolivia",1991,0.3816115,0.2242595,0.3827725
"Bolivia",1992,0.489516,0.438141,0.4846155
"Bolivia",1993,0.800105,0.755981,0.835253
"Bolivia",1994,0.8244475,0.704738,0.821203
"Bolivia",1995,0.585431,0.500243,0.5642895
"Bolivia",1996,0.624921,0.516671,0.6342185
"Bolivia",1997,0.9803995,0.799288,1.01188
"Bolivia",1998,1.73209,1.408225,1.724955
"Bolivia",1999,1.737085,1.395465,1.732405
"Bolivia",2000,1.730535,1.365675,1.710415
"Bolivia",2001,1.692255,1.389875,1.718085
"Bolivia",2002,1.31703,1.11381,1.31204
"Bolivia",2003,1.63938,1.35249,1.62791
"Bolivia",2004,1.81796,1.559205,1.80277
"Bolivia",2005,1.690325,1.3907,1.698675
"Bolivia",2006,1.604775,1.34514,1.643095
"Bolivia",2007,1.624335,1.332245,1.6464
"Bolivia",2008,1.324235,1.165475,1.3191
"Bolivia",2009,0.507,0.5901605,0.8865845
"Bolivia",2010,0.5874215,0.430673,0.577276
"Bolivia",2011,0.5907955,0.4083935,0.558334
"Bolivia",2012,0.570185,0.4443345,0.5570645
"Bolivia",2013,0.5519215,0.4657105,0.543319
"Bolivia",2014,0.561955,0.4085925,0.5203455
"Brasil",1985,-2.370735,-1.851075,-2.56547
"Brasil",1986,-2.34114,-1.864035,-2.547075
"Brasil",1987,-2.340505,-1.862655,-2.105835
"Brasil",1988,-2.022515,-1.558385,-1.837425
"Brasil",1989,-1.344415,-0.8531425,-1.25005
"Brasil",1990,-1.15922,-0.754345,-1.21154
"Brasil",1991,-1.160095,-0.7881635,-0.867816
"Brasil",1992,-1.146685,-0.7625185,-0.8817455
"Brasil",1993,-0.567239,-0.2513415,-0.5880695
"Brasil",1994,-0.393166,-0.04983725,-0.4549725
"Brasil",1995,-0.4004095,-0.0287603,-0.420878
"Brasil",1996,-0.4140675,-0.023766,-0.434378
"Brasil",1997,-0.3435805,0.01692165,-0.3814795
"Brasil",1998,-0.0008107725,0.380361,-0.02420945
"Brasil",1999,0.152448,0.660395,0.1285125
"Brasil",2000,0.157334,0.666041,0.08501375
"Brasil",2001,0.152625,0.6423905,0.0933758
"Brasil",2002,0.2004285,0.682958,0.2015375
"Brasil",2003,0.3906445,0.9290465,0.377896
"Brasil",2004,0.411808,0.9103775,0.3456835
"Brasil",2005,0.3927035,0.931748,0.3741825
"Brasil",2006,0.4176185,0.9340215,0.365262
"Brasil",2007,0.3843475,0.953224,0.3212135
"Brasil",2008,0.34037,0.7504315,0.322041
"Brasil",2009,0.355126,0.7432465,0.2838105
"Brasil",2010,-0.07180005,0.25897,-0.105676
"Brasil",2011,-0.06406365,0.4487095,-0.08094425
"Brasil",2012,0.02201055,0.502079,-0.0280314
"Brasil",2013,-0.09612485,0.4485355,-0.1019795
"Brasil",2014,0.00861833,0.497793,-0.04868625
"Chile",1985,-0.1182515,0.55961,-0.1710575
"Chile",1986,-0.08200465,0.6652225,0.2087095
"Chile",1987,-0.08567165,0.6509415,0.138477
"Chile",1988,0.2203735,0.653068,0.175125
"Chile",1989,0.276182,0.6380855,0.1950215
"Chile",1990,0.5132915,0.9805215,0.508654
"Chile",1991,0.506968,0.9540735,0.456582
"Chile",1992,0.5022535,0.9411975,0.4470265
"Chile",1993,0.4773825,0.9562275,0.451842
"Chile",1994,0.4952835,0.9352765,0.4303505
"Chile",1995,0.6140195,1.002185,0.621056
"Chile",1996,0.5473005,0.9701895,0.5143135
"Chile",1997,0.803327,1.22203,0.739084
"Chile",1998,0.8122425,1.22616,0.768215
"Chile",1999,1.196275,1.44563,1.20702
"Chile",2000,1.19936,1.41075,1.17318
"Chile",2001,1.924555,1.92619,1.921815
"Chile",2002,2.041325,2.034965,2.062205
"Chile",2003,1.94115,1.964895,1.98269
"Chile",2004,1.94615,1.998065,1.942935
"Chile",2005,1.97416,1.94751,1.98369
"Chile",2006,1.945205,1.974795,1.968885
"Chile",2007,1.91636,1.98847,1.95292
"Chile",2008,1.95428,1.965805,1.973505
"Chile",2009,1.773665,1.70723,1.764905
"Chile",2010,1.33338,1.512265,1.3408
"Chile",2011,1.29503,1.489345,1.34822
"Chile",2012,1.32176,1.60135,1.29566
"Chile",2013,1.4346,1.623065,1.4276
"Chile",2014,1.16572,1.44705,1.194875
"Colombia",1985,-2.23089,-2.03483,-2.35121
"Colombia",1986,-1.53715,-1.390685,-1.454055
