country,election_yr,regime,elec_id,date,initial_year,end_year,bloc,actor.type,presidential,upper,n.votes,family,elecrule,sa.formula,tier1_formula,tier2_formula,seats,dm,tier1_avemag,tier1_districts,upper_tier_seats,thresh,legal_threshold,legal_threshold_based_on,Carey_Hix_mean_dm,eff_thresh,maxeffleg
Argentina,1973,2,L-ARG-1973-3-11,11-Mar-73,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,243,10.13,10.13,24,0,0.08,0.08,Share of votes,10.125,0.06741573,8
Argentina,1983,2,L-ARG-1983-10-30,30-Oct-83,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,254,10.58,10.58,24,0,0.03,0.03,Share of votes,10.57999992,0.06476684,6.48
Argentina,1985,2,L-ARG-1985-11-3,3-Nov-85,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,254,5.29,5.29,24,0,0.03,0.03,Share of votes,5.289999962,0.119236885,11.92
Argentina,1987,2,L-ARG-1987-9-6,6-Sep-87,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,254,5.29,5.29,23,0,0.03,0.03,Share of votes,5.519999981,0.115030675,11.5
Argentina,1989,2,L-ARG-1989-5-14,14-May-89,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,254,5.29,5.29,24,0,0.03,0.03,Share of votes,5.289999962,0.119236885,11.92
Argentina,1991,2,L-ARG-1991-10-27,27-Oct-91,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.42,5.42,24,0,0.03,0.03,Share of votes,5.289999962,0.119236885,11.92
Argentina,1993,2,L-ARG-1993-10-3,3-Oct-93,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.29,5.29,24,0,0.03,0.03,Share of votes,5.289999962,0.119236885,11.92
Argentina,1995,2,L-ARG-1995-5-14,14-May-95,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.42,5.42,24,0,0.03,0.03,Share of votes,5.420000076,0.116822429,11.68
Argentina,1997,2,L-ARG-1997-10-26,26-Oct-97,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.29,5.29,24,0,0.03,0.03,Share of votes,5.289999962,0.119236885,11.92
Argentina,1999,2,L-ARG-1999-10-24,24-Oct-99,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.42,5.42,24,0,0.03,0.03,Share of votes,5.420000076,0.116822429,11.68
Argentina,2001,2,L-ARG-2001-10-14,14-Oct-01,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.29,5.29,24,0,0.03,0.03,Share of votes,5.291666985,0.119205292,11.92
Argentina,2003,2,L-ARG-2003-4-27,27-Apr-03,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.42,5.42,24,0,0.03,0.03,Share of votes,5.42,0.11682243,11.68
Argentina,2005,2,L-ARG-2005-10-23,23-Oct-05,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.29,5.29,24,0,0.03,0.03,Share of votes,5.29,0.119236884,11.92
Argentina,2007,2,L-ARG-2007-10-28,28-Oct-07,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.42,5.42,24,0,0.03,0.03,Share of votes,5.42,0.11682243,11.68
Argentina,2009,2,L-ARG-2009-6-28,28-Jun-09,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.29,5.29,24,0,0.03,0.03,Share of votes,5.29,0.119236884,11.92
Argentina,2011,2,L-ARG-2011-10-23,23-Oct-11,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.42,5.42,24,0,0.03,0.03,Share of votes,5.42,0.11682243,11.68
Argentina,2013,2,L-ARG-2013-10-27,27-Oct-13,1973,2013,1,house,0,0,1,PR,9,dhondt,25,0,257,5.42,5.42,24,0,0.03,0.03,Share of votes,5.42,0.11682243,11.68
Bolivia,1979,2,L-BOL-1979-7-1,1-Jul-79,1979,1985,1,house,0,0,1,PR,9,hare,13,0,117,13,13,9,0,0,0,Share of votes,13,0.053571429,5.36
Bolivia,1980,4,L-BOL-1980-6-29,29-Jun-80,1979,1985,1,house,0,0,1,PR,9,hare,13,0,130,14.44,14.44,9,0,0,0,Share of votes,14.44444444,0.048561151,4.86
Bolivia,1985,2,L-BOL-1985-7-14,14-Jul-85,1979,1985,1,house,0,0,1,PR,9,hare,13,0,130,14.44,14.44,9,0,0,0,Share of votes,14.43999958,0.048575131,4.86
Bolivia,1989,2,L-BOL-1989-5-7,7-May-89,1989,1989,2,house,0,0,1,PR,9,hare,13,0,130,14.44,14.44,9,0,0.069252078,1,Quotas,14.43999958,0.048575131,6.92
Bolivia,1993,2,L-BOL-1993-6-6,6-Jun-93,1993,1993,3,house,0,0,1,PR,9,sainte_lague,26,0,130,14.44,14.44,9,0,0,0,Share of votes,14.43999958,0.048575131,4.86
Bolivia,1997,2,L-BOL-1997-6-1,1-Jun-97,1997,2014,4,house,0,0,1,Mixed,11,dhondt,1,25,130,62,1,68,62,0.03,0.03,Share of votes,14.44443989,0.048561165,4.86
Bolivia,2002,2,L-BOL-2002-6-30,30-Jun-02,1997,2014,4,house,0,0,1,Mixed,11,dhondt,1,25,130,62,1,68,62,0.03,0.03,Share of votes,14.44443989,0.048561165,4.86
Bolivia,2005,2,L-BOL-2005-12-18,18-Dec-05,1997,2014,4,house,0,0,1,Mixed,11,dhondt,1,25,130,60,1,70,60,0.03,0.03,Share of votes,14.44443989,0.048561165,4.86
Bolivia,2009,2,L-BOL-2009-12-6,6-Dec-09,1997,2014,4,house,0,0,1,Mixed,11,dhondt,1,25,130,60,1,70,60,0.03,0.03,Share of votes,14.44443989,0.048561165,4.86
Bolivia,2014,2,L-BOL-2014-10-12,12-Oct-14,1997,2014,4,house,0,0,1,Mixed,11,dhondt,1,25,130,60,1,70,60,0.03,0.03,Share of votes,14.44443989,0.048561165,4.86
Brazil,1982,4,L-BRA-1982-11-15,15-Nov-82,1982,1986,1,house,0,0,1,PR,9,hare,13,0,479,19.16,19.16,25,0,0.05,0.05,Share of votes,19.16,0.037202381,5
Brazil,1986,2,L-BRA-1986-11-15,15-Nov-86,1982,1986,1,house,0,0,1,PR,9,hare,13,0,487,18.73,18.73,26,0,0.03,0.03,Share of votes,18.72999954,0.038013179,3.8
Brazil,1990,2,L-BRA-1990-10-3,3-Oct-90,1990,2014,2,house,0,0,1,PR,9,hare,13,0,502,18.59,18.59,27,0,0,0,Share of votes,18.62999916,0.038206828,3.82
Brazil,1994,2,L-BRA-1994-10-3,3-Oct-94,1990,2014,2,house,0,0,1,PR,9,hare,13,0,513,19,19,27,0,0,0,Share of votes,19,0.0375,3.75
Brazil,1998,2,L-BRA-1998-10-4,4-Oct-98,1990,2014,2,house,0,0,1,PR,9,hare,13,0,513,19,19,27,0,0,0,Share of votes,19,0.0375,3.75
Brazil,2002,2,L-BRA-2002-10-6,6-Oct-02,1990,2014,2,house,0,0,1,PR,9,hare,13,0,513,19,19,27,0,0,0,Share of votes,19,0.0375,3.75
Brazil,2006,2,L-BRA-2006-10-1,1-Oct-06,1990,2014,2,house,0,0,1,PR,9,hare,13,0,513,19,19,27,0,0,0,Share of votes,19,0.0375,3.75
Brazil,2010,2,L-BRA-2010-10-3,3-Oct-10,1990,2014,2,house,0,0,1,PR,9,hare,13,0,513,19,19,27,0,0,0,Share of votes,19,0.0375,3.75
