"country"	"startyear"	"endyear"	"PR.cluster.cluster"	"pc.PR.scores...1."	"pc.PR.scores...2."
"Argentina"	1957	1993	1	-0.944865841097353	0.32850127921292
"Argentina"	1994	2015	2	0.771333418352092	1.15184284063043
"Bolivia"	1967	2015	1	-0.458369846414771	0.0642214513148517
"Brazil"	1967	1987	2	2.42634799577286	0.205094956268254
"Brazil"	1988	2000	2	1.30528632957813	0.846184510399371
"Brazil"	2001	2015	2	0.883660511276049	0.497295416569544
"Chile"	1970	2015	3	0.146912395722083	-0.496391133919114
"Colombia"	1968	2015	2	1.64023807061903	0.922500706209368
"Costa Rica"	1949	2015	1	-1.0657352965209	0.194342490520507
"Dominican Republic"	1966	2015	1	-0.944865841097353	0.32850127921292
"Ecuador"	1967	1978	1	-0.845007665475351	0.0845464070110036
"Ecuador"	1979	1982	1	-0.981643493449848	-0.68317173748715
"Ecuador"	1983	1997	3	0.228920990823861	-1.80439690795508
"Ecuador"	1998	2007	3	1.01711412394696	-2.09131111186788
"Ecuador"	2008	2015	3	0.975068222411437	-1.65255399786406
"Salvador"	1962	2015	1	-0.944865841097353	0.32850127921292
"Guatemala"	1965	2015	1	-0.944865841097353	0.32850127921292
"Honduras"	1965	2015	1	-1.0657352965209	0.194342490520507
"Mexico"	1917	2015	1	-1.0657352965209	0.194342490520507
"Nicaragua"	1974	1986	3	0.026042940298536	-0.630549922611527
"Nicaragua"	1987	1994	2	0.565794388470116	1.82956714690864
"Nicaragua"	1995	2015	1	-0.944865841097353	0.32850127921292
"Panama"	1972	2015	1	-0.724138210051804	0.218705195703417
"Paraguay"	1967	1991	2	1.74465838369996	0.196100797352054
"Paraguay"	1992	2015	3	0.144829187752808	-0.926882679947424
"Peru"	1933	1978	1	-1.0657352965209	0.194342490520507
"Peru"	1979	1992	1	-0.11885596791495	-0.341907389530549
"Peru"	1993	2015	2	1.374469706982	1.07698445059793
"Uruguay"	1967	2015	3	0.712294689830361	-1.10400080035072
"Venezuela"	1961	1998	1	-0.944865841097353	0.32850127921292
"Venezuela"	1999	2015	1	-0.902819939561827	-0.110255834790908
