"year","country","type","mood_spline","Heterogeneity_spline","mood_const","Heterogeneity_const","exec_party_spline","median_party_spline","exec_party_const","median_party_const","CitizenMood","CitizenHet","group","elec_family","thresh","dm","sa.formula","gdp2y","infl2y","unemp2y","decade","lag_mood_const","ChangeMoodConst","lag_mood_spline","ChangeMoodSpline","lag_CitMood","lag_CitHet","ChangeCitMood","lag_ChangeCitMood","mm_cong_spline","mm_cong_const","oo_cong_spline","oo_cong_const","mo_cong_spline","mo_cong_const"
1996,"Argentina","Legislator",1.37025673466581,0.592089322148112,1.65794654591783,0.879112506099922,0.206086312060944,0.205971372474829,0.549280325214609,0.549280325214609,-0.224825190925526,1.642144635476,2,"PR",0.03,13.76,"D'Hondt",0.101635,-0.248348963503004,18,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Argentina","Legislator",1.24161484434273,0.417313565686024,1.24161484434273,0.417313565686024,-0.00803579661016951,-0.0080357966101694,-0.00803579661016949,-0.00803579661016949,-0.224825190925526,1.642144635476,2,"PR",0.03,13.76,"D'Hondt",5.56102,-0.253668967005481,16.05000019,"1990",1.65794654591783,-0.4163317015751,1.37025673466581,-0.128641890323083,-0.224825190925526,1.642144635476,0,NA,0.356,0.367,0.40544265650117,0.40544265650117,0.563813829543192,0.545033526996366
1998,"Argentina","Legislator",1.22652094144685,0.314516599201996,1.24161484434273,0.417313565686024,-0.117437701694653,-0.117118425066554,-0.00803579661016949,-0.00803579661016949,0.459976842811284,0.43021676447562,2,"PR",0.03,13.76,"D'Hondt",4.77166,-0.25225029940482,13.849999905,"1990",1.24161484434273,0,1.24161484434273,-0.0150939028958825,-0.224825190925526,1.642144635476,0.68480203373681,0,0.315,0.381,0.40793912650443,0.40544265650117,0.593507388868232,0.568797490799148
1999,"Argentina","Legislator",1.27231378695046,0.261544756191839,1.24161484434273,0.417313565686024,-0.14889787838332,-0.148182698736378,-0.00803579661016949,-0.00803579661016949,0.723125282882268,0.625467024278146,2,"PR",0.03,13.76,"D'Hondt",-0.88744,-0.255423634827351,13.450000285,"1990",1.24161484434273,0,1.22652094144685,0.0457928455036107,0.459976842811284,0.43021676447562,0.263148440070984,0.68480203373681,0.208,0.344,0.551773776523096,0.561281247447814,0.235445370166517,0.250467843718111
2000,"Argentina","Legislator",1.32454181544436,0.248225272510755,1.24161484434273,0.417313565686024,-0.129801495440708,-0.128767039165668,-0.00803579661016949,-0.00803579661016949,0.671558384306145,1.88015340719051,2,"PR",0.03,13.76,"D'Hondt",-3.171045,-0.258895637113178,14.55000019,"2000",1.24161484434273,0,1.27231378695046,0.0522280284939027,0.723125282882268,0.625467024278146,-0.0515668985761232,0.263148440070984,0.399,0.57,0.624447156418517,0.658549143425269,0.534975419036754,0.596253201354457
2001,"Argentina","Legislator",1.32875346151936,0.278111958620662,1.24161484434273,0.417313565686024,-0.0875337216313574,-0.0864098679004487,-0.00803579661016949,-0.00803579661016949,0.450859016182759,3.48954021149148,2,"PR",0.03,13.76,"D'Hondt",-3.675115,-0.258708970323617,16.64999962,"2000",1.24161484434273,0,1.32454181544436,0.00421164607499502,0.671558384306145,1.88015340719051,-0.220699368123386,-0.0515668985761232,0.491,0.576,0.603429260531977,0.636919770373543,0.881245588802132,0.914271044867746
2002,"Argentina","Legislator",1.23049715976624,0.380489936748633,1.24161484434273,0.417313565686024,-0.0494797257198046,-0.048649606486747,-0.00803579661016949,-0.00803579661016949,0.100337358888858,2.19464054024355,2,"PR",0.03,13.76,"D'Hondt",-8.67124,-0.20866360404242,18.09999943,"2000",1.24161484434273,0,1.32875346151936,-0.0982563017531137,0.450859016182759,3.48954021149148,-0.350521657293901,-0.220699368123386,0.517,0.53,0.561911983964559,0.558423423380682,0.923891558345401,0.936728647778171
2003,"Argentina","Legislator",0.975321344775819,0.657495349888593,0.975321344775819,0.657495349888593,-0.0430246764705881,-0.0430246764705881,-0.0430246764705882,-0.0430246764705882,-0.360650565700279,1.71288893824597,2,"PR",0.03,13.76,"D'Hondt",-2.116785,-0.181578252877177,17,"2000",1.24161484434273,-0.266293499566911,1.23049715976624,-0.255175814990423,0.100337358888858,2.19464054024355,-0.460987924589137,-0.350521657293901,0.579,0.579,0.533337888497725,0.533337888497725,0.895947997775833,0.855600579054505
2004,"Argentina","Legislator",0.542790652387258,1.41707706671488,0.975321344775819,0.657495349888593,-0.0840265647474968,-0.0850610210225378,-0.0430246764705882,-0.0430246764705882,0.0473048547568974,1.12354958853824,2,"PR",0.03,13.76,"D'Hondt",7.74644,-0.221655612595838,14.35000038,"2000",0.975321344775819,0,0.975321344775819,-0.432530692388562,-0.360650565700279,1.71288893824597,0.407955420457176,-0.460987924589137,0.723,0.47,0.525364266832858,0.428087339370527,0.789793527542593,0.61816075544217
2005,"Argentina","Legislator",0.0485345234332147,3.12440465132877,0.0485345234332147,3.12440465132877,-0.142234669811321,-0.142234669811321,-0.142234669811321,-0.142234669811321,0.286659591846905,1.82353941256432,2,"PR",0.03,13.76,"D'Hondt",7.9426,-0.228730283920185,11.60000038,"2000",0.975321344775819,-0.926786821342604,0.542790652387258,-0.494256128954043,0.0473048547568974,1.12354958853824,0.239354737090008,0.407955420457176,0.76,0.712,0.998771841551656,0.998771841551656,0.999968377096728,0.999907632578403
2006,"Argentina","Legislator",-0.374202068464318,5.64287687582733,0.0485345234332147,3.12440465132877,-0.181428839509963,-0.175800904775514,-0.142234669811321,-0.142234669811321,0.266805134694463,4.0093507796561,2,"PR",0.03,13.76,"D'Hondt",7.65323,-0.216596942598746,10.35000038,"2000",0.0485345234332147,0,0.0485345234332147,-0.422736591897533,0.286659591846905,1.82353941256432,-0.0198544571524421,0.239354737090008,0.729,0.844,0.602097106517958,0.80767284784987,0.899621758014335,0.986646136332636
2007,"Argentina","Legislator",-0.657776823519495,7.31041868002996,0.0485345234332147,3.12440465132877,-0.187619907642771,-0.170181930434937,-0.142234669811321,-0.142234669811321,0.594097067974211,2.90324989277414,2,"PR",0.03,13.76,"D'Hondt",7.062695,-0.218127610273143,9.30000019,"2000",0.0485345234332147,0,-0.374202068464318,-0.283574755055176,0.266805134694463,4.0093507796561,0.327291933279748,-0.0198544571524421,0.807,0.939,0.519593356745387,0.820835691804732,0.943435591006694,1.00150164490776
2008,"Argentina","Legislator",-0.750948110405503,6.08354594505068,0.0485345234332147,3.12440465132877,-0.152376454496954,-0.115591681954721,-0.142234669811321,-0.142234669811321,-0.020264960203829,3.44639835883252,2,"PR",0.03,13.76,"D'Hondt",4.4392,-0.222458279790949,8.1500000955,"2000",0.0485345234332147,0,-0.657776823519495,-0.0931712868860088,0.594097067974211,2.90324989277414,-0.61436202817804,0.327291933279748,0.716,0.925,0.426431016860383,0.647013609078487,0.815196571499233,0.949923018387951
2009,"Argentina","Legislator",-0.602474297795534,2.91211611961925,-0.602474297795534,2.91211611961925,-0.0672670603597222,-0.00224409449999999,-0.0672670603597222,-0.0022440945,0.0346692251267551,1.21632244438473,2,"PR",0.03,13.76,"D'Hondt",0.5256885,-0.2272369496037,8.200000286,"2000",0.0485345234332147,-0.651008821228749,-0.750948110405503,0.148473812609969,-0.020264960203829,3.44639835883252,0.0549341853305841,-0.61436202817804,0.886,0.878,0.632027618748672,0.632027618748673,0.991900736968371,0.985133350276113
1996,"Argentina","President",2.62354926839989,4.79868455914637,2.12052185575626,5.13529028297555,0.206086312060944,0.205971372474829,0.549280325214609,0.549280325214609,-0.224825190925526,1.642144635476,6,"TRS",0.45,1,"Super-Plurality",0.101635,-0.248348963503004,18,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Argentina","President",2.75997852016095,4.73650540560434,2.75997852016095,4.73650540560434,-0.00803579661016951,-0.0080357966101694,-0.00803579661016949,-0.00803579661016949,-0.224825190925526,1.642144635476,6,"TRS",0.45,1,"Super-Plurality",5.56102,-0.253668967005481,16.05000019,"1990",2.12052185575626,0.63945666440469,2.62354926839989,0.136429251761056,-0.224825190925526,1.642144635476,0,NA,0.501,0.52,0.250953390054775,0.250953390054775,0.253300251368459,0.226769410915315
1998,"Argentina","President",2.59864053783102,4.86589838083255,2.75997852016095,4.73650540560434,-0.117437701694653,-0.117118425066554,-0.00803579661016949,-0.00803579661016949,0.459976842811284,0.43021676447562,6,"TRS",0.45,1,"Super-Plurality",4.77166,-0.25225029940482,13.849999905,"1990",2.75997852016095,0,2.75997852016095,-0.16133798232993,-0.224825190925526,1.642144635476,0.68480203373681,0,0.522,0.529,0.261542817679503,0.250953390054775,0.2583400692641,0.23079106160249
1999,"Argentina","President",2.20915019546867,5.1126125028057,2.75997852016095,4.73650540560434,-0.14889787838332,-0.148182698736378,-0.00803579661016949,-0.00803579661016949,0.723125282882268,0.625467024278146,6,"TRS",0.45,1,"Super-Plurality",-0.88744,-0.255423634827351,13.450000285,"1990",2.75997852016095,0,2.59864053783102,-0.389490342362349,0.459976842811284,0.43021676447562,0.263148440070984,0.68480203373681,0.475,0.414,0.363745705243864,0.303030149003782,0.0583275142856721,0.0328226254724944
2000,"Argentina","President",1.66131835394921,5.39519362583381,2.75997852016095,4.73650540560434,-0.129801495440708,-0.128767039165668,-0.00803579661016949,-0.00803579661016949,0.671558384306145,1.88015340719051,6,"TRS",0.45,1,"Super-Plurality",-3.171045,-0.258895637113178,14.55000019,"2000",2.75997852016095,0,2.20915019546867,-0.547831841519458,0.723125282882268,0.625467024278146,-0.0515668985761232,0.263148440070984,0.532,0.433,0.515944471646221,0.329288221019234,0.318735967415734,0.0880077552477163
2001,"Argentina","President",1.02495587414795,5.61519674786848,2.75997852016095,4.73650540560434,-0.0875337216313574,-0.0864098679004487,-0.00803579661016949,-0.00803579661016949,0.450859016182759,3.48954021149148,6,"TRS",0.45,1,"Super-Plurality",-3.675115,-0.258708970323617,16.64999962,"2000",2.75997852016095,0,1.66131835394921,-0.636362479801257,0.671558384306145,1.88015340719051,-0.220699368123386,-0.0515668985761232,0.737,0.607,0.738881228542018,0.323790143831329,0.96841220310871,0.455241821597272
2002,"Argentina","President",0.369873616940211,5.66012698289179,2.75997852016095,4.73650540560434,-0.0494797257198046,-0.048649606486747,-0.00803579661016949,-0.00803579661016949,0.100337358888858,2.19464054024355,6,"TRS",0.45,1,"Super-Plurality",-8.67124,-0.20866360404242,18.09999943,"2000",2.75997852016095,0,1.02495587414795,-0.655082257207744,0.450859016182759,3.48954021149148,-0.350521657293901,-0.220699368123386,0.867,0.751,0.9250818750195,0.302195190834846,0.999165586331758,0.710829185217504
2003,"Argentina","President",-0.234117556798711,5.42625370255078,-0.234117556798712,5.42625370255078,-0.0430246764705881,-0.0430246764705881,-0.0430246764705882,-0.0430246764705882,-0.360650565700279,1.71288893824597,6,"TRS",0.45,1,"Super-Plurality",-2.116785,-0.181578252877177,17,"2000",2.75997852016095,-2.99409607695966,0.369873616940211,-0.603991173738922,0.100337358888858,2.19464054024355,-0.460987924589137,-0.350521657293901,0.746,0.751,0.749369640176084,0.749369640176083,0.975751909657261,0.976799655893885
2004,"Argentina","President",-0.720930535711631,4.92180325576464,-0.234117556798712,5.42625370255078,-0.0840265647474968,-0.0850610210225378,-0.0430246764705882,-0.0430246764705882,0.0473048547568974,1.12354958853824,6,"TRS",0.45,1,"Super-Plurality",7.74644,-0.221655612595838,14.35000038,"2000",-0.234117556798712,0,-0.234117556798711,-0.48681297891292,-0.360650565700279,1.71288893824597,0.407955420457176,-0.460987924589137,0.769,0.736,0.735142780931821,0.88767927091196,0.952903049068273,0.992040988777538
2005,"Argentina","President",-1.03937320651389,4.42535693156678,-1.03937320651389,4.42535693156678,-0.142234669811321,-0.142234669811321,-0.142234669811321,-0.142234669811321,0.286659591846905,1.82353941256432,6,"TRS",0.45,1,"Super-Plurality",7.9426,-0.228730283920185,11.60000038,"2000",-0.234117556798712,-0.805255649715178,-0.720930535711631,-0.318442670802259,0.0473048547568974,1.12354958853824,0.239354737090008,0.407955420457176,0.593,0.601,0.479230609915456,0.479230609915456,0.524820323806751,0.513242967559368
