"id","Mood","Pol","actor.type","country","year"
"Argentina-1995",0.4233645,1.49451,"house","Argentina",1995
"Argentina-1997",-0.22547,0.877089,"house","Argentina",1997
"Argentina-2003",-0.638005,1.155145,"house","Argentina",2003
"Argentina-2005",-1.06473,2.50655,"house","Argentina",2005
"Argentina-2009",-1.667095,2.22836,"house","Argentina",2009
"Bolivia-1993",0.2999585,1.07513,"house","Bolivia",1993
"Bolivia-1997",-0.484483,1.369005,"house","Bolivia",1997
"Bolivia-2002",-1.05547,1.99891,"house","Bolivia",2002
"Bolivia-2006",-0.9873415,1.97629,"house","Bolivia",2006
"Brazil-2003",-0.721037,1.66467,"house","Brazil",2003
"Brazil-2007",-0.452467,1.806015,"house","Brazil",2007
"Brazil-2013",0.1462075,1.585935,"house","Brazil",2013
"Chile-1993",0.5570785,1.51228,"house","Chile",1993
"Chile-1997",-0.3641275,1.014855,"house","Chile",1997
"Chile-2002",-0.4722775,1.293305,"house","Chile",2002
"Chile-2006",-0.348478,1.96859,"house","Chile",2006
"Chile-2010",-0.694036,2.164265,"house","Chile",2010
"Colombia-1998",-0.6187995,1.70838,"house","Colombia",1998
"Colombia-2002",-0.39465,1.236465,"house","Colombia",2002
"Colombia-2006",-0.738949,1.512275,"house","Colombia",2006
"Colombia-2010",-1.31679,2.94169,"house","Colombia",2010
"CostaRica-1994",-0.00567342,2.00115,"house","CostaRica",1994
"CostaRica-1998",-0.6544615,1.40838,"house","CostaRica",1998
"CostaRica-2002",-0.6314275,1.637235,"house","CostaRica",2002
"CostaRica-2006",-0.500192,1.339255,"house","CostaRica",2006
"CostaRica-2010",-1.19064,1.956025,"house","CostaRica",2010
"DominicanRep-1994",-0.915526,2.68522,"house","DominicanRep",1994
"DominicanRep-1998",-0.585011,0.9823345,"house","DominicanRep",1998
"DominicanRep-2002",-0.8111565,1.124185,"house","DominicanRep",2002
"DominicanRep-2006",-0.505078,1.38717,"house","DominicanRep",2006
"DominicanRep-2010",-1.18042,2.782315,"house","DominicanRep",2010
"Ecuador-1996",0.263647,1.79123,"house","Ecuador",1996
"Ecuador-1998",0.08874015,0.381148,"house","Ecuador",1998
"Ecuador-2002",-0.8625565,1.334545,"house","Ecuador",2002
"Ecuador-2007",-1.59532,1.83038,"house","Ecuador",2007
"Ecuador-2009",-2.019755,1.66696,"house","Ecuador",2009
"ElSalvador-1994",-0.213172,3.01094,"house","ElSalvador",1994
"ElSalvador-1997",-0.06836245,0.7026375,"house","ElSalvador",1997
"ElSalvador-2000",-0.625034,1.30855,"house","ElSalvador",2000
"ElSalvador-2003",-0.4985045,1.14271,"house","ElSalvador",2003
"ElSalvador-2009",-1.60728,1.97916,"house","ElSalvador",2009
"Guatemala-1995",0.0755967,1.18533,"house","Guatemala",1995
"Guatemala-2000",-0.51633,1.342405,"house","Guatemala",2000
"Guatemala-2004",-0.6007805,1.38581,"house","Guatemala",2004
"Guatemala-2008",-0.319497,1.581665,"house","Guatemala",2008
"Guatemala-2012",-0.93604,2.81777,"house","Guatemala",2012
"Honduras-1994",-1.17634,2.28609,"house","Honduras",1994
"Honduras-1997",-0.1764255,0.9734165,"house","Honduras",1997
"Honduras-2002",-0.648175,1.2383,"house","Honduras",2002
"Honduras-2006",-0.9443685,1.21359,"house","Honduras",2006
"Honduras-2010",-0.592191,3.025995,"house","Honduras",2010
"Mexico-1994",-0.02492685,1.57893,"house","Mexico",1994
"Mexico-1997",-0.167204,0.949402,"house","Mexico",1997
"Mexico-2000",-0.1771365,0.9562315,"house","Mexico",2000
"Mexico-2003",-0.558927,1.53711,"house","Mexico",2003
"Mexico-2006",-1.228915,1.534015,"house","Mexico",2006
"Mexico-2009",-1.691775,2.635685,"house","Mexico",2009
"Nicaragua-1996",-0.494204,1.79892,"house","Nicaragua",1996
"Nicaragua-2002",-0.7798835,1.54189,"house","Nicaragua",2002
"Nicaragua-2007",-0.819817,1.17607,"house","Nicaragua",2007
"Panama-1999",0.1664355,0.451299,"house","Panama",1999
"Panama-2004",-0.1365965,1.373685,"house","Panama",2004
"Panama-2009",-1.985795,1.72514,"house","Panama",2009
"Paraguay-1993",0.158029,1.650895,"house","Paraguay",1993
"Paraguay-1998",-0.629225,1.52885,"house","Paraguay",1998
"Paraguay-2003",-1.137405,1.80224,"house","Paraguay",2003
"Paraguay-2008",-0.4604,1.16381,"house","Paraguay",2008
"Peru-1995",0.495911,1.340995,"house","Peru",1995
"Peru-2001",-0.70302,1.658735,"house","Peru",2001
"Peru-2006",-0.355849,2.23598,"house","Peru",2006
"Uruguay-1995",-0.2434215,2.375995,"house","Uruguay",1995
"Uruguay-2000",-0.3075725,1.06219,"house","Uruguay",2000
"Uruguay-2005",-0.8076545,1.644935,"house","Uruguay",2005
"Uruguay-2009",-1.57716,1.810065,"house","Uruguay",2009
"Venezuela-1993",-0.132588,1.533695,"house","Venezuela",1993
"Venezuela-2000",-1.144745,1.838935,"house","Venezuela",2000
