"country"	"startyear"	"endyear"	"LH.cluster.cluster"	"pc.LH.scores...1."
"Argentina"	1983	2015	2	0.992542648741853
"Bolivia"	1979	1981	3	-1.48083413868879
"Bolivia"	1982	1994	3	-0.917865062684783
"Bolivia"	1995	2005	3	-0.917865062684783
"Bolivia"	2006	2009	3	-0.77930404761592
"Bolivia"	2010	2015	2	0.426784540626739
"Brazil"	1983	1988	2	1.07768403324175
"Brazil"	1989	2015	2	0.708388151706752
"Chile"	1970	1974	2	0.429573572737849
"Chile"	1990	2015	2	1.34682843696282
"Colombia"	1970	1991	1	-0.11963168381137
"Colombia"	1992	2015	2	0.486773777352822
"Costa Rica"	1970	2015	2	0.75055601178672
"Dominican Republic"	1970	1999	3	-1.48083413868879
"Dominican Republic"	2000	2015	3	-1.48083413868879
"Ecuador"	1979	1998	2	0.7901729859116
"Ecuador"	1999	2006	2	1.14445877413256
"Ecuador"	2007	2015	2	0.895686633012702
"Salvador"	1984	2015	1	-0.361618320766503
"Guatemala"	1970	1985	3	-1.48083413868879
"Guatemala"	1986	2015	3	-0.990075360613792
"Honduras"	1970	2015	3	-1.48083413868879
"Mexico"	1970	1987	3	-1.34227312361992
"Mexico"	1988	1999	3	-1.02807618873578
"Mexico"	2000	2015	1	-0.537317410660787
"Nicaragua"	1985	1989	1	-0.11963168381137
"Nicaragua"	1990	2006	1	0.132487989131857
"Nicaragua"	2007	2015	1	-0.116284151988005
"Panama"	1989	2015	2	1.20826742189395
"Paraguay"	1989	1992	1	-0.263146159034462
"Paraguay"	1993	2015	1	0.0290623672455874
"Peru"	1980	1991	2	0.486773777352822
"Peru"	1992	2000	1	0.23800163623296
"Peru"	2001	2015	2	0.486773777352822
"Uruguay"	1985	1997	2	0.803512781615427
"Uruguay"	1998	2015	2	1.56844281131675
"Venezuela"	1970	1998	2	0.625334792421685
"Venezuela"	1999	2002	1	0.13457601434669
"Venezuela"	2003	2015	1	0.13457601434669
