"","country","date","ccode","year","Month","Election.Lower","Inauguration.Lower","Election.Upper","Inauguration.Upper","Election.Exec","Inauguration.Exec","Combo","who","sessions","reservedareasecandfin","urgencybills","residualdecree","cdacontent","cdaoutcome","referendum2","budgetspending","budgetoutcome","vetochambers","vetooverride","lineitem","partialobservationsoverride","budgetveto","h_ballot","h_vote","h_pool","s_ballot","s_vote","s_pool","hpartys","govsh","mingov","govcoal"
"1","Argentina",Jan 1979,10,1979,"January",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Argentina",Feb 1979,10,1979,"February",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Argentina",Mar 1979,10,1979,"March",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Argentina",Apr 1979,10,1979,"April",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Argentina",May 1979,10,1979,"May",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Argentina",Jun 1979,10,1979,"June",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Argentina",Jul 1979,10,1979,"July",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Argentina",Aug 1979,10,1979,"August",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Argentina",Sep 1979,10,1979,"September",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Argentina",Oct 1979,10,1979,"October",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Argentina",Nov 1979,10,1979,"November",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Argentina",Dec 1979,10,1979,"December",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Argentina",Jan 1980,10,1980,"January",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Argentina",Feb 1980,10,1980,"February",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Argentina",Mar 1980,10,1980,"March",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Argentina",Apr 1980,10,1980,"April",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Argentina",May 1980,10,1980,"May",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Argentina",Jun 1980,10,1980,"June",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Argentina",Jul 1980,10,1980,"July",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Argentina",Aug 1980,10,1980,"August",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Argentina",Sep 1980,10,1980,"September",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Argentina",Oct 1980,10,1980,"October",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Argentina",Nov 1980,10,1980,"November",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Argentina",Dec 1980,10,1980,"December",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Argentina",Jan 1981,10,1981,"January",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Argentina",Feb 1981,10,1981,"February",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Argentina",Mar 1981,10,1981,"March",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Argentina",Apr 1981,10,1981,"April",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Argentina",May 1981,10,1981,"May",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Argentina",Jun 1981,10,1981,"June",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Argentina",Jul 1981,10,1981,"July",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Argentina",Aug 1981,10,1981,"August",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Argentina",Sep 1981,10,1981,"September",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Argentina",Oct 1981,10,1981,"October",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Argentina",Nov 1981,10,1981,"November",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Argentina",Dec 1981,10,1981,"December",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Argentina",Jan 1982,10,1982,"January",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Argentina",Feb 1982,10,1982,"February",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Argentina",Mar 1982,10,1982,"March",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Argentina",Apr 1982,10,1982,"April",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Argentina",May 1982,10,1982,"May",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Argentina",Jun 1982,10,1982,"June",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Argentina",Jul 1982,10,1982,"July",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Argentina",Aug 1982,10,1982,"August",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Argentina",Sep 1982,10,1982,"September",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Argentina",Oct 1982,10,1982,"October",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Argentina",Nov 1982,10,1982,"November",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Argentina",Dec 1982,10,1982,"December",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Argentina",Jan 1983,10,1983,"January",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,NA,NA,NA,NA
"50","Argentina",Feb 1983,10,1983,"February",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,NA,NA,NA,NA
"51","Argentina",Mar 1983,10,1983,"March",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,NA,NA,NA,NA
"52","Argentina",Apr 1983,10,1983,"April",NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,NA,NA,NA,NA
