"","actor.type","year","country","Mood","Polarization"
"1","Citizen",1996,"Argentina",-0.584267,1.399905
"2","Citizen",1998,"Argentina",-0.297128,1.1575
"3","Citizen",2000,"Argentina",0.5396935,1.77878
"4","Citizen",2001,"Argentina",-0.4211195,1.51056
"5","Citizen",2002,"Argentina",-1.114585,1.47329
"6","Citizen",2003,"Argentina",-0.6463845,1.428475
"7","Citizen",2004,"Argentina",-0.0255472,1.475465
"8","Citizen",2005,"Argentina",-0.0413184,2.017705
"9","Citizen",2007,"Argentina",-0.0148762,1.994925
"10","Citizen",2008,"Argentina",-1.164415,1.458335
"11","Citizen",2009,"Argentina",-0.09593905,2.026005
"12","Citizen",2010,"Argentina",0.002571385,1.66009
"13","Citizen",2011,"Argentina",-0.365399,1.486135
"14","Citizen",2012,"Argentina",-0.75673,1.40175
"15","Citizen",2013,"Argentina",-0.46123,1.524975
"16","Citizen",2014,"Argentina",-0.238026,1.45782
"17","Citizen",1996,"Bolivia",-0.609275,1.3394
"18","Citizen",1998,"Bolivia",-0.13751,1.068865
"19","Citizen",2000,"Bolivia",0.5347015,1.91366
"20","Citizen",2001,"Bolivia",-0.331827,1.523395
"21","Citizen",2002,"Bolivia",-0.7735325,1.49218
"22","Citizen",2003,"Bolivia",-0.553992,1.50992
"23","Citizen",2004,"Bolivia",0.0877516,1.444425
"24","Citizen",2005,"Bolivia",0.6584085,1.802115
"25","Citizen",2007,"Bolivia",0.7523765,2.01443
"26","Citizen",2008,"Bolivia",-1.05274,1.498255
"27","Citizen",2009,"Bolivia",0.304693,1.8063
"28","Citizen",2010,"Bolivia",0.2094875,1.68053
"29","Citizen",2011,"Bolivia",-0.0788553,1.487645
"30","Citizen",2012,"Bolivia",-0.285103,1.45703
"31","Citizen",2013,"Bolivia",-0.07399145,1.488565
"32","Citizen",2014,"Bolivia",0.2122385,1.46809
"33","Citizen",1996,"Brazil",-0.6035775,1.3769
"34","Citizen",1998,"Brazil",-0.3710275,1.15919
"35","Citizen",2000,"Brazil",0.523905,1.788665
"36","Citizen",2001,"Brazil",0.0281659,1.568375
"37","Citizen",2002,"Brazil",-0.2221565,1.44469
"38","Citizen",2003,"Brazil",0.222132,1.40264
"39","Citizen",2004,"Brazil",0.412804,1.403495
"40","Citizen",2005,"Brazil",0.8400465,1.63218
"41","Citizen",2007,"Brazil",0.903652,1.86097
"42","Citizen",2008,"Brazil",-0.797263,1.42337
"43","Citizen",2009,"Brazil",0.5929695,1.628205
"44","Citizen",2010,"Brazil",0.12021,1.472215
"45","Citizen",2011,"Brazil",0.059186,1.548665
"46","Citizen",2012,"Brazil",-0.3135695,1.446525
"47","Citizen",2013,"Brazil",0.275643,1.410175
"48","Citizen",2014,"Brazil",0.1027175,1.42251
"49","Citizen",1996,"Chile",-0.365035,1.47047
"50","Citizen",1998,"Chile",-0.3275015,1.148815
"51","Citizen",2000,"Chile",0.6492955,1.71491
"52","Citizen",2001,"Chile",0.552698,1.51937
"53","Citizen",2002,"Chile",-0.8844875,1.49659
"54","Citizen",2003,"Chile",-0.2103425,1.4498
"55","Citizen",2004,"Chile",0.04819865,1.46578
"56","Citizen",2005,"Chile",0.831427,1.6447
"57","Citizen",2007,"Chile",0.6844135,1.887895
"58","Citizen",2008,"Chile",-1.155145,1.53721
"59","Citizen",2009,"Chile",0.334742,1.74163
"60","Citizen",2010,"Chile",-0.375459,1.60026
"61","Citizen",2011,"Chile",-0.554897,1.46442
"62","Citizen",2012,"Chile",-0.826209,1.379125
"63","Citizen",2013,"Chile",-0.2625335,1.479305
"64","Citizen",2014,"Chile",-0.588784,1.42472
"65","Citizen",1996,"Colombia",-0.412983,1.408205
"66","Citizen",1998,"Colombia",-0.3958895,1.13913
"67","Citizen",2000,"Colombia",0.5405525,1.847045
"68","Citizen",2001,"Colombia",-0.6551185,1.5319
"69","Citizen",2002,"Colombia",-0.906549,1.48836
"70","Citizen",2003,"Colombia",-0.189668,1.49317
"71","Citizen",2004,"Colombia",0.323028,1.475355
"72","Citizen",2005,"Colombia",0.8988095,1.675875
"73","Citizen",2007,"Colombia",0.876597,1.90115
"74","Citizen",2008,"Colombia",-1.00597,1.483265
"75","Citizen",2009,"Colombia",-0.28921,1.93901
"76","Citizen",2010,"Colombia",0.00526988,1.652205
"77","Citizen",2011,"Colombia",-0.5619425,1.404135
"78","Citizen",2012,"Colombia",-0.457269,1.3736
"79","Citizen",2013,"Colombia",0.02069505,1.47057
"80","Citizen",2014,"Colombia",0.1415355,1.44458
"81","Citizen",1996,"CostaRica",-0.286126,1.42081
"82","Citizen",1998,"CostaRica",0.00398914,1.08793
"83","Citizen",2000,"CostaRica",0.772603,1.721705
"84","Citizen",2001,"CostaRica",-0.465774,1.53975
"85","Citizen",2002,"CostaRica",-0.4318035,1.488805
"86","Citizen",2003,"CostaRica",-0.4965515,1.437675
"87","Citizen",2004,"CostaRica",0.211542,1.440845
"88","Citizen",2005,"CostaRica",1.275175,1.4733
"89","Citizen",2007,"CostaRica",0.868568,1.811275
"90","Citizen",2008,"CostaRica",-0.9421915,1.49681
"91","Citizen",2009,"CostaRica",0.855741,1.671035
"92","Citizen",2010,"CostaRica",-0.286329,1.697185
"93","Citizen",2011,"CostaRica",0.0984073,1.517595
"94","Citizen",2012,"CostaRica",0.0207918,1.48642
"95","Citizen",2013,"CostaRica",-0.2703155,1.513295
"96","Citizen",2014,"CostaRica",0.1968225,1.541415
"97","Citizen",2004,"DominicanRep",-0.00921978,1.485775
"98","Citizen",2005,"DominicanRep",0.5617445,1.828545
"99","Citizen",2007,"DominicanRep",0.4854825,1.8861
"100","Citizen",2008,"DominicanRep",-1.13162,1.51474
"101","Citizen",2009,"DominicanRep",-0.02505245,1.84912
"102","Citizen",2010,"DominicanRep",-0.225392,1.64449
"103","Citizen",2011,"DominicanRep",-0.4262095,1.648795
"104","Citizen",2012,"DominicanRep",-0.8409135,1.34363
"105","Citizen",2013,"DominicanRep",0.1231605,1.47925
"106","Citizen",2014,"DominicanRep",-0.1586285,1.42573
"107","Citizen",1996,"Ecuador",-0.721246,1.341405
"108","Citizen",1998,"Ecuador",-0.2223835,1.117835
"109","Citizen",2000,"Ecuador",0.823965,1.736925
"110","Citizen",2001,"Ecuador",-0.1505095,1.569165
"111","Citizen",2002,"Ecuador",-0.5522185,1.507515
"112","Citizen",2003,"Ecuador",-0.807515,1.516445
"113","Citizen",2004,"Ecuador",-0.3711325,1.49323
"114","Citizen",2005,"Ecuador",0.5729045,1.881255
"115","Citizen",2007,"Ecuador",0.613155,2.142155
"116","Citizen",2008,"Ecuador",-0.8722845,1.465695
"117","Citizen",2009,"Ecuador",-0.2054895,2.253215
"118","Citizen",2010,"Ecuador",0.141807,1.592615
"119","Citizen",2011,"Ecuador",0.03188985,1.465465
"120","Citizen",2012,"Ecuador",-0.2166465,1.43554
"121","Citizen",2013,"Ecuador",0.06963235,1.4668
"122","Citizen",2014,"Ecuador",0.0949502,1.477045
"123","Citizen",1996,"ElSalvador",-0.333308,1.40191
"124","Citizen",1998,"ElSalvador",-0.2250615,1.11927
"125","Citizen",2000,"ElSalvador",0.726125,1.80376
"126","Citizen",2001,"ElSalvador",-0.0934188,1.48693
"127","Citizen",2002,"ElSalvador",-0.439746,1.562225
"128","Citizen",2003,"ElSalvador",-0.4880785,1.45075
"129","Citizen",2004,"ElSalvador",-0.0642998,1.45164
"130","Citizen",2005,"ElSalvador",0.3972665,1.991225
"131","Citizen",2007,"ElSalvador",0.591974,2.00928
"132","Citizen",2008,"ElSalvador",-1.025545,1.489195
"133","Citizen",2009,"ElSalvador",0.6661925,1.64603
"134","Citizen",2010,"ElSalvador",0.1103795,1.66574
"135","Citizen",2011,"ElSalvador",-0.0181184,1.604165
"136","Citizen",2012,"ElSalvador",-0.5590825,1.37206
"137","Citizen",2013,"ElSalvador",-0.6159965,1.48622
"138","Citizen",2014,"ElSalvador",0.2293155,1.49946
"139","Citizen",1996,"Guatemala",-0.255921,1.464855
"140","Citizen",1998,"Guatemala",-0.0863863,1.07625
"141","Citizen",2000,"Guatemala",0.8995145,1.652455
"142","Citizen",2001,"Guatemala",-0.1342665,1.52089
"143","Citizen",2002,"Guatemala",-0.3493835,1.482605
"144","Citizen",2003,"Guatemala",-0.8942695,1.47688
"145","Citizen",2004,"Guatemala",0.130576,1.4543
"146","Citizen",2005,"Guatemala",0.398169,2.005785
"147","Citizen",2007,"Guatemala",0.480862,2.1806
"148","Citizen",2008,"Guatemala",-0.821689,1.476405
"149","Citizen",2009,"Guatemala",0.0678948,2.15065
"150","Citizen",2010,"Guatemala",0.2136565,1.7937
"151","Citizen",2011,"Guatemala",-0.0346409,1.7012
"152","Citizen",2012,"Guatemala",0.0191422,1.448775
"153","Citizen",2013,"Guatemala",-0.1323475,1.550945
"154","Citizen",2014,"Guatemala",0.274905,1.494045
"155","Citizen",1996,"Honduras",-0.683139,1.383505
"156","Citizen",1998,"Honduras",-0.246099,1.13281
"157","Citizen",2000,"Honduras",1.13359,1.48762
"158","Citizen",2001,"Honduras",-0.725112,1.554535
"159","Citizen",2002,"Honduras",-0.46049,1.50479
"160","Citizen",2003,"Honduras",0.1420735,1.52065
"161","Citizen",2004,"Honduras",0.3536925,1.468045
"162","Citizen",2005,"Honduras",1.01944,1.574905
"163","Citizen",2007,"Honduras",1.021215,1.895155
"164","Citizen",2008,"Honduras",-0.694079,1.36832
"165","Citizen",2009,"Honduras",1.11209,1.58506
"166","Citizen",2010,"Honduras",0.549295,1.71235
"167","Citizen",2011,"Honduras",-0.316865,1.54378
"168","Citizen",2012,"Honduras",0.390253,1.592085
"169","Citizen",2013,"Honduras",0.219308,1.470515
"170","Citizen",2014,"Honduras",0.2156895,1.51078
"171","Citizen",1996,"Mexico",-0.08308275,1.494255
"172","Citizen",1998,"Mexico",-0.7091305,1.16918
"173","Citizen",2000,"Mexico",0.1687065,1.98402
"174","Citizen",2001,"Mexico",-0.3695075,1.470105
"175","Citizen",2002,"Mexico",-0.583278,1.47076
"176","Citizen",2003,"Mexico",-0.213138,1.499015
"177","Citizen",2004,"Mexico",0.146732,1.49981
"178","Citizen",2005,"Mexico",0.870499,1.70435
"179","Citizen",2007,"Mexico",1.115185,1.91786
"180","Citizen",2008,"Mexico",-0.9188885,1.44503
"181","Citizen",2009,"Mexico",0.673796,1.842655
"182","Citizen",2010,"Mexico",0.29085,1.65578
"183","Citizen",2011,"Mexico",-0.1437695,1.515855
"184","Citizen",2012,"Mexico",-0.3989895,1.425655
"185","Citizen",2013,"Mexico",-0.23351,1.511095
"186","Citizen",2014,"Mexico",0.08589705,1.44628
"187","Citizen",1996,"Nicaragua",-0.950935,1.310335
"188","Citizen",1998,"Nicaragua",-0.330584,1.118125
"189","Citizen",2000,"Nicaragua",0.9731195,1.629725
"190","Citizen",2001,"Nicaragua",0.3189525,1.457205
"191","Citizen",2002,"Nicaragua",-0.1114335,1.46394
"192","Citizen",2003,"Nicaragua",-0.0868761,1.478105
"193","Citizen",2004,"Nicaragua",0.4462515,1.432845
