"","actor.type","year","country","Mood","Polarization"
"1","Citizen",1996,"Argentina",-0.3539115,1.400815
"2","Citizen",1998,"Argentina",0.1508735,1.313095
"3","Citizen",2000,"Argentina",0.1253085,2.51527
"4","Citizen",2001,"Argentina",-0.611931,1.87247
"5","Citizen",2002,"Argentina",-1.04512,1.457805
"6","Citizen",2003,"Argentina",-0.8289125,1.188695
"7","Citizen",2004,"Argentina",-0.06645085,1.439175
"8","Citizen",2005,"Argentina",-0.115215,2.60379
"9","Citizen",2006,"Argentina",0.539098,1.575215
"10","Citizen",2007,"Argentina",-0.261871,2.940205
"11","Citizen",2008,"Argentina",-1.072475,1.717575
"12","Citizen",2009,"Argentina",-0.2982625,2.57384
"13","Citizen",2010,"Argentina",0.01888345,2.2103
"14","Citizen",2011,"Argentina",-0.24522,1.5413
"15","Citizen",2012,"Argentina",-0.574225,1.569
"16","Citizen",2013,"Argentina",-0.738295,1.46458
"17","Citizen",2014,"Argentina",-0.3841405,1.600885
"18","Citizen",1996,"Bolivia",-0.6085655,1.339755
"19","Citizen",1998,"Bolivia",0.457841,1.19178
"20","Citizen",2000,"Bolivia",0.134449,2.66721
"21","Citizen",2001,"Bolivia",-0.1796365,1.857625
"22","Citizen",2002,"Bolivia",-0.8956175,1.531525
"23","Citizen",2003,"Bolivia",-1.31349,1.22759
"24","Citizen",2004,"Bolivia",-0.5206125,1.39596
"25","Citizen",2005,"Bolivia",0.167175,2.309525
"26","Citizen",2006,"Bolivia",0.2051135,1.54613
"27","Citizen",2007,"Bolivia",0.5495845,3.15685
"28","Citizen",2008,"Bolivia",-1.190695,1.453575
"29","Citizen",2009,"Bolivia",0.157917,2.452645
"30","Citizen",2010,"Bolivia",0.2885885,2.051925
"31","Citizen",2011,"Bolivia",-0.262849,1.628975
"32","Citizen",2012,"Bolivia",-0.25746,1.48019
"33","Citizen",2013,"Bolivia",0.1177015,1.581075
"34","Citizen",2014,"Bolivia",0.1421905,1.50187
"35","Citizen",1996,"Brazil",-0.5685665,1.39096
"36","Citizen",1998,"Brazil",-0.3279295,1.17939
"37","Citizen",2000,"Brazil",-0.29749,1.755195
"38","Citizen",2001,"Brazil",-0.537693,1.647255
"39","Citizen",2002,"Brazil",-0.4817915,1.561845
"40","Citizen",2003,"Brazil",-0.8751775,1.086855
"41","Citizen",2004,"Brazil",-0.0740896,1.454825
"42","Citizen",2005,"Brazil",0.259535,1.66565
"43","Citizen",2006,"Brazil",0.4394945,1.4897
"44","Citizen",2007,"Brazil",0.978141,2.679695
"45","Citizen",2008,"Brazil",-0.9238035,1.02562
"46","Citizen",2009,"Brazil",0.324274,1.84444
"47","Citizen",2010,"Brazil",-0.3832005,1.55741
"48","Citizen",2011,"Brazil",-0.162975,1.83434
"49","Citizen",2012,"Brazil",-0.802716,1.46675
"50","Citizen",2013,"Brazil",-0.1100105,1.54821
"51","Citizen",2014,"Brazil",0.03523205,1.48298
"52","Citizen",1996,"Chile",-0.285825,1.43967
"53","Citizen",1998,"Chile",-0.4362495,1.3569
"54","Citizen",2000,"Chile",-0.233931,2.837235
"55","Citizen",2001,"Chile",0.0942282,1.59466
"56","Citizen",2002,"Chile",-1.292065,1.51601
"57","Citizen",2003,"Chile",-0.8850925,1.18214
"58","Citizen",2004,"Chile",-0.0781925,1.505705
"59","Citizen",2005,"Chile",0.6303705,2.053945
"60","Citizen",2006,"Chile",0.1759835,1.45079
"61","Citizen",2007,"Chile",0.4133815,2.976095
"62","Citizen",2008,"Chile",-1.65198,1.73796
"63","Citizen",2009,"Chile",-0.004213767,2.359895
"64","Citizen",2010,"Chile",-0.6725405,1.877415
"65","Citizen",2011,"Chile",-1.193945,1.514265
"66","Citizen",2012,"Chile",-1.200785,1.4267
"67","Citizen",2013,"Chile",-1.113085,1.413915
"68","Citizen",2014,"Chile",-0.8168575,1.41346
"69","Citizen",1996,"Colombia",-0.5440205,1.46583
"70","Citizen",1998,"Colombia",-0.01321855,1.16504
"71","Citizen",2000,"Colombia",0.777141,1.899245
"72","Citizen",2001,"Colombia",-0.2572805,1.779215
"73","Citizen",2002,"Colombia",-0.776346,1.448785
"74","Citizen",2003,"Colombia",-0.856804,1.145455
"75","Citizen",2004,"Colombia",0.07291685,1.39868
"76","Citizen",2005,"Colombia",1.12733,1.77905
"77","Citizen",2006,"Colombia",0.03212275,1.50001
"78","Citizen",2007,"Colombia",1.315255,2.379845
"79","Citizen",2008,"Colombia",-1.0178,1.32733
"80","Citizen",2009,"Colombia",0.130883,2.14501
"81","Citizen",2010,"Colombia",0.294986,1.709625
"82","Citizen",2011,"Colombia",-0.4324145,1.34266
"83","Citizen",2012,"Colombia",-0.1529775,1.38929
"84","Citizen",2013,"Colombia",-0.3341435,1.453165
"85","Citizen",2014,"Colombia",0.2808065,1.483525
"86","Citizen",1996,"CostaRica",-0.172486,1.49235
"87","Citizen",1998,"CostaRica",0.68804,1.05022
"88","Citizen",2000,"CostaRica",0.794054,1.54746
"89","Citizen",2001,"CostaRica",-0.239525,1.741435
"90","Citizen",2002,"CostaRica",-0.2057515,1.555565
"91","Citizen",2003,"CostaRica",-1.343925,1.150975
"92","Citizen",2004,"CostaRica",-0.029726,1.47051
"93","Citizen",2005,"CostaRica",0.9440845,1.481075
"94","Citizen",2006,"CostaRica",0.002387065,1.46885
"95","Citizen",2007,"CostaRica",0.5135895,2.529645
"96","Citizen",2008,"CostaRica",-1.08633,1.32686
"97","Citizen",2009,"CostaRica",0.735971,1.850395
"98","Citizen",2010,"CostaRica",-0.004600765,1.63118
"99","Citizen",2011,"CostaRica",-0.115658,1.690435
"100","Citizen",2012,"CostaRica",0.194459,1.482725
"101","Citizen",2013,"CostaRica",-0.7850045,1.45288
"102","Citizen",2014,"CostaRica",0.217808,1.49545
"103","Citizen",2004,"DominicanRep",-0.4243365,1.42118
"104","Citizen",2005,"DominicanRep",0.1113095,2.32752
"105","Citizen",2006,"DominicanRep",0.159014,1.49576
"106","Citizen",2007,"DominicanRep",1.333075,2.58398
"107","Citizen",2008,"DominicanRep",-1.203535,1.36255
"108","Citizen",2009,"DominicanRep",0.0536889,2.417465
"109","Citizen",2010,"DominicanRep",-0.1273405,1.795635
"110","Citizen",2011,"DominicanRep",-0.6672365,1.65335
"111","Citizen",2012,"DominicanRep",-0.776974,1.436295
"112","Citizen",2013,"DominicanRep",0.04118095,1.48273
"113","Citizen",2014,"DominicanRep",-0.3043825,1.5149
"114","Citizen",1996,"Ecuador",-0.651387,1.42251
"115","Citizen",1998,"Ecuador",0.634162,1.11034
"116","Citizen",2000,"Ecuador",0.7427105,2.00297
"117","Citizen",2001,"Ecuador",0.107264,2.067195
"118","Citizen",2002,"Ecuador",-0.435736,1.60826
"119","Citizen",2003,"Ecuador",-1.229035,1.318
"120","Citizen",2004,"Ecuador",-0.5880035,1.456185
"121","Citizen",2005,"Ecuador",0.430435,2.01175
"122","Citizen",2006,"Ecuador",0.02135825,1.4748
"123","Citizen",2007,"Ecuador",0.711607,3.13049
"124","Citizen",2008,"Ecuador",-0.9988605,1.41065
"125","Citizen",2009,"Ecuador",-0.004043255,2.62603
"126","Citizen",2010,"Ecuador",0.4276755,1.688
"127","Citizen",2011,"Ecuador",0.208405,1.484125
"128","Citizen",2012,"Ecuador",0.0159346,1.52524
"129","Citizen",2013,"Ecuador",0.60586,1.45657
"130","Citizen",2014,"Ecuador",0.04401,1.579245
"131","Citizen",1996,"ElSalvador",-0.3689715,1.5017
"132","Citizen",1998,"ElSalvador",0.6252985,1.006085
"133","Citizen",2000,"ElSalvador",0.7050935,2.17249
"134","Citizen",2001,"ElSalvador",-0.0608838,1.73633
"135","Citizen",2002,"ElSalvador",-0.06014465,1.63944
"136","Citizen",2003,"ElSalvador",-1.057295,1.258145
"137","Citizen",2004,"ElSalvador",-0.4192295,1.50634
"138","Citizen",2005,"ElSalvador",0.02414955,2.483455
"139","Citizen",2006,"ElSalvador",-0.3133105,1.430685
"140","Citizen",2007,"ElSalvador",1.345755,2.29512
"141","Citizen",2008,"ElSalvador",-1.08273,1.574775
"142","Citizen",2009,"ElSalvador",0.8777455,1.980015
"143","Citizen",2010,"ElSalvador",0.255898,2.06229
"144","Citizen",2011,"ElSalvador",-0.233372,1.709485
"145","Citizen",2012,"ElSalvador",-0.366891,1.48115
"146","Citizen",2013,"ElSalvador",-1.511155,1.416545
"147","Citizen",2014,"ElSalvador",0.3594365,1.55589
"148","Citizen",1996,"Guatemala",-0.324701,1.462525
"149","Citizen",1998,"Guatemala",0.553422,1.20222
"150","Citizen",2000,"Guatemala",0.627752,1.91729
"151","Citizen",2001,"Guatemala",-0.0980646,1.6085
"152","Citizen",2002,"Guatemala",-0.03865515,1.51991
"153","Citizen",2003,"Guatemala",-1.5316,1.24768
"154","Citizen",2004,"Guatemala",-0.3349635,1.42317
"155","Citizen",2005,"Guatemala",0.2384405,2.160155
"156","Citizen",2006,"Guatemala",-0.0125804,1.486995
"157","Citizen",2007,"Guatemala",0.4578305,3.320515
"158","Citizen",2008,"Guatemala",-1.070525,1.39393
"159","Citizen",2009,"Guatemala",-0.0030928585,2.759225
"160","Citizen",2010,"Guatemala",0.05062325,2.018545
"161","Citizen",2011,"Guatemala",-0.7219895,1.82357
"162","Citizen",2012,"Guatemala",0.0210081,1.498895
"163","Citizen",2013,"Guatemala",-0.806836,1.550035
"164","Citizen",2014,"Guatemala",0.2816105,1.46488
"165","Citizen",1996,"Honduras",-0.9171575,1.379855
"166","Citizen",1998,"Honduras",0.2131545,1.0364
"167","Citizen",2000,"Honduras",0.9886735,1.40834
"168","Citizen",2001,"Honduras",-0.6609685,1.54685
"169","Citizen",2002,"Honduras",-0.333511,1.624365
"170","Citizen",2003,"Honduras",-0.6561805,1.08512
"171","Citizen",2004,"Honduras",-0.2231,1.46493
"172","Citizen",2005,"Honduras",0.627776,1.581065
"173","Citizen",2006,"Honduras",0.0407789,1.475335
"174","Citizen",2007,"Honduras",0.738153,2.75441
"175","Citizen",2008,"Honduras",-1.03198,1.24894
"176","Citizen",2009,"Honduras",0.8785915,1.80959
"177","Citizen",2010,"Honduras",0.293618,1.84318
"178","Citizen",2011,"Honduras",-0.673063,1.734645
"179","Citizen",2012,"Honduras",0.3515625,1.60365
"180","Citizen",2013,"Honduras",-0.553123,1.463275
"181","Citizen",2014,"Honduras",0.236406,1.50396
"182","Citizen",1996,"Mexico",-0.0478035,1.436795
"183","Citizen",1998,"Mexico",-0.4457215,1.4176
"184","Citizen",2000,"Mexico",-0.311946,2.888785
"185","Citizen",2001,"Mexico",-0.420393,2.967885
"186","Citizen",2002,"Mexico",-0.8070095,1.554605
"187","Citizen",2003,"Mexico",-0.9267565,1.31083
"188","Citizen",2004,"Mexico",-0.0586554,1.506875
"189","Citizen",2005,"Mexico",0.03980535,2.822255
"190","Citizen",2006,"Mexico",0.446888,1.447395
"191","Citizen",2007,"Mexico",0.822029,3.904335
"192","Citizen",2008,"Mexico",-1.27648,1.62582
"193","Citizen",2009,"Mexico",0.0756021,3.0104
"194","Citizen",2010,"Mexico",-0.026886,2.51844
"195","Citizen",2011,"Mexico",-0.346067,1.66055
"196","Citizen",2012,"Mexico",-0.6129105,1.59868
"197","Citizen",2013,"Mexico",-0.6854615,1.57222
"198","Citizen",2014,"Mexico",-0.258993,1.69283
"199","Citizen",1996,"Nicaragua",-0.884878,1.312885
"200","Citizen",1998,"Nicaragua",0.231998,1.004785
"201","Citizen",2000,"Nicaragua",0.6928825,1.740595
"202","Citizen",2001,"Nicaragua",0.130998,1.75191
"203","Citizen",2002,"Nicaragua",0.0248912,1.47186
"204","Citizen",2003,"Nicaragua",-0.926055,1.18609
"205","Citizen",2004,"Nicaragua",-0.141404,1.396635
"206","Citizen",2005,"Nicaragua",0.6032555,1.67921
"207","Citizen",2006,"Nicaragua",-0.431855,1.45877
"208","Citizen",2007,"Nicaragua",1.132525,2.367285
"209","Citizen",2008,"Nicaragua",-1.030605,1.261135
"210","Citizen",2009,"Nicaragua",0.3868445,2.112255
"211","Citizen",2010,"Nicaragua",0.349473,1.583625
"212","Citizen",2011,"Nicaragua",-0.3262145,1.384095
"213","Citizen",2012,"Nicaragua",-0.3853105,1.411105
"214","Citizen",2013,"Nicaragua",-0.5456515,1.49206
"215","Citizen",2014,"Nicaragua",0.501046,1.49803
"216","Citizen",1996,"Panama",-0.590852,1.435785
"217","Citizen",1998,"Panama",-0.4315695,1.253975
"218","Citizen",2000,"Panama",-0.00418832,1.65198
"219","Citizen",2001,"Panama",0.178902,1.927595
"220","Citizen",2002,"Panama",-0.245292,1.639825
"221","Citizen",2003,"Panama",-1.434705,1.27009
"222","Citizen",2004,"Panama",-0.438089,1.42349
"223","Citizen",2005,"Panama",0.0851616,1.458585
"224","Citizen",2006,"Panama",-0.1196545,1.48081
"225","Citizen",2007,"Panama",1.09564,1.914365
"226","Citizen",2008,"Panama",-1.68043,1.208945
"227","Citizen",2009,"Panama",0.6552045,1.749775
"228","Citizen",2010,"Panama",0.4214965,1.602065
"229","Citizen",2011,"Panama",0.4990805,1.617625
"230","Citizen",2012,"Panama",-0.3810335,1.436585
"231","Citizen",2013,"Panama",-0.6826425,1.511325
"232","Citizen",2014,"Panama",0.6583295,1.580625
"233","Citizen",1996,"Paraguay",-0.295361,1.45644
"234","Citizen",1998,"Paraguay",0.27251,1.394095
"235","Citizen",2000,"Paraguay",0.196451,2.48191
"236","Citizen",2001,"Paraguay",0.1092755,1.620075
"237","Citizen",2002,"Paraguay",-1.08246,1.608285
"238","Citizen",2003,"Paraguay",-0.879633,1.26267
"239","Citizen",2004,"Paraguay",-0.691477,1.44587
"240","Citizen",2005,"Paraguay",-0.39777,2.57604
"241","Citizen",2006,"Paraguay",-0.412714,1.43943
"242","Citizen",2007,"Paraguay",0.413917,3.06635
"243","Citizen",2008,"Paraguay",-1.090575,1.518815
"244","Citizen",2009,"Paraguay",-0.000954072,2.59172
"245","Citizen",2010,"Paraguay",0.05773375,1.69637
"246","Citizen",2011,"Paraguay",0.214466,1.71562
"247","Citizen",2012,"Paraguay",-0.7745515,1.46757
"248","Citizen",2013,"Paraguay",-0.5938625,1.4051
"249","Citizen",2014,"Paraguay",-0.199567,1.54534
"250","Citizen",1996,"Peru",-0.7587915,1.439425
"251","Citizen",1998,"Peru",0.102227,1.14051
"252","Citizen",2000,"Peru",0.7393505,1.71555
"253","Citizen",2001,"Peru",-0.22751,1.844135
"254","Citizen",2002,"Peru",-0.7413145,1.509325
"255","Citizen",2003,"Peru",-1.00875,1.12732
"256","Citizen",2004,"Peru",-0.4186815,1.381885
"257","Citizen",2005,"Peru",0.453488,1.689335
"258","Citizen",2006,"Peru",-0.0116552,1.48227
"259","Citizen",2007,"Peru",0.958641,2.5804
"260","Citizen",2008,"Peru",-1.121405,1.25358
"261","Citizen",2009,"Peru",0.524789,2.053635
"262","Citizen",2010,"Peru",0.0886612,1.9457
"263","Citizen",2011,"Peru",-0.2159225,1.6038
"264","Citizen",2012,"Peru",-0.458512,1.483675
"265","Citizen",2013,"Peru",-0.416189,1.525455
"266","Citizen",2014,"Peru",0.240636,1.536545
"267","Citizen",1996,"Uruguay",-0.497036,1.361725
"268","Citizen",1998,"Uruguay",-0.748129,1.303205
"269","Citizen",2000,"Uruguay",-0.2517425,2.256835
"270","Citizen",2001,"Uruguay",-0.1672635,1.813265
"271","Citizen",2002,"Uruguay",-1.400545,1.483805
"272","Citizen",2003,"Uruguay",-0.85486,1.163495
