"","actor.type","year","real.year","country","country.name","Mood","Polarization"
"1",1,4,1996,1,"Argentina",-0.572343509071792,1.21477875184818
"2",1,6,1998,1,"Argentina",0.111381016267191,0.453693052037613
"3",1,8,2000,1,"Argentina",0.149380558652102,3.19831631891978
"4",1,9,2001,1,"Argentina",-0.444082075645486,1.32528182428699
"5",1,10,2002,1,"Argentina",-0.790967846152626,1.15469738905498
"6",1,11,2003,1,"Argentina",-0.507052418831202,0.714301183884397
"7",1,12,2004,1,"Argentina",-0.124637101500897,1.41624250536213
"8",1,13,2005,1,"Argentina",-0.196529895392356,3.08653356298159
"9",1,14,2006,1,"Argentina",0.504782015199586,2.04814616342213
"10",1,15,2007,1,"Argentina",-0.483145113069692,2.44099153634089
"11",1,16,2008,1,"Argentina",-0.689642400323393,0.943752195760926
"12",1,17,2009,1,"Argentina",-0.453026020901241,2.54282022242799
"13",1,18,2010,1,"Argentina",-0.173848036441074,1.50787510838647
"14",1,19,2011,1,"Argentina",-0.349276724827608,1.27966993204286
"15",1,20,2012,1,"Argentina",-0.755629003308768,1.50397655437773
"16",1,21,2013,1,"Argentina",-0.748791917370478,1.55392986688023
"17",1,22,2014,1,"Argentina",-0.532128086878581,1.74195692302352
"18",1,4,1996,2,"Bolivia",-0.933078241319412,1.23069728850429
"19",1,6,1998,2,"Bolivia",-0.0025999801949816,0.453464044860318
"20",1,8,2000,2,"Bolivia",0.0673593531989009,4.07434043266148
"21",1,9,2001,2,"Bolivia",-0.420222090079929,1.62968064044679
"22",1,10,2002,2,"Bolivia",-0.721041511636906,1.42650069427634
"23",1,11,2003,2,"Bolivia",-0.916430161385229,0.830526074691206
"24",1,12,2004,2,"Bolivia",-0.561172706785472,1.20680960301616
"25",1,13,2005,2,"Bolivia",-0.129419206500545,2.53099925373795
"26",1,14,2006,2,"Bolivia",0.0839289348005091,1.85132206195453
"27",1,15,2007,2,"Bolivia",-0.108862229739054,3.29868914047159
"28",1,16,2008,2,"Bolivia",-0.808601228941044,0.789469267283319
"29",1,17,2009,2,"Bolivia",-0.156665335321796,2.77162608441797
"30",1,18,2010,2,"Bolivia",-0.331901620638273,1.56175118252708
"31",1,19,2011,2,"Bolivia",-0.424117429084377,1.81257055285385
"32",1,20,2012,2,"Bolivia",-0.650909914847432,1.47697649497418
"33",1,21,2013,2,"Bolivia",0.266086553479756,2.8818130034563
"34",1,22,2014,2,"Bolivia",-0.23915205826687,2.05442882414821
"35",1,4,1996,3,"Brazil",-0.690779927983918,1.25150414768625
"36",1,6,1998,3,"Brazil",-0.235572778371962,0.520295371922645
"37",1,8,2000,3,"Brazil",-0.127182902457525,2.99493303573391
"38",1,9,2001,3,"Brazil",-0.442726601602832,1.21610656070792
