"","actor.type","year","country","Mood","Polarization"
"1",1,4,1,-0.3848905,1.341835
"2",1,6,1,0.353593,0.4895115
"3",1,8,1,0.3346165,3.28423
"4",1,9,1,-0.2695955,1.435945
"5",1,10,1,-0.672918,1.23078
"6",1,11,1,-0.3382335,0.763126
"7",1,12,1,-0.02385865,1.511625
"8",1,13,1,-0.03230375,3.30701
"9",1,14,1,0.6315805,2.219065
"10",1,15,1,-0.278714,2.625205
"11",1,16,1,-0.489935,1.02056
"12",1,17,1,-0.2887975,2.57748
"13",1,18,1,0.03570995,1.673535
"14",1,19,1,-0.1711875,1.513415
"15",1,20,1,-0.5898595,1.659915
"16",1,21,1,-0.638947,1.629985
"17",1,22,1,-0.35506,1.84028
"18",1,4,2,-0.814881,1.40448
"19",1,6,2,0.292649,0.4959615
"20",1,8,2,0.2360335,4.300205
"21",1,9,2,-0.1763455,1.70161
"22",1,10,2,-0.5535545,1.446405
"23",1,11,2,-0.8278955,0.921367
"24",1,12,2,-0.438779,1.288445
"25",1,13,2,0.1035415,2.800965
"26",1,14,2,0.2483925,1.74614
"27",1,15,2,0.128388,3.543265
"28",1,16,2,-0.630991,0.8698695
"29",1,17,2,0.0144306,3.039955
"30",1,18,2,-0.0887128,1.78122
"31",1,19,2,-0.2852205,2.010695
"32",1,20,2,-0.42916,1.56604
"33",1,21,2,0.3477305,2.85094
"34",1,22,2,0.00300369,2.158095
"35",1,4,3,-0.5178495,1.353515
"36",1,6,3,0.01384555,0.546461
"37",1,8,3,0.062069,3.233935
"38",1,9,3,-0.201236,1.27876
"39",1,10,3,-0.1381775,1.809685
"40",1,11,3,-0.2319135,0.6304525
"41",1,12,3,0.1549145,1.128895
"42",1,13,3,0.5048205,2.439195
"43",1,14,3,0.7726515,1.96231
"44",1,15,3,0.8671405,2.835635
"45",1,16,3,-0.1536875,0.646343
"46",1,17,3,0.4375795,2.105215
"47",1,18,3,-0.04922275,1.279625
"48",1,19,3,-0.07509285,2.4432
"49",1,20,3,-0.655005,1.972225
"50",1,21,3,0.0388855,1.71166
"51",1,22,3,-0.0575073,1.94666
"52",1,4,4,-0.5583845,1.58523
"53",1,6,4,0.1023175,0.4747
"54",1,8,4,0.268382,3.27027
"55",1,9,4,0.4534395,0.899945
"56",1,10,4,-0.802287,1.615775
"57",1,11,4,-0.357183,0.71877
"58",1,12,4,0.0695387,1.611635
"59",1,13,4,0.6730405,2.096695
"60",1,14,4,0.2188235,1.876965
"61",1,15,4,0.337608,2.6325
"62",1,16,4,-0.686962,0.9334025
"63",1,17,4,-0.01558305,2.599335
"64",1,18,4,-0.298074,1.174955
"65",1,19,4,-0.945159,1.587725
"66",1,20,4,-0.965857,1.678275
"67",1,21,4,-0.8608205,1.24763
"68",1,22,4,-0.7092975,1.42552
"69",1,4,5,-0.536141,1.362305
"70",1,6,5,0.164684,0.362685
"71",1,8,5,0.4237455,3.703585
"72",1,9,5,-0.321357,1.517755
"73",1,10,5,-0.4934585,1.46092
"74",1,11,5,-0.321539,0.6745535
"75",1,12,5,0.0880587,1.26692
"76",1,13,5,0.734997,2.633435
"77",1,14,5,-0.1039645,1.843875
"78",1,15,5,0.821477,2.246025
"79",1,16,5,-0.226773,0.6386485
"80",1,17,5,-0.253579,1.775745
"81",1,18,5,0.0842177,1.20058
"82",1,19,5,-0.180691,1.03694
"83",1,20,5,-0.0929125,1.264645
"84",1,21,5,-0.406605,1.527045
"85",1,22,5,0.1759165,1.73691
"86",1,4,6,-0.5863215,1.553785
"87",1,6,6,0.480378,0.2858125
"88",1,8,6,0.8105345,2.2571
"89",1,9,6,-0.06094885,1.469475
"90",1,10,6,0.0155623,1.916025
"91",1,11,6,-0.7246465,0.7821505
"92",1,12,6,0.0307702,1.27957
"93",1,13,6,0.8438865,1.63176
"94",1,14,6,0.01801825,1.841825
"95",1,15,6,0.137861,2.961875
"96",1,16,6,-0.4423555,0.8578705
"97",1,17,6,0.68829,2.791555
"98",1,18,6,-0.17412,1.233205
"99",1,19,6,-0.186122,2.23806
"100",1,20,6,-0.05948325,1.61553
"101",1,21,6,-0.5928355,1.878775
"102",1,22,6,0.148821,1.98627
"103",1,12,7,-0.3034885,1.29499
"104",1,13,7,0.134666,3.386275
"105",1,14,7,0.149821,1.972335
"106",1,15,7,1.11596,3.29633
"107",1,16,7,-0.3278,0.712675
"108",1,17,7,0.1057215,3.909665
"109",1,18,7,-0.107987,1.335325
"110",1,19,7,-0.664435,2.154325
"111",1,20,7,-0.586644,1.425185
"112",1,21,7,0.0293433,1.836755
"113",1,22,7,-0.447348,1.80062
"114",1,4,8,-0.877282,1.53486
"115",1,6,8,0.3237475,0.474599
