"","actor.type","year","country","Mood","Polarization"
"1",1,4,1,-0.2840655,1.34623
"2",1,6,1,0.3754665,0.5631845
"3",1,8,1,0.3146935,3.44117
"4",1,9,1,-0.237059,1.49719
"5",1,10,1,-0.678691,1.279745
"6",1,11,1,-0.3435845,0.821636
"7",1,12,1,0.007617355,1.52679
"8",1,13,1,-0.0522573,3.3508
"9",1,14,1,0.699411,2.06246
"10",1,15,1,-0.2447345,2.729745
"11",1,16,1,-0.458325,1.050465
"12",1,17,1,-0.303627,2.704155
"13",1,18,1,0.0934061,1.811805
"14",1,19,1,-0.1756985,1.53258
"15",1,20,1,-0.4977785,1.696905
"16",1,21,1,-0.618102,1.543345
"17",1,22,1,-0.302987,1.928095
"18",1,4,2,-0.772313,1.416855
"19",1,6,2,0.241533,0.5480015
"20",1,8,2,0.1800575,4.44166
"21",1,9,2,-0.241439,1.77521
"22",1,10,2,-0.648505,1.531615
"23",1,11,2,-0.95473,0.946022
"24",1,12,2,-0.554789,1.337285
"25",1,13,2,0.0143864,2.851615
"26",1,14,2,0.19813,1.818755
"27",1,15,2,0.103036,3.683515
"28",1,16,2,-0.700049,0.901597
"29",1,17,2,-0.03101705,3.25178
"30",1,18,2,-0.139838,1.970485
"31",1,19,2,-0.316571,2.14469
"32",1,20,2,-0.4305815,1.6436
"33",1,21,2,0.285629,2.90409
"34",1,22,2,0.02208925,2.113585
"35",1,4,3,-0.394796,1.43237
"36",1,6,3,-0.002327975,0.6349755
"37",1,8,3,0.02676405,3.279415
"38",1,9,3,-0.224885,1.36021
"39",1,10,3,-0.1789065,1.99341
"40",1,11,3,-0.2463135,0.662538
"41",1,12,3,0.126545,1.239855
"42",1,13,3,0.480563,2.51336
"43",1,14,3,0.776262,1.97394
"44",1,15,3,0.9339145,3.00911
"45",1,16,3,-0.180066,0.6995595
"46",1,17,3,0.4465035,2.14294
"47",1,18,3,-0.03078905,1.409105
"48",1,19,3,-0.09780555,2.562725
"49",1,20,3,-0.601997,2.1703
"50",1,21,3,0.0107418,1.771735
"51",1,22,3,-0.0332537,1.975345
"52",1,4,4,-0.4634255,1.64299
"53",1,6,4,0.0946969,0.5481845
"54",1,8,4,0.2517475,3.566015
"55",1,9,4,0.472468,0.9370545
"56",1,10,4,-0.883215,1.60176
"57",1,11,4,-0.420952,0.7556255
"58",1,12,4,0.02507445,1.6756
"59",1,13,4,0.6593815,2.16101
"60",1,14,4,0.199035,1.82915
"61",1,15,4,0.348238,2.69509
"62",1,16,4,-0.7141585,0.9868655
"63",1,17,4,-0.0381885,2.62297
"64",1,18,4,-0.339688,1.292355
"65",1,19,4,-1.012965,1.623105
"66",1,20,4,-0.9954285,1.781225
"67",1,21,4,-0.9229125,1.34224
"68",1,22,4,-0.692222,1.378155
"69",1,4,5,-0.439091,1.30405
"70",1,6,5,0.120339,0.4576795
"71",1,8,5,0.3452385,3.788495
"72",1,9,5,-0.3406555,1.56044
"73",1,10,5,-0.5724045,1.470505
"74",1,11,5,-0.3406755,0.6948655
"75",1,12,5,0.0556855,1.32478
"76",1,13,5,0.6875915,2.68454
"77",1,14,5,-0.0714313,1.89706
"78",1,15,5,0.8348095,2.372575
"79",1,16,5,-0.249232,0.681494
"80",1,17,5,-0.271934,1.96346
"81",1,18,5,0.07108865,1.307225
"82",1,19,5,-0.186106,1.14952
"83",1,20,5,-0.10040035,1.35188
"84",1,21,5,-0.421693,1.5639
"85",1,22,5,0.2003605,1.722995
"86",1,4,6,-0.4441055,1.566195
"87",1,6,6,0.4913495,0.327584
"88",1,8,6,0.7586605,2.413435
"89",1,9,6,-0.0758047,1.5238
"90",1,10,6,-0.02508675,1.93214
"91",1,11,6,-0.725622,0.7967665
"92",1,12,6,-0.0242073,1.29949
"93",1,13,6,0.8200185,1.676125
"94",1,14,6,-0.0286442,1.78328
"95",1,15,6,0.1203105,3.09602
"96",1,16,6,-0.4657525,0.8988085
"97",1,17,6,0.660554,3.02033
"98",1,18,6,-0.155437,1.353465
"99",1,19,6,-0.193133,2.29486
"100",1,20,6,0.00184469,1.66615
"101",1,21,6,-0.629422,1.885095
"102",1,22,6,0.1663805,2.021285
"103",1,12,7,-0.354998,1.184985
"104",1,13,7,0.1098,3.452905
"105",1,14,7,0.207386,1.98219
"106",1,15,7,1.1208,3.470505
"107",1,16,7,-0.37432,0.7510365
"108",1,17,7,0.0649499,3.973385
"109",1,18,7,-0.1434955,1.43368
