"Country","Year","presidentMoods"
"Argentina",1995,2.42542861
"Argentina",1997,-0.017800796011
"Argentina",2003,0.23050820654
"Argentina",2005,-1.425330824
"Argentina",2009,0.072146731708
"Bolivia",1997,0.48711437935
"Bolivia",2002,-0.6620047084
"Bolivia",2006,-1.1055931665
"Brazil",2003,-0.3348929314
"Brazil",2007,-0.957464448
"Brazil",2013,1.5316996446
"Chile",1993,1.72564169
"Chile",1997,1.31639478
"Chile",2002,0.398005168234
"Chile",2006,-0.453224567879
"Chile",2010,1.269631739599
"Colombia",1998,1.661823787
"Colombia",2002,-0.74422590307
"Colombia",2006,0.4750772479942
"Colombia",2010,-0.645169342131
"CostaRica",1994,0.96402073273
"CostaRica",1998,0.6585787004
"CostaRica",2002,-0.430097566642
"CostaRica",2006,0.276738108125
"CostaRica",2010,0.04147457398
"DominicanRep",1994,-0.26376634956
"DominicanRep",1998,0.40633173534
"DominicanRep",2002,-0.201609942203
"DominicanRep",2006,-1.069272464
"DominicanRep",2010,-1.190183353
"Ecuador",1996,0.4355594315
"Ecuador",1998,-0.363597649
"Ecuador",2002,-0.813631531
"Ecuador",2007,-0.719443746
"Ecuador",2009,-0.734351498
"ElSalvador",1994,-0.186667306833
"ElSalvador",1997,0.804658441
"ElSalvador",2000,-0.156940466055
"ElSalvador",2003,-0.6289275704
"ElSalvador",2009,-0.5223696854
"Guatemala",1995,1.906661711
"Guatemala",2000,0.419210623495
"Guatemala",2004,-0.132389829814
"Guatemala",2008,0.243949726428
"Guatemala",2012,0.71225013974
"Honduras",1994,1.529119591
"Honduras",1997,-0.46837993667
"Honduras",2002,0.087095563397602
"Honduras",2006,0.0093185094828
"Honduras",2010,0.08430885066
"Mexico",1994,-0.974430832
"Mexico",1997,1.205150517
"Mexico",2000,1.593933831
"Mexico",2003,0.3480982777326
"Mexico",2006,-1.938569963
"Mexico",2009,-1.809590293
"Nicaragua",1996,1.583869702
"Nicaragua",2002,-1.553262333
"Nicaragua",2007,-0.514139777979
"Paraguay",1993,1.688194594
"Paraguay",1998,-0.5334383393
"Paraguay",2003,-0.712399057506
"Paraguay",2008,-0.91515048284
"Peru",2001,0.404310711274
"Peru",2006,0.8413331020193
"Uruguay",1995,1.777481604
"Uruguay",2000,2.14684903
"Uruguay",2005,-0.089604394282
"Uruguay",2009,-0.7613041564
"Venezuela",1993,1.32529308161
"Venezuela",2000,-0.352169521839
