country,year,kaopen,CostBusiness,AverageTariff,TariffDispersion,RequiredReserve,NewRequiredReserve,FinalRequiredReserve,InterestRateLiberalization,TransactionTax,BankSupervision,EquityInflow,EquityOutflow,BondInflow,BondOutflow,MoneyMktInflow,MoneyMktOutflow,CollInvestInflow,CollInvestOutflow,DerivativesInflow,DerivativesOutflow,CreditOutflow,CreditInflow,FinancialCreditOutflow,FinancialCreditInflow,GuaranteesOutflow,GuaranteesInflow,DirectInvestOutflow,DirectInvestInflow,RealEstateOutflow,RealEstateInflow,VAT,PersonalIncomeTax,CorporateIncomeTax,IncomeProductivity,VATProductivity,Privatization1,Privatization2,FiringCost,NewFiringCost,HiringFlexibility,WorkingHoursFlexibility,SocialSecurityCost,MinimumWage,DualExchangeRate,NewMinimumWage
Argentina,1985,0.164809227,,29.96949153,14.57565189,43.24486295,,,0,0,0,,,,,,,,,,,,,,,,,,,,,18,45,33,0.029824274,0.168587172,0,,2.280602962,2.280602962,2,1,53.50000007,0.38801077,,0.38801077
Argentina,1986,0.164809227,,42.27838983,20.58310811,19.60908378,,,0,0,0,,,,,,,,,,,,,,,,,,,,,18,45,33,0.035075091,0.173104233,0,,2.280602962,2.280602962,2,1,53.50000007,0.311478645,,0.311478645
Argentina,1987,0.164809227,,42.27838983,20.58310811,10.15142186,,,2,0,0,,,,,,,,,,,,,,,,,,,,,18,45,33,0.044383805,0.170066442,0,,2.280602962,2.280602962,2,1,53.50000007,0.238653123,,0.238653123
Argentina,1988,0.164809227,,46.77381356,21.58716216,10.80099889,,,2,0,0,,,,,,,,,,,,,,,,,,,,,18,45,33,0.043446915,0.132255634,0,,2.280602962,2.280602962,2,1,53.50000007,0.247221917,,0.247221917
Argentina,1989,0.164809227,,46.77381356,21.58716216,40.12273558,,,2,0,0,,,,,,,,,,,,,,,,,,,,,15,36,33,0.063433682,0.140816162,0.000133419,,2.280602962,2.280602962,2,1,55.00000007,0.259687692,,0.259687692
Argentina,1990,0.164809227,,22.47711864,8.634864865,23.73540856,29.27276009,29.27276009,2,0,0,,,,,,,,,,,,,,,,,,,,,13,30,20,0.029482707,0.219961038,0.023786386,2.3647995,2.280602962,2.280602962,2,1,55.00000007,0.129710183,,0.129710183
Argentina,1991,0.164809227,,13.05813559,8.634864865,20.9009009,30.41244787,30.41244787,3,0,0,,,,,,,,,,,,,,,,,,,,,16,30,20,0.044955462,0.236993182,0.03932903,1.548070908,2.280602962,2.280602962,2,1,55.00000007,0.196165144,,0.196165144
Argentina,1992,0.164809227,,12.63,7.43,14.91175463,28,28,3,0,1,,,,,,,,,,,,,,,,,,,,,18,30,30,0.049297762,0.327253074,0.069706103,3.037235975,2.280602962,2.280602962,2,1,54.00000007,0.171601161,,0.171601161
Argentina,1993,0.757591665,,11.19,5.05,15.50895835,28.16666667,28.16666667,3,0,1,,,,,,,,,,,,,,,,,,,,,18,30,30,0.067665235,0.40411192,0.112117243,4.236448288,2.280602962,2.280602962,2,1,54.00000007,0.28464824,,0.28464824
Argentina,1994,0.818193734,,11.645,6.702978118,12.31606124,29.41666667,29.41666667,3,0,1,,,,,,,,,,,,,,,,,,,,,18,30,30,0.0813241,0.397735033,0.132271845,2.015258074,2.280602962,2.280602962,2,1,55.00000007,0.320267826,,0.320267826
Argentina,1995,0.878795862,,12.1,7.61,6.461175656,19.91666667,19.91666667,3,0,1,0,0.5,,,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,21,30,30,0.083645778,0.339895612,0.157435615,2.516124487,2.280602962,2.280602962,2,1,50,0.323417634,,0.323417634
Argentina,1996,0.691402555,,12.72,6.96,4.714208424,15.75,15.75,3,0,1,0,0.5,,,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,21,30,30,0.08555479,0.346786108,0.178223049,2.071907043,2.280602962,2.280602962,2,1,49,0.310732305,,0.310732305
Argentina,1997,0.939397931,,12.83,6.75,4.16401112,18.5,18.5,3,0,1,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,21,30,30,0.096581721,0.336145386,0.200891456,2.258254051,2.280602962,2.280602962,2,1,49,0.292472571,,0.292472571
Argentina,1998,0.878795862,,15.26,6.87,4.025981082,20,20,3,0,1,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,21,30,30,0.107120395,0.338363078,0.226743127,2.586200237,2.280602962,2.280602962,2,1,49,0.290051043,,0.290051043
Argentina,1999,0.818193734,,15.09,6.76,4.111969145,20,20,3,0,1,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,21,30,30,0.118523212,0.344834165,0.252562716,2.583494186,2.280602962,2.280602962,2,1,49,0.309424341,0,0.309424341
Argentina,2000,0.757591665,,15.05,6.74,3.625128955,20,20,3,0,1,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,21,35,35,0.11216115,0.342026027,0.269658342,1.711131454,2.280602962,2.280602962,2,1,49,0.312090546,0,0.312090546
Argentina,2001,0.164809227,,12.71,6.53,13.20243542,17.08333333,17.08333333,3,0.6,1,0,0.5,0,0.5,0,0.5,0,0.5,0.5,1,0,0,1,0,0,1,0,1,0,0,21,35,35,0.113896238,0.312289678,0.278873334,0.922713101,2.280602962,2.280602962,2,1,49,0.333491117,0,0.333491117
Argentina,2002,0.164809227,,13.8,6.4,19.05990263,27.33333333,27.33333333,3,0.6,1,0,1,0,1,0,1,0,1,0.5,1,0,0,1,0,0,1,0,1,0,0,21,35,35,0.086940699,0.334256115,0.288162609,0.976556361,2.280602962,2.280602962,2,1,33,0.303608298,0,0.303608298
Argentina,2003,0.412804574,12.4,14.15,8.52,26.65528525,15.33333333,15.33333333,3,0.6,2,0,1,0.5,1,0.5,1,0,1,0.5,1,0,0,1,1,0,1,1,1,1,0,21,35,35,0.122880947,0.336300891,0.291531821,0.342072546,2.280602962,2.280602962,2,1,40,0.288644016,0,0.288644016
Argentina,2004,0.412804574,14.7,12.35,7.5,25.53464586,20.33333333,20.33333333,3,0.6,2,0,1,0.5,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,21,35,35,0.150331741,0.344347854,0.297873637,0.589343011,2.280602962,2.280602962,2,1,40,0.394110531,0,0.394110531
Argentina,2005,0.412804574,12.5,11.21,7.08,13.89670744,22,22,3,0.6,2,0,1,0.5,1,1,1,1,1,0.5,1,1,0,1,1,1,0,1,0,1,0,21,35,35,0.156806981,0.343597775,0.303093412,0.478807718,2.225252408,2.225252408,2,1,40,0.483974099,1,0.483974099
Argentina,2006,0.247995377,11.6,11.19,7.1,22.69812233,22.33333333,22.33333333,3,0.6,2,0.5,1,1,0.5,0.5,0.5,0.5,1,0.5,1,0,0,1,1,0,0,0,0,0,0,21,35,35,0.151763595,0.370729907,0.317054106,1.407644629,2.225252408,2.225252408,2,1,40,0.497583985,1,0.497583985
Argentina,2007,0.247995377,9.4,11.21,7.13,21.78874726,22.83333333,22.83333333,3,0.6,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0.5,0,21,35,35,0.155522771,0.392860803,0.325939913,0.806312799,2.225252408,2.225252408,2,1,40,0.503026247,1,0.503026247
Argentina,2008,0.247995377,8.8,9.98,6.64,26.30573551,21.45833333,21.45833333,3,0.6,2,0.5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.5,0,21,35,35,0.150594552,0.401186608,0.333951145,0.723899364,2.225252408,2.225252408,2,1,40,0.497515112,1,0.497515112
Argentina,2009,0.247995377,13.7,10.16,6.96,27.45309691,17.33333333,17.33333333,3,0.6,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.5,0,21,35,35,0.141888845,0.438060487,0.337919358,0.499129474,2.225252408,2.225252408,2,1,40,0.555553496,1,0.555553496
Argentina,2010,0.247995377,16.7,11.43,,,17.33333333,17.33333333,3,0.6,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.5,0,21,35,35,,,,0.481599569,,2.225252408,2,1,,,1,0.51519388
Argentina,2011,0.247995377,14,9.77,,,17.33333333,17.33333333,3,0.6,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0.5,1,21,35,35,,,,0.604650855,,2.225252408,2,1,35.5,,1,0.524613976
Argentina,2012,0,12.2,9.73,,,17.12541667,17.12541667,3,0.6,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.5,1,21,35,35,,,,0.490295172,,2.225252408,2,1,35.5,,1,0.508535087
