"country"	"startyear"	"endyear"	"UH.cluster.cluster"	"pc.UH.scores...1."	"pc.UH.scores...2."
"Argentina"	1983	2015	2	0.776062188567179	0.910723100094902
"Bolivia"	1979	1981	3	-1.09923161893416	-0.504833713410367
"Bolivia"	1982	1994	3	-0.838891013648988	-0.818904829804229
"Bolivia"	1995	2005	3	-0.838891013648988	-0.818904829804229
"Bolivia"	2006	2009	3	-0.637768925320221	-0.562146266539434
"Bolivia"	2010	2015	1	1.28408381405208	-1.84155314991591
"Brazil"	1983	1988	2	0.980083946497988	0.629763748716616
"Brazil"	1989	2015	1	0.57098797284757	-0.844301786408891
"Chile"	1970	1974	2	0.515721583282006	1.22479421648876
"Chile"	1990	2015	2	1.21319461536094	0.745868587330766
"Colombia"	1970	1991	2	-0.015304159788917	0.370223399068693
"Colombia"	1992	2015	1	0.543758036425349	-0.414125831400879
"Dominican Republic"	1970	1999	3	-1.2194726681186	0.102120170441691
"Dominican Republic"	2000	2015	3	-1.2194726681186	0.102120170441691
"Mexico"	1970	1987	3	-1.11136169255204	0.535656662550532
"Mexico"	1988	1999	3	-1.11136169255204	0.535656662550532
"Mexico"	2000	2015	3	-0.85102108726687	0.22158554615667
"Paraguay"	1989	1992	2	-0.344325611016126	0.968614403941671
"Paraguay"	1993	2015	2	0.21473658519814	0.184265173472099
"Peru"	1980	1991	1	0.543758036425349	-0.414125831400879
"Uruguay"	1985	1997	1	0.566399583009458	-0.294043037912431
"Uruguay"	1998	2015	2	1.21319461536094	0.745868587330766
"Venezuela"	1970	1998	1	0.86512117393855	-0.764321151988141
