"median.party"	"median.party.mood"	"prez.party"	"prez.party.mood"	"legislative.median"	"country"	"year"
"PJ"	-0.142234669811321	"PJ"	-0.142234669811321	-0.066716416077044	"Argentina"	2005
"PJ"	-0.00803579661016949	"PJ"	-0.00803579661016949	-0.108180210526316	"Argentina"	1997
"PJ"	0.549280325214609	"PJ"	0.549280325214609	0.110927085175652	"Argentina"	1995
"PJ"	-0.0430246764705882	"PJ"	-0.0430246764705882	-0.068915	"Argentina"	2003
"CC"	-0.0022440945	"PJ"	-0.0672670603597222	0.03792814958625	"Argentina"	2009
"PRI"	-0.1370650603224	"PRI"	-0.1370650603224	NA	"Mexico"	1997
"PRI"	-0.04843125	"PRI"	-0.04843125	NA	"Mexico"	1994
"PRI"	-0.132832615384615	"PAN"	0.0593887058823529	-0.0961023846153846	"Mexico"	2000
"PRI"	-0.0906374736842105	"PAN"	0.0192167368421053	-0.082287052631579	"Mexico"	2003
"PRI"	-0.127890285714286	"PAN"	0.0149252830188679	-0.10099441509434	"Mexico"	2006
"PRI"	0.118666048780488	"PAN"	0.209787375	0.1360681	"Mexico"	2009
"DC"	-0.0833004925867241	"DC"	-0.0833004925867241	0.138797619186417	"Chile"	1997
"DC"	0.3299975415009	"DC"	0.3299975415009	0.4080311481806	"Chile"	1993
"DC"	-0.0528	"PS"	-0.176977777777778	0.0635506666666667	"Chile"	2002
"PPD"	-0.083671875	"PS"	-0.354886363636364	0.069052500061875	"Chile"	2006
"DC"	0.0846636923076923	"RN"	0.159761538461538	0.0982384615384616	"Chile"	2010
"FLP"	-0.043626875	"ARENA"	0.0876041665790625	-0.09134188	"ElSalvador"	1997
"FMLN"	0.0789666666666667	"ARENA"	0.236997354451111	0.108876623231455	"ElSalvador"	1994
"PCN"	-0.0765367966545455	"ARENA"	0.203828571288	-0.0783986147730618	"ElSalvador"	2000
"PCN"	-0.07314285696	"ARENA"	0.145879120684615	-0.0873650791466667	"ElSalvador"	2003
"PCN"	-0.275058241066667	"FMLN"	-0.429553605792857	-0.234132301504762	"ElSalvador"	2009
"MNR"	-0.05831	"ADN"	0.00502658333333333	-0.06683201875	"Bolivia"	1997
"MNR"	0.2664	"MNR"	0.2664	0.219592747826087	"Bolivia"	1993
"MIR"	0.015	"MNR"	0.127093117444211	-0.0617692312	"Bolivia"	2002
