country	year	temp	temp2	VRR	VRL	merge.with
ARGENTINA	1995	12.62813	0.9981	12.65217	8.347828	Argentina-1995
ARGENTINA	1999	10.71483	0.997	10.74708	10.25292	
ARGENTINA	2003	12.85435	0.99998	12.85461	8.145391	Argentina-2003
ARGENTINA	2007	9.572269	1	9.572269	11.42773	Argentina-2009
ARGENTINA	2011	8.785207	1.001	8.776431	12.22357	
BOLIVIA	1993	11.76621	0.98361	11.96228	9.037724	Bolivia-1993
BOLIVIA	1997	11.16907	0.99525	11.22238	9.777622	Bolivia-1997
BOLIVIA	2002	10.75296	0.9996	10.75727	10.24273	Bolivia-2002
BOLIVIA	2005	8.996062	1.001	8.987075	12.01293	Bolivia-2006
BOLIVIA	2009	7.12265	1	7.12265	13.87735	
BRAZIL	1994	12.10443	1	12.10443	8.895574	
BRAZIL	1998	11.40617	1	11.40617	9.593829	
BRAZIL	2002	9.518502	0.99999	9.518598	11.4814	Brazil-2003
BRAZIL	2006	10.032	1	10.032	10.968	Brazil-2007
BRAZIL	2010	8.89051	1	8.89051	12.10949	Brazil-2013
CHILE	1993	11.64297	1	11.64297	9.357027	Chile-1993
CHILE	1999	12.54984	0.9992	12.55989	8.440109	Chile-1997
CHILE	2005	11.46056	1	11.46056	9.539444	Chile-2006
CHILE	2009	11.32922	1	11.32922	9.670776	Chile-2010
CHILE	2013	9.953663	0.99999	9.953762	11.04624	
COLOMBIA	1994	12.56504	0.98332	12.77818	8.221817	
COLOMBIA	1998	14.09431	0.98789	14.26708	6.732918	Colombia-1998
COLOMBIA	2002	14.20899	0.99926	14.21951	6.780485	Colombia-2002
COLOMBIA	2006	13.73192	0.99999	13.73205	7.267947	Colombia-2006
COLOMBIA	2010	14.53006	0.99781	14.56195	6.438046	Colombia-2010
COLOMBIA	2014	14.83255	1.00001	14.8324	6.167597	
COSTA RICA	1994	13.53573	0.99855	13.55538	7.444616	CostaRica-1994
COSTA RICA	1998	13.22005	0.982	13.46237	7.537629	CostaRica-1998
COSTA RICA	2002	11.96093	0.99716	11.99499	9.005007	CostaRica-2002
COSTA RICA	2006	10.95883	1.00001	10.95872	10.04128	CostaRica-2006
COSTA RICA	2010	12.24982	1	12.24982	8.750181	CostaRica-2010
COSTA RICA	2014	9.312759	0.96451	9.65543	11.34457	
DOMINICAN REPUBLIC	1994	12.50536	0.99252	12.59961	8.400394	DominicanRep-1994
DOMINICAN REPUBLIC	1996	11.54802	0.9939	11.61889	9.381106	DominicanRep-1998
DOMINICAN REPUBLIC	2000	11.41256	0.9941	11.4803	9.519704	DominicanRep-2002
DOMINICAN REPUBLIC	2004	11.69708	0.994	11.76768	9.232315	DominicanRep-2006
DOMINICAN REPUBLIC	2008	11.27773	0.99408	11.34489	9.655111	DominicanRep-2010
DOMINICAN REPUBLIC	2012	10.84539	0.99537	10.89584	10.10416	
ECUADOR	1992	14.35757	0.9965	14.408	6.591998	
ECUADOR	1996	11.62604	1.00001	11.62593	9.374073	Ecuador-1996
ECUADOR	1998	9.598	0.999	9.607608	11.39239	Ecuador-1998
ECUADOR	2002	11.47438	1	11.47438	9.525624	Ecuador-2002
ECUADOR	2006	11.25661	0.99317	11.33402	9.66598	Ecuador-2007
ECUADOR	2009	8.33003	1.0001	8.329197	12.6708	Ecuador-2009
ECUADOR	2013	8.669445	0.99998	8.669619	12.33038	
EL SALVADOR	1994	13.51038	0.99999	13.51052	7.489484	ElSalvador-1994
EL SALVADOR	1999	11.88142	0.9964	11.92435	9.075652	ElSalvador-2000
EL SALVADOR	2004	11.38822	1	11.38822	9.61178	
EL SALVADOR	2009	10.03303	1	10.03303	10.96697	ElSalvador-2009
EL SALVADOR	2014	10.09962	0.99332	10.16754	10.83246	
GUATEMALA	1995	13.25731	0.968	13.69557	7.304427	Guatemala-1995
GUATEMALA	1999	14.23295	0.99774	14.26519	6.734815	Guatemala-2000
GUATEMALA	2003	13.2817	0.996	13.33504	7.664965	Guatemala-2004
GUATEMALA	2007	12.41173	1.001	12.39933	8.60067	Guatemala-2008
GUATEMALA	2011	14.13757	1	14.13757	6.862432	Guatemala-2012
HONDURAS	1993	15.76211	1	15.76211	5.237888	Honduras-1994
HONDURAS	1997	15.66985	0.9994	15.67926	5.32074	Honduras-1997
HONDURAS	2001	15.96147	1	15.96147	5.038532	Honduras-2002
HONDURAS	2005	16.12082	1	16.12082	4.879181	Honduras-2006
HONDURAS	2009	16.18875	0.99999	16.18892	4.811085	Honduras-2010
HONDURAS	2013	12.84888	0.99999	12.84901	8.150987	
MEXICO	1994	11.74131	0.9987	11.75659	9.24341	Mexico-1994
MEXICO	2000	12.81144	0.9992	12.82169	8.178308	Mexico-2000
MEXICO	2006	10.61557	0.993	10.6904	10.3096	Mexico-2006
MEXICO	2012	10.41526	0.99999	10.41537	10.58463	
NICARAGUA	1990	11.58221	1	11.58221	9.417789	
NICARAGUA	1996	13.41999	0.99314	13.51269	7.48731	Nicaragua-1996
NICARAGUA	2001	13.39235	0.999	13.40575	7.594249	Nicaragua-2002
NICARAGUA	2006	13.61735	0.9998	13.62007	7.379928	Nicaragua-2007
NICARAGUA	2011	12.17481	1.0567	11.52154	9.478461	
PANAMA	1994	13.76005	0.99649	13.80852	7.191484	
