,Argentina,Bolivia,Brazil,Chile,Colombia,CostaRica,DominicanRep,Ecuador,ElSalvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Peru,Paraguay,Uruguay,Venezuela,Average
1995,3.38,10.19,66.01,8.23,20.89,23.19,12.54,22.93,10.02965645,8.41,29.45,35,11.03,0.99,11.13,13.39,42.25,59.9,21.60775869
1996,0.16,12.43,15.76,7.36,20.8,17.51,5.4,24.36,9.788920402,11.06,23.82,34.38,11.62,1.26,11.55,9.8,28.34,99.9,19.18327336
1997,0.53,4.71,6.93,6.13,18.47,13.25,8.3,30.64,4.490136279,9.23,20.2,20.63,9.22,1.26,8.55,6.95,19.82,50,13.29500757
1998,0.92,7.67,3.2,5.11,18.68,11.66,4.83,36.1,2.547059776,6.61,13.67,15.93,13.05,0.63,7.25,11.55,10.81,35.8,11.44539221
1999,-1.17,2.16,4.86,3.34,10.87,10.05,6.47,52.24,0.51482713,5.21,11.66,16.59,11.21,1.3,3.47,6.75,5.66,23.6,9.710268174
2000,-0.94,4.6,7.04,3.84,9.22,10.96,7.72,96.09,2.271287568,5.98,11.05,9.49,11.54,1.45,3.76,8.98,4.76,16.2,11.88951598
2001,-1.07,1.6,6.84,3.57,7.97,11.26,8.88,37.67,3.750820575,7.26,9.67,6.37,7.4,0.31,1.98,7.27,4.37,12.5,7.644490032
2002,25.87,0.92,8.45,2.49,6.35,9.17,5.22,12.48,1.865525036,8.13,7.7,5.03,3.75,0.89,0.19,10.51,13.97,22.4,8.076973613
2003,13.44,3.34,14.71,2.81,7.13,9.45,27.45,7.93,2.120390917,5.63,7.67,4.55,5.3,0.5,2.26,14.23,19.38,31.1,9.944466162
2004,4.4,4.44,6.6,1.05,5.9,12.32,51.46,2.74,4.451943924,7.58,8.11,4.69,8.47,0.18,3.66,4.33,9.16,21.7,8.957885774
2005,9.65,5.4,6.87,3.05,5.05,13.8,4.19,2.17,4.690948709,9.11,8.81,3.99,9.6,3.18,1.62,6.79,4.7,16,6.592830484
2006,10.9,4.28,4.18,3.39,4.3,11.47,7.57,3.3,4.037123594,6.56,5.58,3.63,9.14,2.1,2,9.6,6.4,13.7,6.2298402
2007,8.83,8.7,3.64,4.41,5.54,9.36,6.14,2.28,4.578085724,6.82,6.94,3.97,11.13,4.17,1.78,8.13,8.11,18.7,6.846004762
2008,8.58,14.01,5.68,8.72,7,13.42,10.64,8.4,6.707922935,11.36,11.4,5.12,19.8,8.76,5.79,10.15,7.87,30.4,10.76710683
2009,6.27,3.35,4.89,1.48,4.2,7.84,1.44,5.16,1.055950297,1.86,5.5,5.3,3.69,2.41,2.94,2.59,7.06,27.1,5.229775017
2010,10.46,2.5,5.04,1.52,2.27,5.66,6.33,3.55,0.907806937,3.86,4.7,4.16,5.46,3.49,1.53,4.65,6.7,28.2,5.610433719
2011,9.78,9.88,6.64,3.34,3.42,4.88,8.46,4.47,5.128923767,6.22,6.76,3.41,8.08,5.88,3.37,8.25,8.09,26.1,7.342162432
2012,10.04,4.52,5.4,3.01,3.17,4.5,3.69,5.1,1.729577995,3.78,5.2,4.11,7.19,5.7,3.66,3.68,8.1,21.1,5.759976555
2013,10.62,5.74,6.2,1.93,2.02,5.23,4.83,2.72,0.757824507,4.34,5.16,3.81,7.14,4.03,2.81,2.68,8.58,40.6,6.622101362
2014,21.36,5.77,6.33,4.39,2.9,4.52,3,3.59,1.140579699,3.42,6.13,4.02,6.04,2.63,3.25,5.03,8.88,62.2,8.588921094
