Country,Year,PartyCode,Term,CorrectTerm,PartyAcronym,Party,Seat.ShareLH,Seat.ShareUH,Ideology.Score,TermUpper,TermPres
Argentina,1995,1,1995-1997,1995-1997,PJ,PJ Partido Justicialista,0.517509728,0.541666667,12.1,1995-1997,1995-1999
Argentina,1995,2,1995-1997,1995-1997,UCR,UCR Union Civica Radical,0.26459144,0.277777778,8.8,1995-1997,1995-1999
Argentina,1995,3,1995-1997,1995-1997,Frepaso,Frepaso Frente Pais Solidario,0.101167315,0.041666667,7.9,1995-1997,1995-1999
Argentina,1995,4,1995-1997,1995-1997,Provinciales,Partidos Provinciales,0.070038911,0.111111111,NA,1995-1997,1995-1999
Argentina,1995,5,1995-1997,1995-1997,Other,Otros Partidos,0.046692607,0.027777778,NA,1995-1997,1995-1999
Argentina,1997,1,1997-2001,1997-2001,PJ,PJ Partido Justicialista,0.463,0.541666667,12.1,1997-2001,1995-1999
Argentina,1997,2,1997-2001,1997-2001,UCR,UCR Union Civica Radical,0.265,0.277777778,8.8,1997-2001,1995-1999
Argentina,1997,3,1997-2001,1997-2001,Frepaso,Frepaso Frente Pais Solidario,0.148,0.041666667,7.9,1997-2001,1995-1999
Argentina,1997,4,1997-2001,1997-2001,Provinciales,Partidos Provinciales,0.085,0.111111111,NA,1997-2001,1995-1999
Argentina,1997,5,1997-2001,1997-2001,Other,Otros Partidos,0.039,0.027777778,NA,1997-2001,1995-1999
Argentina,2003,1,2003-2007,2003-2007,PJ,PJ Partido Justicialista,0.5097,0.569444444,12.1,2003-2007,2003-2007
Argentina,2003,2,2003-2007,2003-2007,UCR,UCR Union Civica Radical,0.179,0.222222222,8.8,2003-2007,2003-2007
Argentina,2003,3,2003-2007,2003-2007,ARI,ARI,0.0467,0,7.9,2003-2007,2003-2007
Argentina,2003,4,2003-2007,2003-2007,Other,Otros,0.2412,0.180555556,NA,2003-2007,2003-2007
Argentina,2003,5,2003-2007,2003-2007,PS,PS,0.0233,0.027777778,5.7,2003-2007,2003-2007
Argentina,2007,1,2007-2009,2007-2009,PJ,Frente Para la Victoria PJ,0.50390625,0.611111111,8.4,2007-2011,2007-2011
Argentina,2007,2,2007-2009,2007-2009,UCR,UCR,0.09375,0.138888889,8.8,2007-2011,2007-2011
Argentina,2007,3,2007-2009,2007-2009,ARI,Coalicion Civica ARI GEN UPT,0.0703125,0,7.9,2007-2011,2007-2011
Argentina,2007,4,2007-2009,2007-2009,Concertacion,De la Concertacion,0.03816794,0.069444444,NA,2007-2011,2007-2011
Argentina,2007,5,2007-2009,2007-2009,PS,Partido Socialista,0.0390625,0,5.7,2007-2011,2007-2011
Argentina,2007,6,2007-2009,2007-2009,PRO,PRO,0.04198473,0,15,2007-2011,2007-2011
Argentina,2007,7,2007-2009,2007-2009,ARI-Aut,Ari Autonomo +8,0.03435115,0,11.6,2007-2011,2007-2011
Argentina,2007,8,2007-2009,2007-2009,Provinciales,frente Civico por Santiago,0.0234375,0.125,NA,2007-2011,2007-2011
Argentina,2007,9,2007-2009,2007-2009,FREJUL,Frente Justicia Union y Libertad,0.0234375,0.055555556,15,2007-2011,2007-2011
Argentina,2007,10,2007-2009,2007-2009,Other,Otros Partidos,0.13158993,0,NA,2007-2011,2007-2011
Argentina,2010,1,2009-2013,2009-2013,PJ,Frente Para la Victoria PJ,0.342519685,0.5,8.4,2009-2013,2007-2011
Argentina,2010,2,2009-2013,2009-2013,UCR,UCR,0.169291339,0.347222222,8.8,2009-2013,2007-2011
Argentina,2010,3,2009-2013,2009-2013,PF,Peronismo Federal,0.114173228,0.027777778,16.7,2009-2013,2007-2011
Argentina,2010,4,2009-2013,2009-2013,CC,Coalicion Civica,0.07480315,0,7.5,2009-2013,2007-2011
Argentina,2010,5,2009-2013,2009-2013,PRO,PRO,0.043307087,0.027777778,15,2009-2013,2007-2011
Argentina,2010,6,2009-2013,2009-2013,Provinciales,frente Civico por Santiago,0.027559055,0,NA,2009-2013,2007-2011
Argentina,2010,7,2009-2013,2009-2013,PS,Partido Socialista,0.023622047,0,NA,2009-2013,2007-2011
Argentina,2010,8,2009-2013,2009-2013,PP,Peronista,0.023622047,0,NA,2009-2013,2007-2011
Argentina,2010,9,2009-2013,2009-2013,NEPS,Nuevo Encuentro Popular y Solidario,0.019685039,0,7.9,2009-2013,2007-2011
Argentina,2010,10,2009-2013,2009-2013,GEN,GEN,0.019685039,0,NA,2009-2013,2007-2011
Argentina,2010,11,2009-2013,2009-2013,MPS,Movimiento Proyecto sur,0.015748031,0,NA,2009-2013,2007-2011
Argentina,2010,13,2009-2013,2009-2013,Other,Otros Partidos,0.137795276,0.097222222,NA,2009-2013,2007-2011
Bolivia,1993,1,1993-1997,1993-1997,ADN,ADN Accion democratica nacionalista,0.1154,0.148148148,16.7,1993-1997,1993-1997
Bolivia,1993,2,1993-1997,1993-1997,MNR,MNR Movimiento Nacionalista Revolucionario,0.4,0.62962963,14.7,1993-1997,1993-1997
Bolivia,1993,3,1993-1997,1993-1997,MIR,MIR Movimiento de Izquierda revolucionario,0.1538,0.148148148,11.6,1993-1997,1993-1997
Bolivia,1993,4,1993-1997,1993-1997,UCS,UCS union Civica solidaridad,0.1539,0.037037037,7.9,1993-1997,1993-1997
Bolivia,1993,5,1993-1997,1993-1997,Condepa,Condepa Conciencia de Patria,0.1,0.037037037,5.7,1993-1997,1993-1997
Bolivia,1993,6,1993-1997,1993-1997,Other,Otros Partidos,0.0769,0,NA,1993-1997,1993-1997
Bolivia,1997,1,1997-2002,1997-2002,ADN,ADN Accion democratica nacionalista,0.2462,0.407407407,16.7,1997-2002,1997-2002
Bolivia,1997,2,1997-2002,1997-2002,MNR,MNR Movimiento Nacionalista Revolucionario,0.2,0.185185185,14.7,1997-2002,1997-2002
Bolivia,1997,3,1997-2002,1997-2002,MIR,MIR Movimiento de Izquierda revolucionario,0.1769,0.222222222,11.6,1997-2002,1997-2002
Bolivia,1997,4,1997-2002,1997-2002,UCS,UCS union Civica solidaridad,0.1615,0.074074074,7.9,1997-2002,1997-2002
Bolivia,1997,5,1997-2002,1997-2002,Condepa,Condepa,0.1462,0.111111111,5.7,1997-2002,1997-2002
Bolivia,1997,6,1997-2002,1997-2002,Other,Otros Partidos,0.0692,0,NA,1997-2002,1997-2002
Bolivia,2002,2,2002-2007,2002-2005,MNR,MNR Movimiento Nacionalista Revolucionario,0.276923077,0.407407407,14.7,2002-2005,2002-2005
Bolivia,2002,3,2002-2007,2002-2005,MIR,MIR Movimiento de Izquierda revolucionario,0.2,0.185185185,11.6,2002-2005,2002-2005
Bolivia,2002,4,2002-2007,2002-2005,UCS,UCS union Civica solidaridad,0.038461538,0,7.9,2002-2005,2002-2005
Bolivia,2002,5,2002-2007,2002-2005,NFR,NFR Nueva Fuerza Republicana,0.192307692,0.074074074,15,2002-2005,2002-2005
Bolivia,2002,6,2002-2007,2002-2005,MAS,MAS Movimiento al Socialismo,0.207692308,0.296296296,3.4,2002-2005,2002-2005
Bolivia,2002,7,2002-2007,2002-2005,MIP,MIP Movimiento Indigena Pachacuti,0.046153846,0,5.7,2002-2005,2002-2005
Bolivia,2002,37,2002-2007,2002-2005,Other,Otros,0.038461539,0.037037037,NA,2002-2005,2002-2005
Bolivia,2005,1,2006-2010,2006-2010,MAS,MAS,0.554,0.444444444,3.4,2006-2010,2006-2010
Bolivia,2005,2,2006-2010,2006-2010,MNR,MNR Movimiento Nacionalista Revolucionario,0.0538,0.037037037,14.7,2006-2010,2006-2010
Bolivia,2005,3,2006-2010,2006-2010,UN,UN unidad Nacional,0.0615,0.037037037,11.9,2006-2010,2006-2010
Bolivia,2005,4,2006-2010,2006-2010,Podemos,Podemos,0.3308,0.481481482,16.6,2006-2010,2006-2010
Brasil,1994,11,1995-1999,1995-1999,PPR,PPR,0.101364522,0.038461538,15,1995-1999,1995-1999
Brasil,1994,12,1995-1999,1995-1999,PDT,PDT,0.066276803,0.074074074,8.4,1995-1999,1995-1999
Brasil,1994,13,1995-1999,1995-1999,PT,PT,0.095516569,0.061728395,6.4,1995-1999,1995-1999
Brasil,1994,14,1995-1999,1995-1999,PTB,PTB,0.06042885,0.061728395,13.6,1995-1999,1995-1999
Brasil,1994,15,1995-1999,1995-1999,PMDB,PMDB,0.208576998,0.271604938,11.5,1995-1999,1995-1999
Brasil,1994,22,1995-1999,1995-1999,PL,PL,0.025341131,0,14.8,1995-1999,1995-1999
Brasil,1994,23,1995-1999,1995-1999,PPS,PPS,0.003898635,0.012345679,10.4,1995-1999,1995-1999
Brasil,1994,25,1995-1999,1995-1999,PFL,PFL,0.173489279,0.211538462,17.3,1995-1999,1995-1999
Brasil,1994,39,1995-1999,1995-1999,PP1993,PP1993,0.070175439,0.076923077,NA,1995-1999,1995-1999
Brasil,1994,40,1995-1999,1995-1999,PSB,PSB,0.029239766,0.012345679,7.5,1995-1999,1995-1999
Brasil,1994,45,1995-1999,1995-1999,PSDB,PSDB,0.1208577,0.12345679,13.5,1995-1999,1995-1999
Brasil,1994,65,1995-1999,1995-1999,PCDOB,PCDOB,0.019493177,0,5,1995-1999,1995-1999
Brasil,1994,88,1995-1999,1995-1999,Other,Otros Partidos,0.025341131,0.055792972,NA,1995-1999,1995-1999
Brasil,1998,11,1999-2003,1999-2003,PPB,PPB,0.116959064,0.061728395,16.8,1999-2003,1999-2003
Brasil,1998,12,1999-2003,1999-2003,PDT,PDT,0.048732943,0.024691358,8.4,1999-2003,1999-2003
Brasil,1998,13,1999-2003,1999-2003,PT,PT,0.113060429,0.086419753,6.4,1999-2003,1999-2003
Brasil,1998,14,1999-2003,1999-2003,PTB,PTB,0.06042885,0,13.6,1999-2003,1999-2003
