"PartyCode"	"LR.ideology.prez1"	"market.best"	"LR.ideology.self"	"state.not.solves.problems"	"state.not.in.sanitation"	"state.not.reduce.inequality"	"state.limited.scope"	"economy.best.in.private.sector"	"state.not.in.price.control"	"state.not.in.primsec.edu"	"state.not.in.housing"	"state.not.in.job.creation"	"state.not.in.pensions"	"state.not.in.high.edu"	"state.not.in.unemployment"	"state.not.in.basic.needs"	"privatization.beneficial"	"Year"	"Country"
"Argentina-1995"	"1 2 3 4 5"	"3 4 5 6 7 8 9 10"	NA	"1 2 3 4 5 6 7 8 10"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 4 5 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 5 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 6 7 8 9 10"	"1995"	"Argentina"
"Argentina-1997"	"1 2 3 4 5"	"3 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 5 6 7"	"1 2"	"1 5 6 10"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 4 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 6 7 8 9 10"	"1997"	"Argentina"
"Argentina-2003"	"1 2 3 4 5"	"1 2 3 4 5 6 7 8 9"	"1 3 4 5 6 8 10"	"1 2 3 4 5 6 7 8 9"	NA	"1 2 7"	NA	NA	NA	"1 3 4 5 7"	"1 7"	"1 3 4 7"	"1 3 5 7"	"1 2 3 5 7"	"1 3 4 7"	"1 3 4 7"	"1 2 3 5 7"	"1 2 3 4 5 6 7 8 9 10"	"2003"	"Argentina"
"Argentina-2005"	"1 2 3 4 5 6 7 8 9 10"	"1 3 4 5 6 7 8"	"1 4 7 10"	"2 3 4 5 6 7"	NA	"1 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 4 7"	"1 4 7"	"1 7"	"1 4 7"	NA	NA	"1 4 7 10"	"2005"	"Argentina"
"Argentina-2009"	"1 2 3 4 5 6 7 8 9 10 11 13"	"3 4 5 6 7 8 9"	"1 2 3 4 5 6 7 8"	"2 3 4 5 6 7 8"	NA	NA	"1 2 3 4"	NA	"1 2 4 5 6 7 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 7"	NA	NA	"1 2 3 4 5 6 7 8 9"	"2009"	"Argentina"
"Bolivia-1993"	"1 2 3 4 5 6"	"6 7 8 9 10"	NA	"1 3 4 5 6 7 8 9"	"1 3 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 3 5 7"	"1 2 4 6 7"	"1 3 5 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 4 7 10"	"1993"	"Bolivia"
"Bolivia-1997"	"1 2 3 4 5 6"	"5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 2 7"	"1 2"	"1 6 10"	"1 3 5 7"	"1 7"	"1 4 7"	"1 3 5 7"	"1 2 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 4 5 7"	"1 6 8 10"	"1997"	"Bolivia"
"Bolivia-2002"	"2 3 4 5 6 7 37"	"2 4 5 6 7 8 9 10"	"1 2 3 4 5 6 8 10"	"1 2 3 4 5 6 7 8 10"	NA	"1 3 7"	NA	NA	NA	"1 2 3 4 5 7"	"1 2 7"	"1 3 4 7"	"1 2 4 7"	"1 3 5 7"	"1 2 3 5 7"	"1 3 4 5 7"	"1 2 3 5 7"	"1 2 3 4 5 6 7 8 10"	"2002"	"Bolivia"
"Bolivia-2006"	"1 2 3 4"	"1 2 3 4 5 6 7"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 3 4 7"	NA	NA	NA	"1 3 5 7"	"1 3 7"	"1 3 5 7"	"1 2 4 7"	"1 3 4 5 7"	"1 2 4 7"	NA	NA	"1 3 6 8 10"	"2006"	"Bolivia"
"Brasil-2003"	"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"	"1 2 3 4 5 6 7 8 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9"	NA	"1 3 4 7"	NA	NA	NA	"1 3 5 6 7"	"1 3 5 7"	"1 2 3 4 5 7"	"1 3 5 7"	"1 3 5 7"	"1 2 3 5 7"	"1 2 3 5 7"	"1 2 3 5 7"	"1 3 4 5 6 7 8 10"	"2003"	"Brasil"
"Brasil-2007"	"10 11 12 13 14 15 20 22 23 25 40 43 45 65 75"	"1 2 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 10"	NA	NA	"1 2 3 4 5 6 7"	NA	"1 2 4 6 7 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2007"	"Brasil"
"Brasil-2013"	"10 11 12 13 14 15 20 22 23 25 33 40 43 45 50 65 88"	"1 2 3 4 5 6 7 8 9 10"	"1 6 7 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 3 4 5 7"	"1 2 3 4 5 6 7"	NA	"1 2 3 4 5 6 7 8 9 10"	NA	"1 3 5 7"	"1 3 5 7"	NA	"1 2 3 4 6 7"	NA	NA	NA	NA	"2013"	"Brasil"
"Chile-1993"	"1 2 3 4 5 6"	"2 3 4 5 6 7 8"	NA	"1 2 3 4 5 6 7 8 9"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 4 5 6 7"	"1 2 4 6 7"	"1 2 4 5 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 4 5 6 7 8 9 10"	"1993"	"Chile"
"Chile-1997"	"1 2 3 4 5 6"	"4 5 6 7 8"	"3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 3 7"	"1 2"	"1 10"	"3 5 7"	"1 2 3 7"	"1 4 7"	"1 3 4 5 7"	"1 2 3 5 7"	"1 2 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 2 5 6 8 9 10"	"1997"	"Chile"
"Chile-2002"	"1 2 3 4 5 6"	"1 2 3 4 5 6 7"	"3 6 8 10"	"1 2 3 4 5 6 7 8 10"	NA	"1 2 3 5 7"	NA	NA	NA	"1 3 5 7"	"1 3 5 7"	"1 2 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 2 3 5 7"	"1 2 3 5 7"	"1 3 6 8 10"	"2002"	"Chile"
"Chile-2006"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 3 5 6 8 10"	"1 2 3 4 5 6 7 8 9"	NA	"1 2 4 7"	NA	NA	NA	"1 3 5 6 7"	"1 3 5 7"	"1 2 4 7"	"1 2 3 5 7"	"1 2 7"	"1 3 5 7"	NA	NA	"1 3 4 6 7 8 10"	"2006"	"Chile"
"Chile-2010"	"1 2 3 4 5 6 7 8"	"5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9"	NA	NA	"1 2 3 4 5 6 7"	NA	"1 2 4 6 7 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2010"	"Chile"
"Colombia-1998"	"1 2 3 4"	"5 6 7 8 9 10"	"1 3 4 6 8 10"	"2 3 4 5 6 7 8 9"	"1 2"	NA	"1 7"	"1 2"	"1 10"	"1 3 5 7"	"1 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 3 6 8 10"	"1998"	"Colombia"
"Colombia-2002"	"1 2 3 8"	"1 2 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 7"	NA	NA	NA	"1 3 5 7"	"1 7"	"1 4 7"	"1 4 7"	"1 4 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 6 7 8 10"	"2002"	"Colombia"
