"country"	"startyear"	"endyear"	"amend"	"partialobservationsoverride"	"vetooverride"	"budgetspending"	"committeeslo"	"introdbillslo"	"stafflo"	"question"	"LH.cluster.cluster"	"pc.LH.scores...1."
"Argentina"	1983	2015	0	1	1	1	3	1	1	1	2	0.992542648741853
"Bolivia"	1979	1981	1	3	1	1	2	1	0	0	3	-1.48083413868879
"Bolivia"	1982	1994	1	3	1	1	2	1	1	1	3	-0.917865062684784
"Bolivia"	1995	2005	1	3	1	1	2	1	1	1	3	-0.917865062684784
"Bolivia"	2006	2009	0	3	1	1	2	1	1	1	3	-0.77930404761592
"Bolivia"	2010	2015	0	2	3	0	2	1	1	1	2	0.426784540626737
"Brazil"	1983	1988	0	1	1	0	2	0	1	0	2	1.07768403324175
"Brazil"	1989	2015	1	2	2	0	3	0	1	1	2	0.708388151706751
"Chile"	1970	1974	0	1	1	1	3	1	0	0	2	0.42957357273785
"Chile"	1990	2015	0	1	1	0	3	1	1	1	2	1.34682843696282
"Colombia"	1970	1991	1	2	1	0	3	1	0	0	1	-0.119631683811369
"Colombia"	1992	2015	1	2	2	0	3	1	1	1	2	0.486773777352821
"Costa Rica"	1970	2015	0	1	1	1	2	1	1	1	2	0.75055601178672
"Dominican Republic"	1970	1999	1	3	1	1	2	1	0	0	3	-1.48083413868879
"Dominican Republic"	2000	2015	1	3	1	1	2	1	0	0	3	-1.48083413868879
"Ecuador"	1979	1998	1	1	0	1	2	0	1	1	2	0.790172985911601
"Ecuador"	1999	2006	1	1	0	0	2	0	1	1	2	1.14445877413257
"Ecuador"	2007	2015	1	1	0	0	2	0	1	0	2	0.895686633012704
"Salvador"	1984	2015	1	2	1	0	2	1	0	0	1	-0.361618320766502
"Guatemala"	1970	1985	1	3	1	1	2	1	0	0	3	-1.48083413868879
"Guatemala"	1986	2015	1	3	1	1	3	1	0	1	3	-0.990075360613792
"Honduras"	1970	2015	1	3	1	1	2	1	0	0	3	-1.48083413868879
"Mexico"	1970	1987	0	3	1	1	2	1	0	0	3	-1.34227312361992
"Mexico"	1988	1999	0	3	1	1	2	1	1	0	3	-1.02807618873578
"Mexico"	2000	2015	0	3	1	1	3	1	1	1	1	-0.537317410660787
"Nicaragua"	1985	1989	1	2	1	0	3	1	0	0	1	-0.119631683811369
"Nicaragua"	1990	2006	1	2	2	1	3	1	1	1	1	0.132487989131856
"Nicaragua"	2007	2015	1	2	2	1	3	1	1	0	1	-0.116284151988005
"Panama"	1989	2015	1	1	1	0	3	1	1	1	2	1.20826742189395
"Paraguay"	1989	1992	0	2	1	1	2	1	1	0	1	-0.263146159034462
"Paraguay"	1993	2015	0	2	2	1	2	1	1	1	1	0.0290623672455863
"Peru"	1980	1991	1	2	2	0	3	1	1	1	2	0.486773777352821
"Peru"	1992	2000	1	2	2	0	3	1	1	0	1	0.238001636232959
"Peru"	2001	2015	1	2	2	0	3	1	1	1	2	0.486773777352821
"Uruguay"	1985	1997	0	2	1	0	3	0	1	1	2	0.803512781615428
"Uruguay"	1998	2015	0	1	1	0	3	0	1	1	2	1.56844281131675
"Venezuela"	1970	1998	0	2	2	0	3	1	1	1	2	0.625334792421684
"Venezuela"	1999	2002	0	2	2	0	2	1	1	0	1	0.134576014346689
"Venezuela"	2003	2015	0	2	2	0	2	1	1	0	1	0.134576014346689
