"country"	"startyear"	"endyear"	"amend"	"partialobservationsoverride"	"vetooverride"	"budgetspending"	"introdbillsup"	"vetoupper"	"question"	"UH.cluster.cluster"	"pc.UH.scores...1."	"pc.UH.scores...2."
"Argentina"	1983	2015	0	1	1	1	1	3	1	1	-0.776062188567182	0.910723100094901
"Bolivia"	1979	1981	1	3	1	1	1	2	0	3	1.09923161893416	-0.504833713410366
"Bolivia"	1982	1994	1	3	1	1	1	2	1	3	0.838891013648989	-0.818904829804229
"Bolivia"	1995	2005	1	3	1	1	1	2	1	3	0.838891013648989	-0.818904829804229
"Bolivia"	2006	2009	0	3	1	1	1	2	1	3	0.637768925320222	-0.562146266539433
"Bolivia"	2010	2015	0	2	3	0	1	1	1	2	-1.28408381405207	-1.84155314991591
"Brazil"	1983	1988	0	1	1	0	0	2	0	1	-0.98008394649799	0.629763748716614
"Brazil"	1989	2015	1	2	2	0	0	2	1	2	-0.570987972847568	-0.844301786408892
"Chile"	1970	1974	0	1	1	1	1	3	0	1	-0.515721583282008	1.22479421648876
"Chile"	1990	2015	0	1	1	0	1	3	1	1	-1.21319461536094	0.745868587330764
"Colombia"	1970	1991	1	2	1	0	1	3	0	1	0.0153041597889169	0.370223399068693
"Colombia"	1992	2015	1	2	2	0	1	3	1	2	-0.543758036425347	-0.414125831400879
"Dominican Republic"	1970	1999	1	3	1	1	1	3	0	3	1.2194726681186	0.102120170441692
"Dominican Republic"	2000	2015	1	3	1	1	1	3	0	3	1.2194726681186	0.102120170441692
"Mexico"	1970	1987	0	3	1	1	0	3	0	3	1.11136169255204	0.535656662550533
"Mexico"	1988	1999	0	3	1	1	0	3	0	3	1.11136169255204	0.535656662550533
"Mexico"	2000	2015	0	3	1	1	0	3	1	3	0.85102108726687	0.22158554615667
"Paraguay"	1989	1992	0	2	1	1	0	3	0	1	0.344325611016124	0.968614403941671
"Paraguay"	1993	2015	0	2	2	1	0	3	1	1	-0.21473658519814	0.184265173472099
"Peru"	1980	1991	1	2	2	0	1	3	1	2	-0.543758036425347	-0.414125831400879
"Uruguay"	1985	1997	0	2	1	0	1	2	1	2	-0.566399583009458	-0.294043037912432
"Uruguay"	1998	2015	0	1	1	0	1	3	1	1	-1.21319461536094	0.745868587330764
"Venezuela"	1970	1998	0	2	2	0	1	2	1	2	-0.865121173938549	-0.764321151988142
