country	startyear	endyear	decreecont	decreeout	referendum	urgencybills	sessions	budgetoutcome	promulgation	reservedareasecandfin	budgetveto
Argentina	1957	1993	0	0	0	0	1	0	0	0	1
Argentina	1994	2015	1	2	1	0	1	0	1	0	1
Bolivia	1967	2015	0	0	0	0	1	1	0	1	1
Brazil	1967	1987	1	2	0	2	1	1	1	1	1
Brazil	1988	2000	2	1	0	1	1	0	0	1	1
Brazil	2001	2015	1	1	0	1	1	0	0	1	1
Chile	1970	2015	0	0	0	1	1	1	0	1	1
Colombia	1968	2015	1	2	0	1	1	1	0	1	1
Costa Rica	1949	2015	0	0	0	0	1	0	0	0	0
Dominican Republic	1966	2015	0	0	0	0	1	0	0	0	1
Ecuador	1967	1978	0	0	0	0	1	1	0	0	0
Ecuador	1979	1982	0	0	2	0	1	0	0	0	0
Ecuador	1983	1997	0	0	2	2	1	0	0	0	0
Ecuador	1998	2007	0	0	2	2	1	1	1	1	1
Ecuador	2008	2015	0	0	1	2	1	1	1	1	1
Salvador	1962	2015	0	0	0	0	1	0	0	0	1
Guatemala	1965	2015	0	0	0	0	1	0	0	0	1
Honduras	1965	2015	0	0	0	0	1	0	0	0	0
Mexico	1917	2015	0	0	0	0	1	0	0	0	0
Nicaragua	1974	1986	0	0	0	1	1	1	0	1	0
Nicaragua	1987	1994	1	2	0	0	0	0	0	0	1
Nicaragua	1995	2015	0	0	0	0	1	0	0	0	1
Panama	1972	2015	0	0	0	0	1	1	0	0	1
Paraguay	1967	1991	2	1	0	2	1	1	0	0	0
Paraguay	1992	2015	0	0	0	2	1	0	0	0	0
Peru	1933	1978	0	0	0	0	1	0	0	0	0
Peru	1979	1992	0	0	0	1	1	1	0	0	1
Peru	1993	2015	1	2	0	1	1	1	0	0	1
Uruguay	1967	2015	0	0	0	2	1	0	1	1	1
Venezuela	1961	1998	0	0	0	0	1	0	0	0	1
Venezuela	1999	2015	0	0	1	0	1	0	0	0	1
