country	startyear	endyear	amend	partialobservationsoverride	vetooverride	budgetspending	introdbillsup	vetoupper	question	investigate	amnesty
Argentina	1983	2015	0	1	1	1	1	3	1	3	0
Bolivia	1979	1981	1	3	1	1	1	2	0	0	1
Bolivia	1982	1994	1	3	1	1	1	2	1	1	1
Bolivia	1995	2005	1	3	1	1	1	2	1	3	1
Bolivia	2006	2009	0	3	1	1	1	2	1	2	1
Bolivia	2010	2015	0	2	3	0	1	1	1	2	1
Brazil	1983	1988	0	1	1	0	0	2	0	0	0
Brazil	1989	2015	1	2	2	0	0	2	1	3	1
Chile	1970	1974	0	1	1	1	1	3	0	3	1
Chile	1990	2015	0	1	1	0	1	3	1	3	1
Colombia	1970	1991	1	2	1	0	1	3	0	3	1
Colombia	1992	2015	1	2	2	0	1	3	1	3	1
Dominican Republic	1970	1999	1	3	1	1	1	3	0	0	0
Dominican Republic	2000	2015	1	3	1	1	1	3	0	1	0
Mexico	1970	1987	0	3	1	1	0	3	0	0	1
Mexico	1988	1999	0	3	1	1	0	3	0	0	1
Mexico	2000	2015	0	3	1	1	0	3	1	2	1
Paraguay	1989	1992	0	2	1	1	0	3	0	1	1
Paraguay	1993	2015	0	2	2	1	0	3	1	2	1
Peru	1980	1991	1	2	2	0	1	3	1	2	1
Uruguay	1985	1997	0	2	1	0	1	2	1	3	1
Uruguay	1998	2015	0	1	1	0	1	3	1	3	1
Venezuela	1970	1998	0	2	2	0	1	2	1	3	0
