"country"	"startyear"	"endyear"	"decreecont"	"decreeout"	"referendum"	"urgencybills"	"sessions"	"budgetoutcome"	"promulgation"	"reservedareasecandfin"	"budgetveto"	"PR.cluster.cluster"	"pc.PR.scores...1."	"pc.PR.scores...2."	"president.type"
"Argentina"	1957	1993	0	0	0	0	1	0	0	0	1	3	0.944865841097353	0.32850127921292	"Weak president"
"Argentina"	1994	2015	1	2	1	0	1	0	1	0	1	2	-0.771333418352092	1.15184284063043	"Proactive president"
"Bolivia"	1967	2015	0	0	0	0	1	1	0	1	1	3	0.458369846414771	0.0642214513148509	"Weak president"
"Brazil"	1967	1987	1	2	0	2	1	1	1	1	1	2	-2.42634799577286	0.205094956268255	"Proactive president"
"Brazil"	1988	2000	2	1	0	1	1	0	0	1	1	2	-1.30528632957813	0.846184510399371	"Proactive president"
"Brazil"	2001	2015	1	1	0	1	1	0	0	1	1	2	-0.883660511276049	0.497295416569545	"Proactive president"
"Chile"	1970	2015	0	0	0	1	1	1	0	1	1	1	-0.146912395722083	-0.496391133919115	"Agenda-setting president"
"Colombia"	1968	2015	1	2	0	1	1	1	0	1	1	2	-1.64023807061903	0.922500706209369	"Proactive president"
"Costa Rica"	1949	2015	0	0	0	0	1	0	0	0	0	3	1.0657352965209	0.194342490520507	"Weak president"
"Dominican Republic"	1966	2015	0	0	0	0	1	0	0	0	1	3	0.944865841097353	0.32850127921292	"Weak president"
"Ecuador"	1967	1978	0	0	0	0	1	1	0	0	0	3	0.845007665475351	0.0845464070110032	"Weak president"
"Ecuador"	1979	1982	0	0	2	0	1	0	0	0	0	3	0.981643493449848	-0.68317173748715	"Weak president"
"Ecuador"	1983	1997	0	0	2	2	1	0	0	0	0	1	-0.22892099082386	-1.80439690795508	"Agenda-setting president"
"Ecuador"	1998	2007	0	0	2	2	1	1	1	1	1	1	-1.01711412394696	-2.09131111186789	"Agenda-setting president"
"Ecuador"	2008	2015	0	0	1	2	1	1	1	1	1	1	-0.975068222411436	-1.65255399786406	"Agenda-setting president"
"Salvador"	1962	2015	0	0	0	0	1	0	0	0	1	3	0.944865841097353	0.32850127921292	"Weak president"
"Guatemala"	1965	2015	0	0	0	0	1	0	0	0	1	3	0.944865841097353	0.32850127921292	"Weak president"
"Honduras"	1965	2015	0	0	0	0	1	0	0	0	0	3	1.0657352965209	0.194342490520507	"Weak president"
"Mexico"	1917	2015	0	0	0	0	1	0	0	0	0	3	1.0657352965209	0.194342490520507	"Weak president"
"Nicaragua"	1974	1986	0	0	0	1	1	1	0	1	0	1	-0.0260429402985357	-0.630549922611527	"Agenda-setting president"
"Nicaragua"	1987	1994	1	2	0	0	0	0	0	0	1	2	-0.565794388470117	1.82956714690864	"Proactive president"
"Nicaragua"	1995	2015	0	0	0	0	1	0	0	0	1	3	0.944865841097353	0.32850127921292	"Weak president"
"Panama"	1972	2015	0	0	0	0	1	1	0	0	1	3	0.724138210051804	0.218705195703416	"Weak president"
"Paraguay"	1967	1991	2	1	0	2	1	1	0	0	0	2	-1.74465838369996	0.196100797352054	"Proactive president"
"Paraguay"	1992	2015	0	0	0	2	1	0	0	0	0	1	-0.144829187752808	-0.926882679947424	"Agenda-setting president"
"Peru"	1933	1978	0	0	0	0	1	0	0	0	0	3	1.0657352965209	0.194342490520507	"Weak president"
"Peru"	1979	1992	0	0	0	1	1	1	0	0	1	3	0.11885596791495	-0.341907389530549	"Weak president"
"Peru"	1993	2015	1	2	0	1	1	1	0	0	1	2	-1.374469706982	1.07698445059793	"Proactive president"
"Uruguay"	1967	2015	0	0	0	2	1	0	1	1	1	1	-0.71229468983036	-1.10400080035072	"Agenda-setting president"
"Venezuela"	1961	1998	0	0	0	0	1	0	0	0	1	3	0.944865841097353	0.32850127921292	"Weak president"
"Venezuela"	1999	2015	0	0	1	0	1	0	0	0	1	3	0.902819939561827	-0.110255834790908	"Weak president"
