"country"	"startyear"	"endyear"	"amend"	"partialobservationsoverride"	"vetooverride"	"budgetspending"	"committeeslo"	"introdbillslo"	"stafflo"	"question"	"chamber"	"firstRoundPC1"	"firstRoundPC2"	"clusterOnlyRound1"	"secondRoundPC"	"clusterRound1"	"clusterRound2"	"lower.house.type"
"Argentina"	1983	2015	0	1	1	1	3	1	1	1	"lower"	0.992542648741853	-0.179222218560395	2	0.779382546199698	1	1	"Limited powers"
"Bolivia"	1979	1981	1	3	1	1	2	1	0	0	"lower"	-1.48083413868879	-0.370738434559559	1	0.0298669158364737	2	3	"Except budget"
"Bolivia"	1982	1994	1	3	1	1	2	1	1	1	"lower"	-0.917865062684784	0.00574192334911361	1	-0.10776161357366	2	3	"Except budget"
"Bolivia"	1995	2005	1	3	1	1	2	1	1	1	"lower"	-0.917865062684784	0.00574192334911361	1	-0.10776161357366	2	3	"Except budget"
"Bolivia"	2006	2009	0	3	1	1	2	1	1	1	"lower"	-0.77930404761592	0.0948458963871546	1	-0.10776161357366	2	3	"Except budget"
"Bolivia"	2010	2015	0	2	3	0	2	1	1	1	"lower"	0.426784540626737	1.60246313786822	3	-1.07788882372588	3	2	"Only budget"
"Brazil"	1983	1988	0	1	1	0	2	0	1	0	"lower"	1.07768403324175	-0.783205761707551	2	1.04409450832486	1	1	"Limited powers"
"Brazil"	1989	2015	1	2	2	0	3	0	1	1	"lower"	0.708388151706751	0.712327363325164	3	-0.979142962358439	3	2	"Only budget"
"Chile"	1970	1974	0	1	1	1	3	1	0	0	"lower"	0.42957357273785	-0.555702576469067	2	0.917011075609832	1	1	"Limited powers"
"Chile"	1990	2015	0	1	1	0	3	1	1	1	"lower"	1.34682843696282	-0.0437345981799136	2	0.779382546199698	1	1	"Limited powers"
"Colombia"	1970	1991	1	2	1	0	3	1	0	0	"lower"	-0.119631683811369	-0.231781734105327	1	0.917011075609832	1	1	"Limited powers"
"Colombia"	1992	2015	1	2	2	0	3	1	1	1	"lower"	0.486773777352821	0.969532031864288	3	-1.16087187410474	3	2	"Only budget"
"Costa Rica"	1970	2015	0	1	1	1	2	1	1	1	"lower"	0.75055601178672	-0.460228493655444	2	0.86236559657856	1	1	"Limited powers"
"Dominican Republic"	1970	1999	1	3	1	1	2	1	0	0	"lower"	-1.48083413868879	-0.370738434559559	1	0.0298669158364737	2	3	"Except budget"
"Dominican Republic"	2000	2015	1	3	1	1	2	1	0	0	"lower"	-1.48083413868879	-0.370738434559559	1	0.0298669158364737	2	3	"Except budget"
"Ecuador"	1979	1998	1	1	0	1	2	0	1	1	"lower"	0.790172985911601	-1.63137054329355	2	1.04409450832486	1	1	"Limited powers"
"Ecuador"	1999	2006	1	1	0	0	2	0	1	1	"lower"	1.14445877413257	-1.49588292291307	2	1.04409450832486	1	1	"Limited powers"
"Ecuador"	2007	2015	1	1	0	0	2	0	1	0	"lower"	0.895686633012704	-1.69714314280653	2	1.04409450832486	1	1	"Limited powers"
"Salvador"	1984	2015	1	2	1	0	2	1	0	0	"lower"	-0.361618320766502	-0.512788009200377	1	0.999994125988693	1	1	"Limited powers"
"Guatemala"	1970	1985	1	3	1	1	2	1	0	0	"lower"	-1.48083413868879	-0.370738434559559	1	0.0298669158364737	2	3	"Except budget"
"Guatemala"	1986	2015	1	3	1	1	3	1	0	1	"lower"	-0.990075360613792	0.111528060428954	1	-0.0531161345423877	2	3	"Except budget"
"Honduras"	1970	2015	1	3	1	1	2	1	0	0	"lower"	-1.48083413868879	-0.370738434559559	1	0.0298669158364737	2	3	"Except budget"
"Mexico"	1970	1987	0	3	1	1	2	1	0	0	"lower"	-1.34227312361992	-0.281634461521518	1	0.0298669158364737	2	3	"Except budget"
"Mexico"	1988	1999	0	3	1	1	2	1	1	0	"lower"	-1.02807618873578	-0.106414323506309	1	-0.10776161357366	2	3	"Except budget"
"Mexico"	2000	2015	0	3	1	1	3	1	1	1	"lower"	-0.537317410660787	0.375852171482204	1	-0.190744663952521	2	3	"Except budget"
"Nicaragua"	1985	1989	1	2	1	0	3	1	0	0	"lower"	-0.119631683811369	-0.231781734105327	1	0.917011075609832	1	1	"Limited powers"
"Nicaragua"	1990	2006	1	2	2	1	3	1	1	1	"lower"	0.132487989131856	0.834044411483807	3	-1.16087187410474	3	2	"Only budget"
"Nicaragua"	2007	2015	1	2	2	1	3	1	1	0	"lower"	-0.116284151988005	0.632784191590343	3	-1.16087187410474	3	2	"Only budget"
"Panama"	1989	2015	1	1	1	0	3	1	1	1	"lower"	1.20826742189395	-0.132838571217955	2	0.779382546199698	1	1	"Limited powers"
"Paraguay"	1989	1992	0	2	1	1	2	1	1	0	"lower"	-0.263146159034462	-0.383951518527608	1	0.86236559657856	1	1	"Limited powers"
"Paraguay"	1993	2015	0	2	2	1	2	1	1	1	"lower"	0.0290623672455863	0.642142109426798	3	-1.07788882372588	3	2	"Only budget"
