"country"	"startyear"	"endyear"	"amend"	"partialobservationsoverride"	"vetooverride"	"budgetspending"	"introdbillsup"	"vetoupper"	"question"	"chamber"	"firstRoundPC1"	"firstRoundPC2"	"clusterOnlyRound1"	"secondRoundPC"	"clusterRound1"	"clusterRound2"	"upper.house.type"
"Argentina"	1983	2015	0	1	1	1	1	3	1	"upper"	-0.776062188567182	0.910723100094901	3	1.01411043863539	1	3	"Limited powers"
"Bolivia"	1979	1981	1	3	1	1	1	2	0	"upper"	1.09923161893416	-0.504833713410366	2	-0.280644518822911	2	1	"Except budget"
"Bolivia"	1982	1994	1	3	1	1	1	2	1	"upper"	0.838891013648989	-0.818904829804229	2	-0.280644518822911	2	1	"Except budget"
"Bolivia"	1995	2005	1	3	1	1	1	2	1	"upper"	0.838891013648989	-0.818904829804229	2	-0.280644518822911	2	1	"Except budget"
"Bolivia"	2006	2009	0	3	1	1	1	2	1	"upper"	0.637768925320222	-0.562146266539433	2	-0.280644518822911	2	1	"Except budget"
"Bolivia"	2010	2015	0	2	3	0	1	1	1	"upper"	-1.28408381405207	-1.84155314991591	1	-1.57539947628121	3	2	"Only budget"
"Brazil"	1983	1988	0	1	1	0	0	2	0	"upper"	-0.98008394649799	0.629763748716614	3	0.632228483873004	1	3	"Limited powers"
"Brazil"	1989	2015	1	2	2	0	0	2	1	"upper"	-0.570987972847568	-0.844301786408892	1	-1.23078279756059	3	2	"Only budget"
"Chile"	1970	1974	0	1	1	1	1	3	0	"upper"	-0.515721583282008	1.22479421648876	3	1.01411043863539	1	3	"Limited powers"
"Chile"	1990	2015	0	1	1	0	1	3	1	"upper"	-1.21319461536094	0.745868587330764	3	1.01411043863539	1	3	"Limited powers"
"Colombia"	1970	1991	1	2	1	0	1	3	0	"upper"	0.0153041597889169	0.370223399068693	3	1.01411043863539	1	3	"Limited powers"
"Colombia"	1992	2015	1	2	2	0	1	3	1	"upper"	-0.543758036425347	-0.414125831400879	1	-0.848900842798206	3	2	"Only budget"
"Dominican Republic"	1970	1999	1	3	1	1	1	3	0	"upper"	1.2194726681186	0.102120170441692	2	0.0826047979185925	2	1	"Except budget"
"Dominican Republic"	2000	2015	1	3	1	1	1	3	0	"upper"	1.2194726681186	0.102120170441692	2	0.0826047979185925	2	1	"Except budget"
"Mexico"	1970	1987	0	3	1	1	0	3	0	"upper"	1.11136169255204	0.535656662550533	2	0.0639721598977083	2	1	"Except budget"
"Mexico"	1988	1999	0	3	1	1	0	3	0	"upper"	1.11136169255204	0.535656662550533	2	0.0639721598977083	2	1	"Except budget"
"Mexico"	2000	2015	0	3	1	1	0	3	1	"upper"	0.85102108726687	0.22158554615667	2	0.0639721598977083	2	1	"Except budget"
"Paraguay"	1989	1992	0	2	1	1	0	3	0	"upper"	0.344325611016124	0.968614403941671	3	0.995477800614507	1	3	"Limited powers"
"Paraguay"	1993	2015	0	2	2	1	0	3	1	"upper"	-0.21473658519814	0.184265173472099	3	-0.86753348081909	3	2	"Only budget"
"Peru"	1980	1991	1	2	2	0	1	3	1	"upper"	-0.543758036425347	-0.414125831400879	1	-0.848900842798206	3	2	"Only budget"
"Uruguay"	1985	1997	0	2	1	0	1	2	1	"upper"	-0.566399583009458	-0.294043037912432	1	0.650861121893888	1	3	"Limited powers"
"Uruguay"	1998	2015	0	1	1	0	1	3	1	"upper"	-1.21319461536094	0.745868587330764	3	1.01411043863539	1	3	"Limited powers"
"Venezuela"	1970	1998	0	2	2	0	1	2	1	"upper"	-0.865121173938549	-0.764321151988142	1	-1.21215015953971	3	2	"Only budget"
