newcoun,year,newpres,firstpositionbz,positionbz,seupbz,selbbz,movebz,absmovebz,pres,iso,country
1,1990,1,0.866760376,0.866760376,0.966714827,0.757129608,,,Menem,arg,Argentina
0,1991,0,0.866760376,0.86834766,0.999811755,0.753629614,0.001587284,0.001587284,Menem,arg,Argentina
0,1992,0,0.866760376,0.983799326,1.085028903,0.879108631,0.115451666,0.115451666,Menem,arg,Argentina
0,1993,0,0.866760376,0.763683992,0.88531028,0.644466643,-0.220115334,0.220115334,Menem,arg,Argentina
0,1994,0,0.866760376,0.660649579,0.753539882,0.562510013,-0.103034413,0.103034413,Menem,arg,Argentina
0,1995,0,0.866760376,0.535101546,0.640642135,0.42914199,-0.125548033,0.125548033,Menem,arg,Argentina
0,1996,0,0.866760376,0.920381788,1.049292868,0.788768273,0.385280242,0.385280242,Menem,arg,Argentina
0,1997,0,0.866760376,0.683806317,0.795152259,0.571832212,-0.236575471,0.236575471,Menem,arg,Argentina
0,1998,0,0.866760376,0.692823955,0.79243007,0.590067552,0.009017639,0.009017639,Menem,arg,Argentina
0,1999,0,0.866760376,0.682272002,0.781642683,0.568538008,-0.010551953,0.010551953,Menem,arg,Argentina
0,2000,1,0.102665447,0.102665447,0.241775213,-0.03315721,,,Rua,arg,Argentina
0,2001,0,0.102665447,0.779334181,0.859382182,0.699120601,0.676668734,0.676668734,Rua,arg,Argentina
0,2002,1,0.537049774,0.537049774,0.648468676,0.425160156,,,Duhalde,arg,Argentina
0,2003,0,0.537049774,0.110341423,0.241183723,-0.013466492,-0.426708351,0.426708351,Duhalde,arg,Argentina
0,2004,1,0.558268027,0.558268027,0.644731739,0.471958693,,,Kirchner,arg,Argentina
0,2005,0,0.558268027,0.433133506,0.506790997,0.360228732,-0.125134521,0.125134521,Kirchner,arg,Argentina
0,2006,0,0.558268027,0.388644978,0.45121695,0.324316542,-0.044488527,0.044488527,Kirchner,arg,Argentina
0,2007,0,0.558268027,0.007378031,0.070052496,-0.056722806,-0.381266947,0.381266947,Kirchner,arg,Argentina
0,2008,1,-1.127042616,-1.127042616,-1.036630947,-1.221912512,,,Kirchner_Cris,arg,Argentina
0,2009,0,-1.127042616,-1.210705328,-1.109367806,-1.30707933,-0.083662711,0.083662711,Kirchner_Cris,arg,Argentina
0,2010,0,-1.127042616,-1.631615918,-1.551679852,-1.708593615,-0.42091059,0.42091059,Kirchner_Cris,arg,Argentina
0,2011,0,-1.127042616,-1.616772423,-1.542062224,-1.691043945,0.014843495,0.014843495,Kirchner_Cris,arg,Argentina
0,2012,0,-1.127042616,-1.780786599,-1.722338915,-1.839600764,-0.164014176,0.164014176,Kirchner_Cris,arg,Argentina
0,2013,0,-1.127042616,-1.63240099,-1.574518732,-1.689841296,0.148385609,0.148385609,Kirchner_Cris,arg,Argentina
0,2014,0,-1.127042616,-1.575118034,-1.507656396,-1.64388977,0.057282956,0.057282956,Kirchner_Cris,arg,Argentina
1,1986,1,1.220143025,1.220143025,0.97195894,1.435558745,,,Sarney,bra,Brazil
0,1987,0,1.220143025,1.278981833,1.052277415,1.556303702,0.058838808,0.058838808,Sarney,bra,Brazil
0,1988,0,1.220143025,-0.031285486,-0.209610093,0.152217955,-1.310267319,1.310267319,Sarney,bra,Brazil
0,1989,0,1.220143025,0.488600412,0.332671916,0.654114219,0.519885897,0.519885897,Sarney,bra,Brazil
0,1990,0,1.220143025,1.326987514,1.159998388,1.498246888,0.838387102,0.838387102,Sarney,bra,Brazil
0,1991,1,1.072998015,1.072998015,0.896364025,1.247795167,,,Collor,bra,Brazil
0,1992,0,1.072998015,1.153434953,0.969705394,1.3430461,0.080436938,0.080436938,Collor,bra,Brazil
0,1993,1,1.657977031,1.657977031,1.43322919,1.87815572,,,Franco,bra,Brazil
0,1994,0,1.657977031,1.093630162,0.925981856,1.261318122,-0.564346869,0.564346869,Franco,bra,Brazil
0,1995,1,0.521230165,0.521230165,0.305703659,0.733131546,,,FHC,bra,Brazil
0,1996,0,0.521230165,-0.054615567,-0.243444621,0.143679869,-0.575845733,0.575845733,FHC,bra,Brazil
0,1997,0,0.521230165,-0.480933274,-0.644845108,-0.328371037,-0.426317706,0.426317706,FHC,bra,Brazil
0,1998,0,0.521230165,-0.517250441,-0.647898705,-0.3913919,-0.036317167,0.036317167,FHC,bra,Brazil
0,1999,0,0.521230165,0.448133714,0.28167035,0.617049048,0.965384155,0.965384155,FHC,bra,Brazil
0,2000,0,0.521230165,-0.346500949,-0.537719714,-0.150914953,-0.794634663,0.794634663,FHC,bra,Brazil
0,2001,0,0.521230165,-0.600084739,-0.780641577,-0.429077653,-0.25358379,0.25358379,FHC,bra,Brazil
0,2002,0,0.521230165,-0.40028282,-0.522815686,-0.277269019,0.199801918,0.199801918,FHC,bra,Brazil
0,2003,1,1.02501392,1.02501392,0.829300678,1.218955576,,,Lula,bra,Brazil
0,2004,0,1.02501392,0.636188473,0.253659628,0.998234056,-0.388825448,0.388825448,Lula,bra,Brazil
0,2005,0,1.02501392,-0.46003187,-0.725282943,-0.182721287,-1.096220342,1.096220342,Lula,bra,Brazil
0,2006,0,1.02501392,-1.043549178,-1.287573782,-0.792635427,-0.583517308,0.583517308,Lula,bra,Brazil
