filename	privatization.beneficial	rev.privatization.beneficial	resc.privatization.beneficial	state.not.solves.problems	rev.state.not.solves.problems	resc.state.not.solves.problems	state.not.reduce.inequality	rev.state.not.reduce.inequality	resc.state.not.reduce.inequality	state.limited.scope	rev.state.limited.scope	economy.best.in.private.sector	rev.economy.best.in.private.sector	resc.economy.best.in.private.sector	market.best	rev.market.best	resc.market.best	state.not.in.price.control	state.not.in.primary.edu	state.not.in.housing	state.not.in.job.creation	state.not.in.secondary.edu	state.not.in.pensions	state.not.in.high.edu	state.not.in.unemployment	state.not.in.environ	state.not.in.basic.needs	state.not.in.sanitation	state.not.in.primsec.edu	rev.function	resc.function	sep.prim.sec	LR.ideology.self	LR.party.ideology	LR.ideology.prez1	LR.ideology.prez2
bls_2013							renda	0	1			inicpriv	1	0	econlmr	1	1		edfund	infra		edsuper	socpol					saude	edfund	1	1	1	lrclass		lrdilma	
da55bra	p35	1	1												p28	0	1	p2901		p2903	p2904		p2905	p2907	p2908	p2909	p2910	p2906	p2902	1	1	0	p58	p59	p1301	
da75bra	priv1	0	0				roes1_d	1	0			roes1_a	1	1	em1	0	0				roes1_c		roes1_e	roes1_g						1	0	0	id1	id2	idli1_a	
da01mex	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1701	
da02mex	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1805	
da03chi	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da04chi	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1801	
da05arg	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	p1806
da06arg	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1801	
da07sal	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1803	
da08salv	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1803	
da09bol	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da10bol	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1806	
da11hon	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da12hon	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1803	
da13col	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1802	
da15cr	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1802	
da16cr	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1801	
da17nic	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da19gua	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da21par	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da22par	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1806	
da23ecu	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1805	
da24ecu	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1802	
da27sal	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1805	
da29repdom	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1802	p1801
da30repdom	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1803	
da31peru	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1802	p1801
da32peru	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1801	
da33uru	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da34uru	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1802	
da35ven	p43	1	1	p3401	1	0	p3402	0	1	p3403	1	p3404	1	1	p34a	0	1	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510		p3502	0	1	1	p67	p68	p1801	
da36ven	p43	1	1	p34b	0	1												p35a01	p35a02	p35a03	p35a04	p35a05	p35a06	p35a07	p35a08	p35a09	p35a10		p35a02	1	1	1	p67	p68	p1802	
