Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Argentina	FinLiberalIndex	0.38	0.45	0.64	0.64	0.55	0.6	0.7	0.84	0.84	0.85	0.86	0.87	0.87	0.87	0.87	0.87	0.69	0.68	0.78	0.78	0.82	0.79	0.79	0.78	0.78
Bolivia	FinLiberalIndex	0.5	0.65	0.71	0.69	0.66	0.68	0.69	0.71	0.83	0.85	0.84	0.83	0.83	0.99	0.99	0.86	0.99	0.99	0.99	0.91	0.92	0.95	0.95	0.94	0.93
Brasil	FinLiberalIndex	0.49	0.45	0.29	0.56	0.74	0.55	0.64	0.73	0.73	0.64	0.72	0.86	0.79	0.8	0.76	0.77	0.79	0.87	0.88	0.88	0.88	0.88	0.88	0.99	0.99
Chile	FinLiberalIndex	0.61	0.74	0.74	0.73	0.74	0.74	0.73	0.73	0.73	0.73	0.73	0.74	0.87	0.87	0.87	0.87	0.87	0.87	0.86	0.86	0.86	0.85	0.87	0.87	0.93
Colombia	FinLiberalIndex	0.52	0.52	0.51	0.51	0.5	0.54	0.83	0.83	0.7	0.84	0.84	0.85	0.85	0.86	0.81	0.81	0.77	0.77	0.77	0.75	0.75	0.88	0.87	0.86	0.85
CostaRica	FinLiberalIndex	0.48	0.56	0.56	0.55	0.55	0.55	0.52	0.54	0.55	0.54	0.65	0.68	0.69	0.68	0.7	0.72	0.74	0.74	0.73	0.73	0.71	0.69	0.69	0.69	0.69
DominicanRep	FinLiberalIndex	0.43	0.39	0.43	0.39	0.4	0.41	0.64	0.66	0.62	0.63	0.63	0.65	0.65	0.64	0.78	0.76	0.75	0.89	0.85	0.86	0.86	0.86	0.86	0.85	0.86
Ecuador	FinLiberalIndex	0.44	0.51	0.52	0.43	0.51	0.54	0.54	0.7	0.71	0.73	0.73	0.73	0.73	0.71	0.48	0.54	0.87	0.86	0.87	0.87	0.62	0.62	0.61	0.61	0.73
ElSalvador	FinLiberalIndex	0.44	0.46	0.44	0.43	0.44	0.51	0.51	0.69	0.68	0.67	0.8	0.8	0.8	0.8	0.93	0.97	0.97	0.97	0.95	0.96	0.96	0.97	0.96	0.96	0.96
Guatemala	FinLiberalIndex	0.44	0.43	0.45	0.44	0.53	0.69	0.69	0.71	0.69	0.71	0.71	0.71	0.66	0.69	0.71	0.7	0.71	0.94	0.97	0.97	0.97	0.97	0.97	0.97	0.97
