Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Argentina	LaborIndex	0.64	0.65	0.65	0.65	0.64	0.65	0.65	0.65	0.65	0.64	0.66	0.67	0.67	0.67	0.67	0.67	0.66	0.73	0.71	0.7	0.69	0.69	0.69	0.69	0.69
Bolivia	LaborIndex	0.5	0.5	0.5	0.49	0.49	0.49	0.48	0.48	0.48	0.47	0.48	0.47	0.48	0.47	0.47	0.47	0.46	0.46	0.46	0.47	0.47	0.48	0.48	0.48	0.47
Brasil	LaborIndex	0.78	0.78	0.78	0.78	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.65	0.64	0.64	0.64	0.64	0.64	0.64	0.64	0.64
Chile	LaborIndex	0.76	0.78	0.78	0.78	0.78	0.78	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.75	0.75	0.75	0.74	0.74	0.74	0.74	0.75	0.75	0.75	0.74
Colombia	LaborIndex	0.71	0.71	0.72	0.72	0.71	0.69	0.68	0.69	0.68	0.7	0.69	0.67	0.67	0.66	0.66	0.67	0.67	0.67	0.7	0.69	0.69	0.69	0.69	0.69	0.69
CostaRica	LaborIndex	0.68	0.68	0.68	0.68	0.67	0.68	0.68	0.69	0.68	0.69	0.69	0.69	0.69	0.69	0.69	0.71	0.68	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69
DominicanRep	LaborIndex	0.67	0.67	0.67	0.67	0.67	0.66	0.69	0.68	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.65	0.65	0.65	0.64	0.64	0.65	0.65	0.64
Ecuador	LaborIndex	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.6	0.6	0.6	0.59	0.59	0.59	0.6	0.6	0.59	0.6	0.6	0.6	0.6	0.6	0.61	0.6	0.61	0.6
ElSalvador	LaborIndex	0.44	0.52	0.52	0.52	0.51	0.53	0.54	0.54	0.54	0.54	0.54	0.54	0.53	0.53	0.53	0.53	0.52	0.52	0.52	0.52	0.53	0.53	0.53	0.53	0.52
Guatemala	LaborIndex	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.65	0.65	0.64	0.63	0.64	0.64	0.64	0.64	0.64
Honduras	LaborIndex	0.62	0.63	0.63	0.62	0.61	0.62	0.62	0.61	0.61	0.63	0.63	0.63	0.63	0.63	0.62	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.58
Jamaica	LaborIndex	0.91	0.93	0.93	0.93	0.93	0.93	0.93	0.92	0.94	0.93	0.92	0.92	0.93	0.92	0.92	0.93	0.93	0.92	0.92	0.91	0.92	0.92	0.92	0.92	0.92
