Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Argentina	PrivatizationIndex	0	0	0	0	0	0.03	0.06	0.1	0.16	0.19	0.22	0.25	0.28	0.32	0.36	0.38	0.39	0.41	0.41	0.42	0.43	0.45	0.46	0.47	0.48
Bolivia	PrivatizationIndex	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.06	0.11	0.24	0.64	0.72	0.78	0.8	0.9	0.92	0.94	0.97	0.98	1	1	1
Brasil	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.06	0.14	0.18	0.23	0.27	0.3	0.31	0.33	0.34	0.36	0.38	0.41	0.44
Chile	PrivatizationIndex	0	0	0.01	0.02	0.08	0.13	0.14	0.16	0.18	0.21	0.24	0.29	0.36	0.41	0.52	0.56	0.63	0.67	0.69	0.71	0.72	0.74	0.76	0.77	0.79
Colombia	PrivatizationIndex	0	0	0	0	0	0	0	0	0.01	0.04	0.06	0.08	0.14	0.15	0.16	0.18	0.18	0.19	0.19	0.2	0.21	0.23	0.25	0.26	0.27
CostaRica	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0.03	0.04	0.04	0.05	0.05	0.05	0.05	0.06	0.08	0.09	0.1	0.1	0.11
DominicanRep	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0.01	0.04	0.04	0.04	0.05	0.09	0.16	0.19	0.23	0.24	0.25	0.25	0.26	0.26	0.26	0.29
Ecuador	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0	0	0.02	0.04	0.09	0.09	0.09	0.13	0.13	0.15	0.15	0.18	0.21	0.23	0.25	0.26
ElSalvador	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.02	0.14	0.19	0.22	0.24	0.26	0.26	0.3	0.31	0.32	0.35	0.37	0.37
Guatemala	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0.01	0.02	0.05	0.07	0.19	0.24	0.25	0.25	0.27	0.27	0.28	0.28	0.3	0.33	0.35	0.35
Honduras	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0.02	0.03	0.04	0.04	0.06	0.07	0.09	0.13	0.13	0.21	0.21	0.21	0.23	0.25	0.29	0.31
Jamaica	PrivatizationIndex	0	0	0	0	0	0.03	0.03	0.03	0.04	0.12	0.14	0.15	0.15	0.16	0.16	0.16	0.23	0.31	0.35	0.35	0.35	0.38	0.38	0.39	0.4
Mexico	PrivatizationIndex	0	0	0	0	0.01	0.05	0.07	0.08	0.09	0.1	0.11	0.12	0.14	0.15	0.16	0.17	0.18	0.19	0.2	0.21	0.22	0.23	0.24	0.25	0.25
Nicaragua	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0	0	0.02	0.03	0.05	0.1	0.18	0.19	0.22	0.22	0.25	0.26	0.28	0.33	0.36	0.37
Paraguay	PrivatizationIndex	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.02	0.05	0.06	0.07	0.08	0.09	0.1	0.1	0.11	0.13	0.15	0.16	0.17
