Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Argentina	StructReformIndex	0.4	0.39	0.43	0.42	0.41	0.5	0.53	0.57	0.59	0.59	0.6	0.61	0.62	0.62	0.63	0.63	0.6	0.61	0.62	0.63	0.64	0.64	0.64	0.65	0.65
Bolivia	StructReformIndex	0.41	0.45	0.49	0.52	0.52	0.52	0.55	0.55	0.58	0.58	0.56	0.57	0.6	0.71	0.73	0.71	0.74	0.75	0.76	0.76	0.77	0.78	0.78	0.79	0.78
Brasil	StructReformIndex	0.3	0.31	0.32	0.38	0.45	0.43	0.46	0.49	0.51	0.52	0.52	0.55	0.55	0.57	0.56	0.57	0.58	0.61	0.62	0.62	0.63	0.63	0.64	0.66	0.66
Chile	StructReformIndex	0.54	0.59	0.59	0.62	0.62	0.62	0.62	0.62	0.62	0.63	0.64	0.65	0.69	0.7	0.72	0.73	0.75	0.76	0.76	0.77	0.78	0.79	0.8	0.8	0.8
Colombia	StructReformIndex	0.35	0.45	0.45	0.45	0.45	0.48	0.57	0.58	0.54	0.57	0.58	0.58	0.59	0.59	0.58	0.59	0.58	0.58	0.59	0.59	0.59	0.62	0.62	0.63	0.63
CostaRica	StructReformIndex	0.38	0.47	0.51	0.51	0.5	0.51	0.5	0.51	0.52	0.52	0.54	0.51	0.52	0.54	0.54	0.56	0.56	0.57	0.56	0.56	0.57	0.56	0.57	0.57	0.56
DominicanRep	StructReformIndex	0.34	0.33	0.34	0.33	0.34	0.42	0.46	0.51	0.5	0.52	0.52	0.53	0.54	0.53	0.58	0.58	0.61	0.64	0.62	0.62	0.61	0.61	0.62	0.62	0.62
Ecuador	StructReformIndex	0.34	0.36	0.36	0.34	0.36	0.44	0.44	0.53	0.54	0.54	0.54	0.54	0.54	0.55	0.5	0.52	0.6	0.6	0.6	0.6	0.56	0.57	0.57	0.56	0.59
ElSalvador	StructReformIndex	0.37	0.39	0.39	0.39	0.4	0.43	0.43	0.48	0.51	0.52	0.54	0.54	0.53	0.57	0.6	0.61	0.61	0.62	0.62	0.62	0.63	0.63	0.65	0.64	0.64
Guatemala	StructReformIndex	0.38	0.38	0.44	0.46	0.49	0.52	0.53	0.53	0.54	0.55	0.55	0.55	0.53	0.56	0.58	0.59	0.59	0.64	0.65	0.64	0.65	0.65	0.66	0.66	0.66
Honduras	StructReformIndex	0.38	0.38	0.38	0.38	0.43	0.4	0.39	0.45	0.46	0.46	0.55	0.56	0.56	0.6	0.59	0.6	0.61	0.61	0.62	0.63	0.63	0.66	0.66	0.67	0.67
Jamaica	StructReformIndex	0.45	0.47	0.55	0.55	0.55	0.57	0.6	0.63	0.64	0.65	0.66	0.66	0.65	0.65	0.69	0.7	0.71	0.72	0.74	0.74	0.74	0.74	0.74	0.74	0.75
Mexico	StructReformIndex	0.35	0.36	0.4	0.42	0.48	0.5	0.51	0.52	0.53	0.53	0.53	0.5	0.52	0.52	0.52	0.52	0.55	0.54	0.55	0.55	0.56	0.58	0.58	0.52	0.53
Nicaragua	StructReformIndex	0.3	0.3	0.41	0.26	0.29	0.43	0.3	0.36	0.41	0.49	0.49	0.56	0.57	0.56	0.57	0.6	0.59	0.6	0.6	0.61	0.61	0.64	0.65	0.68	0.67
Paraguay	StructReformIndex	0.42	0.42	0.41	0.41	0.43	0.49	0.52	0.53	0.56	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.63	0.65	0.68	0.66	0.66	0.68
Peru	StructReformIndex	0.28	0.3	0.31	0.3	0.3	0.4	0.42	0.48	0.51	0.54	0.55	0.59	0.59	0.62	0.63	0.64	0.64	0.64	0.65	0.65	0.65	0.66	0.67	0.68	0.69
TrinidadTobago	StructReformIndex	0.61	0.65	0.65	0.67	0.67	0.7	0.68	0.68	0.7	0.68	0.7	0.7	0.67	0.66	0.69	0.69	0.71	0.71	0.71	0.72	0.74	0.74	0.73	0.77	0.78
Uruguay	StructReformIndex	0.47	0.45	0.45	0.47	0.46	0.47	0.48	0.51	0.5	0.51	0.52	0.53	0.53	0.53	0.53	0.54	0.54	0.57	0.57	0.57	0.57	0.57	0.56	0.56	0.56
Venezuela	StructReformIndex	0.34	0.33	0.33	0.33	0.35	0.41	0.45	0.46	0.5	0.46	0.5	0.56	0.56	0.57	0.55	0.56	0.58	0.53	0.54	0.57	0.58	0.6	0.58	0.59	0.62
