Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Argentina	TaxReformIndex	0.3	0.3	0.31	0.3	0.36	0.43	0.42	0.39	0.41	0.42	0.39	0.39	0.39	0.4	0.41	0.37	0.37	0.36	0.38	0.39	0.4	0.4	0.4	0.4	0.41
Bolivia	TaxReformIndex	0.37	0.48	0.58	0.63	0.64	0.64	0.65	0.64	0.63	0.63	0.47	0.5	0.5	0.5	0.5	0.5	0.5	0.51	0.51	0.52	0.54	0.55	0.56	0.58	0.58
Brasil	TaxReformIndex	0.18	0.18	0.2	0.2	0.31	0.36	0.32	0.34	0.34	0.43	0.37	0.38	0.4	0.4	0.35	0.34	0.35	0.39	0.39	0.39	0.41	0.41	0.41	0.43	0.41
Chile	TaxReformIndex	0.53	0.53	0.52	0.65	0.57	0.52	0.5	0.51	0.5	0.51	0.53	0.53	0.53	0.52	0.51	0.52	0.53	0.56	0.54	0.56	0.6	0.65	0.65	0.62	0.55
Colombia	TaxReformIndex	0.35	0.48	0.48	0.49	0.49	0.45	0.48	0.48	0.41	0.41	0.42	0.41	0.41	0.41	0.41	0.4	0.41	0.41	0.42	0.43	0.42	0.43	0.45	0.46	0.47
CostaRica	TaxReformIndex	0.31	0.32	0.48	0.46	0.46	0.47	0.46	0.46	0.46	0.48	0.47	0.42	0.42	0.45	0.46	0.45	0.47	0.47	0.47	0.47	0.47	0.48	0.49	0.5	0.48
DominicanRep	TaxReformIndex	0.26	0.26	0.27	0.27	0.28	0.28	0.25	0.46	0.49	0.5	0.49	0.49	0.5	0.5	0.51	0.51	0.56	0.55	0.49	0.47	0.45	0.43	0.48	0.47	0.46
Ecuador	TaxReformIndex	0.36	0.37	0.37	0.37	0.37	0.48	0.48	0.48	0.48	0.48	0.49	0.49	0.48	0.48	0.45	0.5	0.54	0.53	0.53	0.53	0.53	0.54	0.54	0.51	0.53
ElSalvador	TaxReformIndex	0.23	0.24	0.24	0.23	0.23	0.27	0.28	0.32	0.47	0.49	0.46	0.45	0.45	0.46	0.46	0.46	0.46	0.46	0.47	0.47	0.48	0.49	0.49	0.49	0.49
Guatemala	TaxReformIndex	0.33	0.34	0.35	0.43	0.42	0.42	0.44	0.43	0.5	0.48	0.48	0.46	0.42	0.42	0.42	0.46	0.45	0.46	0.46	0.43	0.43	0.44	0.44	0.44	0.44
Honduras	TaxReformIndex	0.41	0.41	0.42	0.42	0.44	0.49	0.46	0.47	0.48	0.48	0.51	0.55	0.56	0.61	0.57	0.55	0.54	0.54	0.53	0.55	0.55	0.57	0.59	0.59	0.59
Jamaica	TaxReformIndex	0.31	0.4	0.48	0.48	0.48	0.49	0.61	0.7	0.67	0.68	0.7	0.69	0.64	0.65	0.63	0.64	0.63	0.62	0.65	0.65	0.64	0.62	0.62	0.62	0.64
Mexico	TaxReformIndex	0.31	0.31	0.34	0.37	0.38	0.42	0.42	0.48	0.49	0.49	0.41	0.41	0.42	0.42	0.43	0.41	0.41	0.42	0.43	0.43	0.46	0.48	0.5	0.51	0.5
Nicaragua	TaxReformIndex	0.25	NA	NA	NA	NA	NA	0.23	0.42	0.47	0.43	0.38	0.39	0.4	0.4	0.4	0.41	0.41	0.41	0.43	0.44	0.45	0.46	0.46	0.58	0.58
Paraguay	TaxReformIndex	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.46	0.59	0.64	0.66	0.65	0.65	0.65	0.64	0.62	0.62	0.62	0.63	0.65	0.73	0.87	0.74	0.75	0.81
Peru	TaxReformIndex	0.3	0.41	0.41	0.43	0.34	0.29	0.31	0.3	0.35	0.4	0.41	0.42	0.42	0.42	0.41	0.44	0.45	0.42	0.44	0.42	0.43	0.47	0.48	0.48	0.46
TrinidadTobago	TaxReformIndex	0.24	0.22	0.22	0.3	0.31	0.44	0.47	0.47	0.44	0.44	0.5	0.51	0.5	0.47	0.49	0.48	0.53	0.51	0.52	0.55	0.64	0.6	0.6	0.64	0.68
Uruguay	TaxReformIndex	0.5	0.47	0.47	0.48	0.46	0.45	0.45	0.46	0.47	0.47	0.49	0.52	0.52	0.53	0.52	0.52	0.51	0.53	0.54	0.54	0.53	0.55	0.45	0.48	0.48
Venezuela	TaxReformIndex	0.34	0.29	0.29	0.3	0.32	0.35	0.35	0.35	0.54	0.56	0.5	0.53	0.54	0.45	0.46	0.5	0.48	0.45	0.44	0.5	0.57	0.61	0.58	0.63	0.63
Argentina	VATrate	0.18	0.18	0.18	0.18	0.15	0.13	0.16	0.18	0.18	0.18	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21
Bolivia	VATrate	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13
Brasil	VATrate	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
Chile	VATrate	0.2	0.2	0.2	0.16	0.16	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.19	0.19	0.19	0.19	0.19	0.19	0.19
Colombia	VATrate	0.1	0.1	0.1	0.1	0.1	0.12	0.12	0.12	0.14	0.14	0.14	0.16	0.16	0.16	0.16	0.15	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16
CostaRica	VATrate	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.11	0.1	0.1	0.15	0.15	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13
DominicanRep	VATrate	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.12	0.13	0.16	0.16	0.16	0.16	0.16
Ecuador	VATrate	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
ElSalvador	VATrate	NA	NA	NA	NA	NA	NA	NA	0.1	0.1	0.1	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13
Guatemala	VATrate	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.12	0.12	0.12	0.12	0.12	0.12
Honduras	VATrate	0.05	0.05	0.05	0.05	0.05	0.05	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
Jamaica	VATrate	NA	NA	NA	NA	NA	NA	0.1	0.1	0.13	0.13	0.13	0.13	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.17	0.17	0.17	0.17
Mexico	VATrate	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.1	0.1	0.1	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
Nicaragua	VATrate	0.15	NA	NA	0.1	0.1	0.15	0.15	0.1	0.1	0.1	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
Paraguay	VATrate	NA	NA	NA	NA	NA	NA	NA	NA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Peru	VATrate	0.11	0.06	0.06	0.11	0.15	0.16	0.15	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.19	0.19	0.19	0.19	0.19	0.19
TrinidadTobago	VATrate	NA	NA	NA	NA	NA	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
Uruguay	VATrate	0.2	0.2	0.21	0.21	0.21	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22
Venezuela	VATrate	NA	NA	NA	NA	NA	NA	NA	NA	0.1	0.1	0.13	0.13	0.17	0.17	0.16	0.15	0.15	0.15	0.17	0.16	0.15	0.14	0.14	0.09	0.09
Argentina	StdVATrate	0.5	0.5	0.5	0.5	0.62	0.69	0.58	0.5	0.5	0.5	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39	0.39
Bolivia	StdVATrate	0.81	0.81	0.81	0.81	0.81	0.81	0.81	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69
Brasil	StdVATrate	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0	0	0	0	0	0	0	0	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
Chile	StdVATrate	0.42	0.42	0.42	0.58	0.58	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.46	0.46	0.46	0.46	0.46	0.46	0.46
Colombia	StdVATrate	0.81	0.81	0.81	0.81	0.81	0.73	0.73	0.73	0.65	0.65	0.65	0.58	0.58	0.58	0.58	0.62	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58
