Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Argentina	TradeIndex	0.67	0.53	0.53	0.49	0.49	0.79	0.84	0.86	0.9	0.87	0.86	0.86	0.87	0.85	0.85	0.85	0.87	0.86	0.84	0.86	0.87	0.87	0.87	0.88	0.88
Bolivia	TradeIndex	0.7	0.63	0.64	0.8	0.81	0.79	0.9	0.91	0.95	0.96	0.95	0.95	0.95	0.95	0.95	0.94	0.94	0.89	0.92	0.94	0.94	0.94	0.94	0.94	0.89
Brasil	TradeIndex	0.04	0.16	0.3	0.36	0.53	0.6	0.66	0.73	0.84	0.85	0.86	0.84	0.85	0.84	0.85	0.85	0.85	0.86	0.86	0.86	0.87	0.87	0.87	0.85	0.84
Chile	TradeIndex	0.78	0.89	0.89	0.92	0.92	0.93	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.96	0.97	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98
Colombia	TradeIndex	0.18	0.54	0.54	0.52	0.52	0.71	0.88	0.88	0.88	0.87	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.87	0.87	0.86	0.86	0.86	0.86	0.86	0.86
CostaRica	TradeIndex	0.45	0.79	0.84	0.84	0.84	0.84	0.84	0.86	0.89	0.9	0.87	0.76	0.79	0.83	0.82	0.87	0.88	0.88	0.88	0.88	0.87	0.87	0.87	0.86	0.86
DominicanRep	TradeIndex						0.74	0.74	0.74	0.74	0.78	0.78	0.78	0.83	0.81	0.83	0.79	0.88	0.88	0.88	0.88	0.88	0.88	0.87	0.88	0.87
Ecuador	TradeIndex	0.3	0.3	0.3	0.31	0.31	0.58	0.58	0.88	0.89	0.87	0.88	0.88	0.88	0.88	0.86	0.88	0.88	0.88	0.88	0.88	0.87	0.87	0.87	0.85	0.81
ElSalvador	TradeIndex	0.74	0.74	0.77	0.77	0.83	0.83	0.83	0.83	0.86	0.9	0.87	0.87	0.87	0.9	0.89	0.87	0.87	0.88	0.88	0.87	0.9	0.87	0.89	0.88	0.88
Guatemala	TradeIndex	0.47	0.47	0.74	0.74	0.84	0.84	0.84	0.84	0.84	0.9	0.87	0.86	0.86	0.86	0.87	0.88	0.89	0.9	0.9	0.91	0.91	0.91	0.91	0.91	0.91
