"country"	"year"	"policy.index"
"Argentina"	1985	-1.477595
"Argentina"	1986	-1.801935
"Argentina"	1987	-1.53672
"Argentina"	1988	-1.526885
"Argentina"	1989	-1.388595
"Argentina"	1990	-0.780137
"Argentina"	1991	-0.2440775
"Argentina"	1992	-0.344858
"Argentina"	1993	0.2740675
"Argentina"	1994	0.262384
"Argentina"	1995	0.3394525
"Argentina"	1996	0.3790375
"Argentina"	1997	0.400122
"Argentina"	1998	0.3524835
"Argentina"	1999	0.355006
"Argentina"	2000	0.347837
"Argentina"	2001	0.0663318
"Argentina"	2002	-0.00394169
"Argentina"	2003	0.169716
"Argentina"	2004	0.08847
"Argentina"	2005	0.109531
"Argentina"	2006	0.0938688
"Argentina"	2007	-0.01617695
"Argentina"	2008	0.387509
"Argentina"	2009	0.050526
"Argentina"	2010	-0.295362
"Argentina"	2011	0.436362
"Argentina"	2012	0.1594565
"Argentina"	2013	-0.3962
"Argentina"	2014	-0.4627905
"Bolivia"	1985	-1.09615
"Bolivia"	1986	-0.729369
"Bolivia"	1987	-0.497509
"Bolivia"	1988	0.07105155
"Bolivia"	1989	0.0508915
"Bolivia"	1990	-0.2230565
"Bolivia"	1991	0.433588
"Bolivia"	1992	0.560507
"Bolivia"	1993	0.8547135
"Bolivia"	1994	0.837013
"Bolivia"	1995	0.7300745
"Bolivia"	1996	0.725953
"Bolivia"	1997	1.174945
"Bolivia"	1998	1.84666
"Bolivia"	1999	1.83807
"Bolivia"	2000	1.816355
"Bolivia"	2001	1.863615
"Bolivia"	2002	1.41238
"Bolivia"	2003	1.733825
"Bolivia"	2004	1.855965
"Bolivia"	2005	1.836835
"Bolivia"	2006	1.718195
"Bolivia"	2007	1.722605
"Bolivia"	2008	1.28026
"Bolivia"	2009	0.4155605
"Bolivia"	2010	0.6628975
"Bolivia"	2011	0.658595
"Bolivia"	2012	0.6245845
"Bolivia"	2013	0.5790795
"Bolivia"	2014	0.6293655
"Brasil"	1985	-2.39095
"Brasil"	1986	-2.389735
"Brasil"	1987	-2.381815
"Brasil"	1988	-2.069965
"Brasil"	1989	-1.483365
"Brasil"	1990	-1.182925
"Brasil"	1991	-1.19167
"Brasil"	1992	-1.216385
"Brasil"	1993	-0.5938775
"Brasil"	1994	-0.497335
"Brasil"	1995	-0.587052
"Brasil"	1996	-0.567639
"Brasil"	1997	-0.5189715
"Brasil"	1998	-0.162431
"Brasil"	1999	-0.04491255
"Brasil"	2000	-0.1469215
"Brasil"	2001	-0.1313145
"Brasil"	2002	0.0452333
"Brasil"	2003	0.1173675
"Brasil"	2004	0.1359455
"Brasil"	2005	0.074492
"Brasil"	2006	0.08704445
"Brasil"	2007	0.04335235
"Brasil"	2008	0.06472565
"Brasil"	2009	0.05766135
"Brasil"	2010	-0.261619
"Brasil"	2011	-0.2705375
"Brasil"	2012	-0.232398
"Brasil"	2013	-0.2932405
"Brasil"	2014	-0.201806
