"country"	"year"	"policy.index"
"Argentina"	1985	-1.615775
"Argentina"	1986	-1.620575
"Argentina"	1987	-1.36659
"Argentina"	1988	-1.38287
"Argentina"	1989	-1.24143
"Argentina"	1990	-0.444271
"Argentina"	1991	-0.208626
"Argentina"	1992	-0.365538
"Argentina"	1993	0.2773275
"Argentina"	1994	0.284161
"Argentina"	1995	0.310282
"Argentina"	1996	0.3872725
"Argentina"	1997	0.4072465
"Argentina"	1998	0.330362
"Argentina"	1999	0.3400255
"Argentina"	2000	0.340532
"Argentina"	2001	0.0716855
"Argentina"	2002	-0.0128507
"Argentina"	2003	0.1306165
"Argentina"	2004	0.0624762
"Argentina"	2005	0.130418
"Argentina"	2006	0.1027765
"Argentina"	2007	-0.05421405
"Argentina"	2008	0.3861835
"Argentina"	2009	0.4691755
"Argentina"	2010	-0.271767
"Argentina"	2011	0.461719
"Argentina"	2012	0.1497215
"Argentina"	2013	-0.37505
"Argentina"	2014	-0.4967845
"Bolivia"	1985	-0.7891325
"Bolivia"	1986	-0.4099125
"Bolivia"	1987	-0.14478
"Bolivia"	1988	0.01739635
"Bolivia"	1989	0.03690295
"Bolivia"	1990	-0.240158
"Bolivia"	1991	0.4105605
"Bolivia"	1992	0.484336
"Bolivia"	1993	0.824551
"Bolivia"	1994	0.82728
"Bolivia"	1995	0.682901
"Bolivia"	1996	0.6577955
"Bolivia"	1997	1.10436
"Bolivia"	1998	1.78293
"Bolivia"	1999	1.784555
"Bolivia"	2000	1.7705
"Bolivia"	2001	1.717875
"Bolivia"	2002	1.324595
"Bolivia"	2003	1.666295
"Bolivia"	2004	1.82355
"Bolivia"	2005	1.75927
"Bolivia"	2006	1.634175
"Bolivia"	2007	1.662575
"Bolivia"	2008	1.218435
"Bolivia"	2009	0.8117935
"Bolivia"	2010	0.574589
"Bolivia"	2011	0.5839645
"Bolivia"	2012	0.590265
"Bolivia"	2013	0.5468955
"Bolivia"	2014	0.5523705
"Brasil"	1985	-2.549585
"Brasil"	1986	-2.56683
"Brasil"	1987	-2.059955
"Brasil"	1988	-1.848405
"Brasil"	1989	-1.2921
"Brasil"	1990	-1.319525
"Brasil"	1991	-0.9062645
"Brasil"	1992	-0.891019
"Brasil"	1993	-0.622471
"Brasil"	1994	-0.425371
"Brasil"	1995	-0.5769805
"Brasil"	1996	-0.5460045
"Brasil"	1997	-0.531191
"Brasil"	1998	-0.1713635
"Brasil"	1999	-0.0790463
"Brasil"	2000	-0.1502515
"Brasil"	2001	-0.1502955
"Brasil"	2002	0.03465655
"Brasil"	2003	0.1701965
"Brasil"	2004	0.14894
"Brasil"	2005	0.0647601
"Brasil"	2006	0.094993
"Brasil"	2007	0.09903675
"Brasil"	2008	0.0635691
"Brasil"	2009	0.06505145
"Brasil"	2010	-0.2821475
"Brasil"	2011	-0.301067
"Brasil"	2012	-0.1949445
"Brasil"	2013	-0.26521
"Brasil"	2014	-0.252379
"Chile"	1985	-0.40719
"Chile"	1986	0.09574585
"Chile"	1987	0.0793673
"Chile"	1988	0.0617335
"Chile"	1989	0.0654963
"Chile"	1990	0.3026745
"Chile"	1991	0.301178
"Chile"	1992	0.249169
"Chile"	1993	0.2958045
"Chile"	1994	0.2839905
"Chile"	1995	0.317065
"Chile"	1996	0.1747045
"Chile"	1997	0.3328735
"Chile"	1998	0.3271075
"Chile"	1999	0.8854625
"Chile"	2000	0.91121
"Chile"	2001	1.950695
"Chile"	2002	2.100015
"Chile"	2003	1.967165
"Chile"	2004	1.969815
"Chile"	2005	1.9736
"Chile"	2006	2.012785
"Chile"	2007	2.00654
"Chile"	2008	1.98646
"Chile"	2009	1.82544
"Chile"	2010	1.363655
"Chile"	2011	1.397035
"Chile"	2012	1.39363
"Chile"	2013	1.1431
"Chile"	2014	0.8255125
"Colombia"	1985	-2.424415
"Colombia"	1986	-1.48234
"Colombia"	1987	-1.48814
"Colombia"	1988	-1.480015
"Colombia"	1989	-1.456505
"Colombia"	1990	-1.066255
"Colombia"	1991	-0.09033725
"Colombia"	1992	-0.547676
"Colombia"	1993	-0.531836
"Colombia"	1994	-0.4801725
"Colombia"	1995	-0.4602725
"Colombia"	1996	-0.4791845
"Colombia"	1997	-0.2015845
"Colombia"	1998	-0.255576
"Colombia"	1999	-0.1956705
"Colombia"	2000	-0.1729355
"Colombia"	2001	-0.1362385
"Colombia"	2002	-0.1784575
"Colombia"	2003	-0.162534
"Colombia"	2004	0.0828257
"Colombia"	2005	0.07762775
"Colombia"	2006	0.123956
"Colombia"	2007	0.006137915
"Colombia"	2008	0.267485
"Colombia"	2009	0.0697595
"Colombia"	2010	-0.09510115
"Colombia"	2011	0.379377
"Colombia"	2012	0.4105735
"Colombia"	2013	0.3780595
