	Argentina	Bolivia	Brazil	Chile	Colombia	CostaRica	DominicanRep	Ecuador	ElSalvador	Guatemala	Honduras	Mexico	Nicaragua	Panama	Paraguay	Peru	Uruguay	Venezuela	Average
1995	-2.845209615	4.678276905	4.416731354	10.62757722	5.202437593	3.920889571	5.493629299	2.252548774	6.396570978	4.948547507	4.06297613	-5.75868238	5.911907795	1.751678624	6.822807819	7.411635008	-1.447598978	3.951662762	3.76657702
1996	5.526689823	4.361340311	2.190059433	7.413491523	2.055854712	0.886582088	7.131367357	1.731747514	1.705589084	2.957779899	3.595249715	5.874766683	6.344268304	2.810584059	1.573789449	2.799117578	5.57795777	-0.197837378	3.57435544
1997	8.111046774	4.954208776	3.388280009	6.605579633	3.430293678	5.578186399	8.004274432	4.327864764	4.2463425	4.364089932	4.993718593	6.962888801	3.966650973	6.460990549	4.242511162	6.476802058	8.547683221	6.37093152	5.612907987
1998	3.850178866	5.029354636	0.354845946	3.230878709	0.56978409	8.397847841	7.010597728	3.266529404	3.748726161	4.993527823	2.901585402	4.701842416	3.711681448	7.341501753	0.068035126	-0.391710242	4.518890092	0.294055161	3.533230687
1999	-3.385457054	0.426885364	0.490423084	-0.760854812	-4.204015244	8.222200687	6.715354091	-4.739385791	3.449098435	3.847062161	-1.889534884	2.667013147	7.03597048	3.917206421	-1.366071238	1.494863143	-1.939212155	-5.970458146	0.778393761
2000	-0.788998929	2.507810988	4.383024533	4.495792997	4.419993	1.8008246	5.656604877	1.091801564	2.152652497	3.608868745	5.748148148	5.296473838	4.101590153	2.715373567	-2.314146032	2.694311073	-1.929930632	3.686944167	2.74039662
2001	-4.408839696	1.683799034	1.279024665	3.348180391	1.677898308	1.076396317	1.809229488	4.0156299	1.708936396	2.332544291	2.723193273	-0.60549239	2.960843529	0.574272925	-0.834057908	0.617831087	-3.844129957	3.394236108	1.083860876
2002	-10.89448481	2.485565815	3.071724891	2.166908634	2.503980465	2.902185091	5.788207316	4.096776659	2.340822748	3.866638363	3.754337861	0.131917169	0.753938941	2.228887218	-0.021401975	5.453764602	-7.73200722	-8.855647353	0.780117467
2003	8.837040776	2.711339832	1.223205419	3.956748481	3.918271904	6.404510783	-0.25335881	2.722877337	2.30003827	2.530837955	4.547038052	1.422671242	2.520732936	4.205763358	4.320749918	4.164850559	0.80528392	-7.75530005	2.699072327
2004	9.029573321	4.173295561	5.66067353	6.041086739	5.333022067	4.259452774	1.31195822	8.211020917	1.850535583	3.152030513	6.232302961	4.295714251	5.31217052	7.52208031	4.057419171	4.9582783	5.004160357	18.28660669	5.816187877
2005	9.198488983	4.4214331	3.148900043	5.559452531	4.706555934	5.886377313	9.262750074	5.291308267	3.562814501	3.260162692	6.050916061	3.032573659	4.282398305	7.191279079	2.133486167	6.285172088	7.460132112	10.3179138	5.614006373
2006	8.402868566	4.797008869	3.999324276	4.40497269	6.697515258	8.779640959	10.67115484	4.403526434	3.911948645	5.379613968	6.56699986	5.001385468	4.15206923	8.527761146	4.807120262	7.528816844	4.098577362	9.872149109	6.222358544
2007	7.965573248	4.564384269	6.005801827	5.1608256	6.900627655	7.935340515	8.47462478	2.190063972	3.839765177	6.304250075	6.188252742	3.148225822	5.287768788	12.11266105	5.421622463	8.518441947	6.541510848	8.753463385	6.40628912
2008	3.074945503	6.148497875	5.019316013	3.292454897	3.546804886	2.731620422	3.143711459	6.3571306	1.274227301	3.281093555	4.231864123	1.400290149	2.851710991	9.146904398	6.35911702	9.143148205	7.176144662	5.277965858	4.636497106
2009	0.050024456	3.356999574	-0.235978102	-1.036431779	1.651549245	-1.015718862	0.935781292	0.566491592	-3.133046282	0.526193007	-2.431875015	-4.700339936	-2.759210147	3.974164892	-3.965695886	1.04923237	4.243494178	-3.202302657	-0.340370448
2010	9.451578331	4.126722591	7.572067155	5.753708903	3.971800705	4.954320527	8.302152802	3.525298669	1.364783667	2.869372389	3.731270148	5.110198731	3.191298781	5.851873793	13.09300368	8.45074688	7.803409668	-1.488791251	5.424156454
2011	8.386451456	5.173930421	3.916382188	5.839640585	6.589511516	4.517746474	2.820884489	7.868140919	2.21683561	4.161945918	3.835560728	4.044614776	6.231594588	10.77019485	4.342407086	6.452215996	5.162133026	4.176425359	5.361478666
2012	0.801760179	5.176430978	1.762488805	5.457130618	4.043943806	5.167582778	2.629506212	5.220345768	1.880955461	2.969848828	-2.982074413	4.007370613	5.131796229	10.24710466	-1.238968506	5.950346345	3.323114945	5.625956975	3.620813349
2013	2.885351883	6.775601009	2.74369665	4.226190624	4.936289501	3.437273971	4.777741911	4.641572214	1.675888994	3.697585601	2.606743834	1.390831387	4.510537036	8.352293815	14.22460271	5.773430684	5.100361248	1.343094036	4.616615951
2014	0.46925706	5.399085429	0.144707354	1.894049024	4.552500992	3.502352231	7.340878365	3.802080137	2	4.241584033	3.483158037	2.12475861	4.702775972	6.161704916	4.350129148	2.350705442	3.498414788	-3.999244142	3.112160966
