	Argentina	Bolivia	Brazil	Chile	Colombia	CostaRica	DominicanRep	Ecuador	ElSalvador	Guatemala	Honduras	Mexico	Nicaragua	Panama	Paraguay	Peru	Uruguay	Venezuela	Average
1995	18.79999924	5	6	7.300000191	13	5.199999809	15.80000019	5.5	7.599999905	3.700000048	3.200000048	6.900000095	3.299999952	14	3.400000095	5.199999809	10.39999962	10.19999981	8.027777712
1996	17.20000076	5.199999809	6.800000191	6.300000191	13.69999981	6.199999809	16.70000076	5.599999905	7.699999809	3.599999905	4.400000095	5.199999809	4.099999905	14.5	4.400000095	6.300000191	11.30000019	12.39999962	8.42222227
1997	14.89999962	4.300000191	7.699999809	6.099999905	11.60000038	5.699999809	15.60000038	5.5	8	3.900000095	3.299999952	4.099999905	5.099999905	13.39999962	5.300000191	4.900000095	7.699999809	10.60000038	7.650000003
1998	12.80000019	3.5	8.899999619	6.300000191	13.10000038	5.599999905	14.39999962	5.900000095	7.300000191	3.200000048	4	3.599999905	4.800000191	14	5.300000191	4.599999905	7.699999809	11	7.555555569
1999	14.10000038	4.300000191	9.600000381	9.800000191	14.80000019	6	13.80000019	6.5	7	1.899999976	3.900000095	2.5	5.099999905	11.80000019	6.599999905	5.400000095	11.19999981	14.5	8.26666675
2000	15	4.800000191	9.5	9.199999809	16.60000038	5.099999905	14.19999981	7.199999809	7	1.399999976	3.900000095	2.599999905	6.199999809	13.5	7.599999905	6.300000191	10.30000019	13.19999981	8.533333321
2001	18.29999924	5.400000095	9.300000191	9.100000381	15.10000038	6	15.69999981	8.399999619	7	1.299999952	4.099999905	2.5	6	14	7.599999905	5.099999905	9.5	12.80000019	8.73333331
2002	17.89999962	5.400000095	9.100000381	8.899999619	15.80000019	6.400000095	16.10000038	8.399999619	6.199999809	3.099999905	3.900000095	2.900000095	5.900000095	13.5	10.69999981	6	8.600000381	16.20000076	9.166666719
2003	16.10000038	5.400000095	9.699999809	8.5	14.10000038	6.599999905	16.70000076	9.300000191	6.900000095	2.799999952	5.199999809	3	8	13	7.900000095	6.599999905	7.800000191	16.79999924	9.133333378
2004	12.60000038	4.300000191	8.899999619	8.800000191	14.30000019	6.400000095	18.39999962	6.699999809	6.800000191	3.099999905	6	3.700000048	6.699999809	11.69999981	7.400000095	5.199999809	6.900000095	15	8.494444437
2005	10.60000038	5.400000095	9.300000191	8	12	6.599999905	18	6.599999905	7.199999809	2.5	4.199999809	3.5	5.599999905	9.800000191	5.800000191	5.199999809	9	11.39999962	7.816666656
2006	10.10000038	5.300000191	8.399999619	7.699999809	11.69999981	5.900000095	16.39999962	6.300000191	6.599999905	1.799999952	3.099999905	3.200000048	5.300000191	8.699999809	6.699999809	4.599999905	10.60000038	9.300000191	7.316666656
2007	8.5	5.199999809	8.100000381	7.099999905	11.19999981	4.599999905	15.69999981	5	6.300000191	2.5	2.900000095	3.400000095	5	6.400000095	5.599999905	4.5	9.199999809	7.5	6.594444434
2008	7.800000191	2.900000095	7.099999905	7.800000191	11.10000038	4.900000095	14.19999981	6	5.900000095	2.799999952	3.099999905	3.5	6.199999809	5.599999905	5.599999905	4.5	7.599999905	6.900000095	6.305555569
2009	8.600000381	3.400000095	8.300000191	9.699999809	11.80000019	7.800000191	14.89999962	6.5	7.300000191	3.099999905	3.299999952	5.199999809	6.599999905	6.599999905	6.5	4.400000095	7.300000191	7.800000191	7.172222257
2010	7.699999809	3.299999952	7.900000095	8.100000381	12	7.300000191	12.39999962	5	7	3.700000048	4.800000191	5.199999809	8	6.5	5.699999809	4	7.199999809	8.600000381	6.911111116
2011	7.199999809	2.700000048	6.699999809	7.099999905	11.10000038	7.699999809	14.69999981	4.199999809	6.599999905	4.099999905	4.400000095	5.300000191	7.800000191	4.5	4.300000191	3.900000095	6.300000191	8.300000191	6.494444463
2012	7.199999809	2.700000048	6.099999905	6.400000095	10.60000038	7.800000191	14.69999981	4.099999905	6.099999905	2.900000095	4.400000095	4.900000095	7.800000191	4	4.900000095	3.599999905	6.5	8.100000381	6.266666717
2013	7.5	2.599999905	5.900000095	6	10.5	7.599999905	14.89999962	4.199999809	6.300000191	2.799999952	4.199999809	4.900000095	7.199999809	4.099999905	5.199999809	3.900000095	6.599999905	7.5	6.216666606
2014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
