"uniqueID"	"pais"	"year"	"q10"	"Mood.lo"	"Mood.md"	"Mood.hi"	"q90"	"real.year"	"ccode"	"leftRight"	"interpol.policy.mood"	"interpol.lo.policy.mood"	"interpol.hi.policy.mood"	"interpol.left.right"	"credit"	"growth"	"inflation"	"unemploy"	"misery"	"legVRR"	"presVRR"	"final.score"	"rescaled.BG.score"	"rescaled.legScore"	"rescaled.presScore"	".id"	"minimum"	"median"	"maximum"	"type"	"anyo"	"paisNum"	"time"	"interpol.policy.mood.l1"	"interpol.left.right.l1"	"median.l1"	"credit.l1"	"growth.l1"	"inflation.l1"	"unemploy.l1"	"misery.l1"
"Argentina-1995"	"Argentina"	1995	NA	NA	NA	NA	NA	NA	NA	NA	-0.636115497660381	-1.82834554298063	0.39907709862648	0.784759650901589	19.67962315	-2.845209615	3.38	18.79999924	22.17999924	10.66274	12.65217	11.657455	-0.552485	-0.220913333333333	-0.884056666666667	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA
"Argentina-1996"	"Argentina"	1996	-1.24679585355574	-0.750771224281687	-0.244740347577833	0.214141259592252	0.580846824950386	1996	"ARG"	0.488740617180984	-0.244740347577833	-0.750771224281687	0.214141259592252	0.488740617180984	19.87604288	5.526689823	0.16	17.20000076	17.36000076	NA	NA	NA	NA	NA	NA	"Argentina"	-1.24060559024968	-1.24060559024968	0.125379963231763	"Citizens"	1996	1	2	-0.636115497660381	0.784759650901589	NA	19.67962315	-2.845209615	3.38	18.79999924	22.17999924
"Argentina-1997"	"Argentina"	1997	NA	NA	NA	NA	NA	NA	NA	0.40133779264214	0.291981198652193	0.0767237709726306	0.507098733961812	0.40133779264214	21.55693559	8.111046774	0.53	14.89999962	15.42999962	10.70173	NA	10.70173	-0.23391	-0.23391	NA	NA	NA	NA	NA	NA	NA	1	3	-0.244740347577833	0.488740617180984	-1.24060559024968	19.87604288	5.526689823	0.16	17.20000076	17.36000076
"Argentina-1998"	"Argentina"	1998	0.425241282647991	0.611298212028435	0.804738742970198	1.00150420909994	1.179034976222	1998	"ARG"	0.431666666666667	0.804738742970198	0.611298212028435	1.00150420909994	0.431666666666667	23.59099075	3.850178866	0.92	12.80000019	13.72000019	NA	NA	NA	NA	NA	NA	"Argentina"	-0.572508169934479	0.878684642272138	1.78377017028572	"Citizens"	1998	1	4	0.291981198652193	0.40133779264214	NA	21.55693559	8.111046774	0.53	14.89999962	15.42999962
"Argentina-1999"	"Argentina"	1999	NA	NA	NA	NA	NA	NA	NA	NA	1.12277349250468	0.812535112924276	1.41618132051611	0.496871228209535	24.13610077	-3.385457054	-1.17	14.10000038	12.93000038	11.01491	10.74708	10.880995	-0.293665	-0.338303333333334	-0.249026666666667	NA	NA	NA	NA	NA	NA	1	5	0.804738742970198	0.431666666666667	0.878684642272138	23.59099075	3.850178866	0.92	12.80000019	13.72000019
"Argentina-2000"	"Argentina"	2000	0.203841817265965	0.649714466868445	1.06953307513615	1.45102949629858	1.79188618711821	2000	"ARG"	0.458625832809748	1.06953307513615	0.649714466868445	1.45102949629858	0.458625832809748	23.16742232	-0.788998929	-0.94	15	14.06	NA	NA	NA	NA	NA	NA	"Argentina"	-0.568830197992564	0.888910424303244	1.87840154520278	"Citizens"	2000	1	6	1.12277349250468	0.496871228209535	NA	24.13610077	-3.385457054	-1.17	14.10000038	12.93000038
"Argentina-2001"	"Argentina"	2001	-0.359023593525181	0.0654495743524402	0.4843974616771	0.857989734943955	1.17329514667835	2001	"ARG"	0.301390908068829	0.4843974616771	0.0654495743524402	0.857989734943955	0.301390908068829	20.15603278	-4.408839696	-1.07	18.29999924	17.22999924	10.50195	NA	10.50195	-0.167316666666667	-0.167316666666667	NA	"Argentina"	-1.32474740542907	-0.0440176892376272	0.96821874423076	"Citizens"	2001	1	7	1.06953307513615	0.458625832809748	0.888910424303244	23.16742232	-0.788998929	-0.94	15	14.06
"Argentina-2002"	"Argentina"	2002	-1.07392479990443	-0.651538195208357	-0.245710941908085	0.102092134266057	0.372881350115046	2002	"ARG"	0.36132879897977	-0.245710941908085	-0.651538195208357	0.102092134266057	0.36132879897977	15.11567375	-10.89448481	25.87	17.89999962	43.76999962	NA	NA	NA	NA	NA	NA	"Argentina"	-0.575519488061526	0.294676749470574	1.21498141561253	"Citizens"	2002	1	8	0.4843974616771	0.301390908068829	-0.0440176892376272	20.15603278	-4.408839696	-1.07	18.29999924	17.22999924
"Argentina-2003"	"Argentina"	2003	-0.746327082073084	-0.271499624396079	0.201851861824534	0.585541014119871	0.886214506239425	2003	"ARG"	0.405170524659855	0.201851861824534	-0.271499624396079	0.585541014119871	0.405170524659855	10.62118196	8.837040776	13.44	16.10000038	29.54000038	10.83105	12.85461	11.84283	-0.614276666666667	-0.277016666666667	-0.951536666666667	"Argentina"	-1.18226352620151	-0.521127140986176	0.298960667936069	"Citizens"	2003	1	9	-0.245710941908085	0.36132879897977	0.294676749470574	15.11567375	-10.89448481	25.87	17.89999962	43.76999962
"Argentina-2004"	"Argentina"	2004	-0.457743110856701	0.000223139998916905	0.413202590311061	0.773143732292822	1.09147115143686	2004	"ARG"	0.407371974430156	0.413202590311061	0.000223139998916932	0.773143732292822	0.407371974430156	8.602041694	9.029573321	4.4	12.60000038	17.00000038	NA	NA	NA	NA	NA	NA	"Argentina"	-0.154914518677994	0.553675532167173	0.765390147463959	"Citizens"	2004	1	10	0.201851861824534	0.405170524659855	-0.521127140986176	10.62118196	8.837040776	13.44	16.10000038	29.54000038
